1,加藤 綾,加藤 綾.1,2,橋谷田　佳織,橋谷田　佳織.1,3,深川　麻奈美,深川　麻奈美.1,4,廣中　智紗衣,廣中　智紗衣.1,5,角 ひとみ,角 ひとみ.1,6,藤田 美代,藤田 美代.1
2.0,3.0,81.9,1.0,3.0,236.8,1.0,2.0,71.3,1.0,2.0,111.3,1.0,2.0,739.6,1.0,2.0,1123.0
2.0,4.0,86.3,1.0,4.0,211.9,1.0,4.0,9.8,1.0,3.0,22.2,1.0,3.0,227.1,1.0,3.0,483.7
2.0,5.0,178.1,1.0,5.0,546.8,1.0,5.0,24.3,1.0,5.0,42.7,1.0,4.0,274.1,1.0,4.0,571.1
2.0,6.0,214.4,1.0,6.0,619.3,1.0,6.0,40.4,1.0,6.0,59.5,1.0,6.0,626.8,1.0,5.0,1202.0
3.0,2.0,48.9,3.0,1.0,334.8,2.0,1.0,191.9,2.0,1.0,256.0,2.0,1.0,1231.0,2.0,1.0,1593.0
3.0,4.0,8.7,3.0,4.0,325.3,2.0,4.0,137.9,2.0,3.0,241.3,2.0,3.0,1168.0,2.0,3.0,1545.0
3.0,5.0,21.6,3.0,5.0,856.7,2.0,5.0,306.4,2.0,5.0,440.2,2.0,4.0,1261.0,2.0,4.0,1500.0
3.0,6.0,39.2,3.0,6.0,1142.0,2.0,6.0,408.7,2.0,6.0,403.9,2.0,6.0,1727.0,2.0,5.0,2056.0
4.0,2.0,59.0,4.0,1.0,359.4,4.0,1.0,11.6,3.0,1.0,21.1,3.0,1.0,263.6,3.0,1.0,546.8
4.0,3.0,11.5,4.0,3.0,372.4,4.0,2.0,65.7,3.0,2.0,109.3,3.0,2.0,905.7,3.0,2.0,1398.0
4.0,5.0,26.4,4.0,5.0,897.8,4.0,5.0,16.4,3.0,5.0,26.9,3.0,4.0,169.2,3.0,4.0,330.5
4.0,6.0,44.4,4.0,6.0,825.7,4.0,6.0,22.5,3.0,6.0,35.0,3.0,6.0,602.9,3.0,5.0,1065.0
5.0,2.0,212.8,5.0,1.0,1148.0,5.0,1.0,63.3,5.0,1.0,73.1,4.0,1.0,280.8,4.0,1.0,630.7
5.0,3.0,72.9,5.0,3.0,1370.0,5.0,2.0,243.3,5.0,2.0,273.0,4.0,2.0,909.7,4.0,2.0,1343.0
5.0,4.0,79.4,5.0,4.0,1511.0,5.0,4.0,46.7,5.0,3.0,59.1,4.0,3.0,167.2,4.0,3.0,345.5
5.0,6.0,208.3,5.0,6.0,2035.0,5.0,6.0,116.0,5.0,6.0,122.3,4.0,6.0,543.9,4.0,5.0,947.5
6.0,2.0,385.0,6.0,1.0,1379.0,6.0,1.0,129.3,6.0,1.0,141.8,6.0,1.0,1181.0,5.0,1.0,1742.0
6.0,3.0,156.7,6.0,3.0,1921.0,6.0,2.0,413.7,6.0,2.0,481.5,6.0,2.0,2056.0,5.0,2.0,2310.0
6.0,4.0,166.7,6.0,4.0,1352.0,6.0,4.0,83.1,6.0,3.0,113.7,6.0,3.0,1049.0,5.0,3.0,1223.0
6.0,5.0,402.3,6.0,5.0,2187.0,6.0,5.0,204.3,6.0,5.0,219.9,6.0,4.0,1070.0,5.0,4.0,1370.0
