1,内田 圭,内田 圭.1,2,抹香 雄三,抹香 雄三.1,3,表 健太,表 健太.1,4,天野 誠,天野 誠.1,5,大西 賢,大西 賢.1,6,川上 清人,川上 清人.1
2.0,3.0,9.1,1.0,3.0,22.4,1.0,2.0,119.7,1.0,2.0,101.3,1.0,2.0,153.7,1.0,2.0,153.6
2.0,4.0,9.0,1.0,4.0,16.8,1.0,4.0,152.4,1.0,3.0,284.0,1.0,3.0,381.9,1.0,3.0,580.7
2.0,5.0,12.0,1.0,5.0,20.6,1.0,5.0,177.6,1.0,5.0,161.2,1.0,4.0,341.7,1.0,4.0,463.8
2.0,6.0,12.5,1.0,6.0,17.6,1.0,6.0,176.1,1.0,6.0,172.5,1.0,6.0,182.6,1.0,5.0,382.9
3.0,2.0,21.9,3.0,1.0,67.7,2.0,1.0,133.6,2.0,1.0,123.5,2.0,1.0,183.1,2.0,1.0,195.9
3.0,4.0,43.1,3.0,4.0,115.9,2.0,4.0,251.0,2.0,3.0,354.4,2.0,3.0,476.1,2.0,3.0,562.4
3.0,5.0,50.9,3.0,5.0,109.4,2.0,5.0,244.6,2.0,5.0,218.4,2.0,4.0,378.9,2.0,4.0,440.9
3.0,6.0,52.2,3.0,6.0,103.5,2.0,6.0,230.4,2.0,6.0,178.3,2.0,6.0,192.0,2.0,5.0,372.9
4.0,2.0,23.6,4.0,1.0,52.4,4.0,1.0,382.9,3.0,1.0,525.1,3.0,1.0,816.3,3.0,1.0,1042.0
4.0,3.0,53.1,4.0,3.0,126.1,4.0,2.0,372.0,3.0,2.0,504.7,3.0,2.0,725.1,3.0,2.0,939.8
4.0,5.0,48.7,4.0,5.0,92.3,4.0,5.0,474.5,3.0,5.0,703.7,3.0,4.0,1074.0,3.0,4.0,1552.0
4.0,6.0,52.9,4.0,6.0,71.2,4.0,6.0,504.7,3.0,6.0,683.5,3.0,6.0,1042.0,3.0,5.0,1552.0
5.0,2.0,41.1,5.0,1.0,65.4,5.0,1.0,506.5,5.0,1.0,233.8,4.0,1.0,408.1,4.0,1.0,677.0
5.0,3.0,91.9,5.0,3.0,139.5,5.0,2.0,439.5,5.0,2.0,233.0,4.0,2.0,390.3,4.0,2.0,508.3
5.0,4.0,88.7,5.0,4.0,133.6,5.0,4.0,652.2,5.0,3.0,501.2,4.0,3.0,855.4,4.0,3.0,1310.0
5.0,6.0,60.9,5.0,6.0,71.3,5.0,6.0,521.3,5.0,6.0,216.1,4.0,6.0,401.2,4.0,5.0,887.2
6.0,2.0,45.2,6.0,1.0,59.4,6.0,1.0,558.0,6.0,1.0,310.5,6.0,1.0,268.5,5.0,1.0,523.2
6.0,3.0,142.2,6.0,3.0,180.1,6.0,2.0,527.1,6.0,2.0,272.6,6.0,2.0,257.8,5.0,2.0,469.9
6.0,4.0,100.9,6.0,4.0,123.0,6.0,4.0,780.6,6.0,3.0,747.9,6.0,3.0,845.2,5.0,3.0,1472.0
6.0,5.0,102.3,6.0,5.0,109.7,6.0,5.0,855.4,6.0,5.0,331.4,6.0,4.0,531.0,5.0,4.0,820.9
