1,宮野 仁,宮野 仁.1,2,平瀬 城啓,平瀬 城啓.1,3,宮嵜　隆太郎,宮嵜　隆太郎.1,4,井川 大作,井川 大作.1,5,塩田 雄一,塩田 雄一.1,6,藤丸 光一,藤丸 光一.1
2.0,3.0,24.4,1.0,3.0,88.1,1.0,2.0,73.1,1.0,2.0,184.7,1.0,2.0,597.5,1.0,2.0,56.9
2.0,4.0,42.7,1.0,4.0,116.5,1.0,4.0,47.8,1.0,3.0,127.3,1.0,3.0,456.1,1.0,3.0,50.3
2.0,5.0,95.2,1.0,5.0,216.0,1.0,5.0,74.5,1.0,5.0,141.5,1.0,4.0,430.1,1.0,4.0,59.5
2.0,6.0,21.0,1.0,6.0,73.0,1.0,6.0,47.5,1.0,6.0,119.0,1.0,6.0,489.2,1.0,5.0,99.1
3.0,2.0,38.1,3.0,1.0,143.4,2.0,1.0,108.8,2.0,1.0,235.1,2.0,1.0,894.9,2.0,1.0,84.0
3.0,4.0,40.2,3.0,4.0,152.1,2.0,4.0,91.8,2.0,3.0,220.6,2.0,3.0,854.4,2.0,3.0,88.1
3.0,5.0,80.3,3.0,5.0,247.4,2.0,5.0,125.2,2.0,5.0,265.5,2.0,4.0,755.3,2.0,4.0,82.5
3.0,6.0,28.1,3.0,6.0,121.6,2.0,6.0,83.0,2.0,6.0,165.0,2.0,6.0,807.0,2.0,5.0,126.2
4.0,2.0,77.8,4.0,1.0,205.0,4.0,1.0,35.5,3.0,1.0,88.4,3.0,1.0,479.2,3.0,1.0,61.2
4.0,3.0,69.1,4.0,3.0,188.8,4.0,2.0,57.2,3.0,2.0,128.2,3.0,2.0,740.5,3.0,2.0,82.4
4.0,5.0,115.9,4.0,5.0,259.3,4.0,5.0,25.7,3.0,5.0,65.0,3.0,4.0,304.5,3.0,4.0,51.3
4.0,6.0,49.9,4.0,6.0,148.6,4.0,6.0,31.2,3.0,6.0,71.2,3.0,6.0,448.5,3.0,5.0,82.4
5.0,2.0,192.4,5.0,1.0,514.5,5.0,1.0,98.8,5.0,1.0,196.2,4.0,1.0,449.6,4.0,1.0,84.6
5.0,3.0,202.1,5.0,3.0,489.2,5.0,2.0,135.6,5.0,2.0,274.8,4.0,2.0,662.5,4.0,2.0,95.1
5.0,4.0,194.2,5.0,4.0,455.0,5.0,4.0,52.0,5.0,3.0,134.6,4.0,3.0,318.9,4.0,3.0,72.1
5.0,6.0,159.4,5.0,6.0,384.6,5.0,6.0,83.2,5.0,6.0,152.5,4.0,6.0,350.3,4.0,5.0,79.6
6.0,2.0,24.0,6.0,1.0,98.9,6.0,1.0,56.1,6.0,1.0,142.0,6.0,1.0,672.0,5.0,1.0,198.3
6.0,3.0,24.0,6.0,3.0,107.1,6.0,2.0,64.7,6.0,2.0,177.3,6.0,2.0,749.3,5.0,2.0,207.7
6.0,4.0,30.4,6.0,4.0,109.2,6.0,4.0,40.8,6.0,3.0,114.1,6.0,3.0,527.4,5.0,3.0,198.1
6.0,5.0,65.9,6.0,5.0,178.3,6.0,5.0,56.8,6.0,5.0,135.3,6.0,4.0,386.9,5.0,4.0,120.5
