1,金子 猛志,金子 猛志.1,2,村上 彰一,村上 彰一.1,3,坂口 周,坂口 周.1,4,鈴木 賢一,鈴木 賢一.1,5,西橋 奈未,西橋 奈未.1,6,中 亮太,中 亮太.1
2.0,3.0,56.9,1.0,3.0,70.2,1.0,2.0,47.5,1.0,2.0,289.3,1.0,2.0,195.7,1.0,2.0,290.2
2.0,4.0,96.6,1.0,4.0,160.5,1.0,4.0,39.3,1.0,3.0,216.4,1.0,3.0,117.2,1.0,3.0,160.9
2.0,5.0,106.2,1.0,5.0,124.9,1.0,5.0,25.6,1.0,5.0,202.2,1.0,4.0,264.5,1.0,4.0,427.1
2.0,6.0,115.8,1.0,6.0,145.9,1.0,6.0,24.6,1.0,6.0,213.7,1.0,6.0,137.8,1.0,5.0,270.3
3.0,2.0,45.6,3.0,1.0,77.5,2.0,1.0,63.7,2.0,1.0,335.9,2.0,1.0,292.1,2.0,1.0,366.2
3.0,4.0,43.9,3.0,4.0,63.4,2.0,4.0,51.0,2.0,3.0,200.1,2.0,3.0,167.8,2.0,3.0,244.4
3.0,5.0,30.8,3.0,5.0,51.0,2.0,5.0,35.3,2.0,5.0,208.4,2.0,4.0,334.0,2.0,4.0,493.1
3.0,6.0,32.0,3.0,6.0,53.0,2.0,6.0,38.5,2.0,6.0,236.6,2.0,6.0,216.2,2.0,5.0,342.9
4.0,2.0,144.3,4.0,1.0,237.6,4.0,1.0,59.0,3.0,1.0,164.1,3.0,1.0,97.2,3.0,1.0,153.5
4.0,3.0,101.8,4.0,3.0,124.2,4.0,2.0,66.3,3.0,2.0,162.5,3.0,2.0,117.6,3.0,2.0,185.3
4.0,5.0,158.8,4.0,5.0,192.3,4.0,5.0,32.2,3.0,5.0,82.1,3.0,4.0,127.7,3.0,4.0,163.5
4.0,6.0,144.2,4.0,6.0,196.2,4.0,6.0,28.0,3.0,6.0,86.2,3.0,6.0,54.3,3.0,5.0,94.6
5.0,2.0,132.0,5.0,1.0,230.0,5.0,1.0,36.7,5.0,1.0,181.3,4.0,1.0,298.0,4.0,1.0,498.1
5.0,3.0,70.1,5.0,3.0,104.3,5.0,2.0,42.0,5.0,2.0,173.4,4.0,2.0,310.1,4.0,2.0,498.7
5.0,4.0,162.7,5.0,4.0,220.0,5.0,4.0,36.7,5.0,3.0,117.0,4.0,3.0,191.6,4.0,3.0,240.6
5.0,6.0,80.0,5.0,6.0,151.6,5.0,6.0,16.6,5.0,6.0,99.6,4.0,6.0,164.7,4.0,5.0,309.6
6.0,2.0,178.2,6.0,1.0,294.7,6.0,1.0,43.9,6.0,1.0,242.2,6.0,1.0,137.8,5.0,1.0,245.6
6.0,3.0,84.4,6.0,3.0,141.8,6.0,2.0,57.9,6.0,2.0,260.9,6.0,2.0,177.6,5.0,2.0,238.4
6.0,4.0,183.5,6.0,4.0,318.7,6.0,4.0,40.3,6.0,3.0,143.7,6.0,3.0,69.4,5.0,3.0,106.3
6.0,5.0,125.3,6.0,5.0,219.7,6.0,5.0,23.6,6.0,5.0,138.6,6.0,4.0,160.8,5.0,4.0,237.4
