1,中谷 朋子,中谷 朋子.1,2,深川　麻奈美,深川　麻奈美.1,3,北村 寧々,北村 寧々.1,4,片岡 恵里,片岡 恵里.1,5,間庭 菜摘,間庭 菜摘.1,6,出口　舞有子,出口　舞有子.1
2.0,3.0,5.8,1.0,3.0,18.4,1.0,2.0,73.1,1.0,2.0,110.9,1.0,2.0,151.5,1.0,2.0,154.6
2.0,4.0,6.8,1.0,4.0,19.8,1.0,4.0,124.7,1.0,3.0,250.0,1.0,3.0,316.2,1.0,3.0,332.9
2.0,5.0,14.2,1.0,5.0,28.0,1.0,5.0,156.7,1.0,5.0,227.5,1.0,4.0,322.2,1.0,4.0,411.7
2.0,6.0,13.5,1.0,6.0,26.1,1.0,6.0,149.4,1.0,6.0,222.3,1.0,6.0,231.2,1.0,5.0,336.5
3.0,2.0,15.3,3.0,1.0,60.8,2.0,1.0,106.5,2.0,1.0,150.5,2.0,1.0,181.6,2.0,1.0,212.8
3.0,4.0,26.4,3.0,4.0,143.2,2.0,4.0,258.7,2.0,3.0,392.2,2.0,3.0,551.3,2.0,3.0,577.2
3.0,5.0,45.3,3.0,5.0,165.1,2.0,5.0,297.4,2.0,5.0,360.7,2.0,4.0,498.6,2.0,4.0,567.1
3.0,6.0,39.5,3.0,6.0,135.1,2.0,6.0,265.3,2.0,6.0,341.2,2.0,6.0,338.3,2.0,5.0,428.7
4.0,2.0,22.8,4.0,1.0,75.5,4.0,1.0,288.7,3.0,1.0,447.6,3.0,1.0,481.7,3.0,1.0,678.8
4.0,3.0,45.1,4.0,3.0,176.5,4.0,2.0,380.1,3.0,2.0,637.0,3.0,2.0,978.7,3.0,2.0,927.8
4.0,5.0,59.4,4.0,5.0,190.3,4.0,5.0,536.4,3.0,5.0,940.0,3.0,4.0,1290.0,3.0,4.0,1396.0
4.0,6.0,53.1,4.0,6.0,165.5,4.0,6.0,528.5,3.0,6.0,897.4,3.0,6.0,1106.0,3.0,5.0,1450.0
5.0,2.0,50.2,5.0,1.0,104.1,5.0,1.0,355.1,5.0,1.0,335.7,4.0,1.0,560.4,4.0,1.0,831.5
5.0,3.0,99.2,5.0,3.0,266.3,5.0,2.0,597.0,5.0,2.0,440.9,4.0,2.0,768.0,4.0,2.0,926.6
5.0,4.0,112.2,5.0,4.0,230.7,5.0,4.0,804.4,5.0,3.0,931.4,4.0,3.0,1318.0,4.0,3.0,1534.0
5.0,6.0,84.9,5.0,6.0,180.9,5.0,6.0,666.2,5.0,6.0,459.7,4.0,6.0,713.5,4.0,5.0,1116.0
6.0,2.0,44.1,6.0,1.0,100.9,6.0,1.0,386.9,6.0,1.0,384.2,6.0,1.0,326.0,5.0,1.0,547.1
6.0,3.0,84.1,6.0,3.0,233.7,6.0,2.0,506.7,6.0,2.0,470.9,6.0,2.0,375.3,5.0,2.0,573.5
6.0,4.0,111.0,6.0,4.0,251.4,6.0,4.0,782.3,6.0,3.0,902.0,6.0,3.0,766.3,5.0,3.0,1199.0
6.0,5.0,110.4,6.0,5.0,208.8,6.0,5.0,694.7,6.0,5.0,557.8,6.0,4.0,640.4,5.0,4.0,948.8
