1,吉武 真也,吉武 真也.1,2,浦田 信義,浦田 信義.1,3,赤坂 俊輔,赤坂 俊輔.1,4,井手 良太,井手 良太.1,5,佐々木　完太,佐々木　完太.1,6,大峯 豊,大峯 豊.1
2.0,3.0,17.3,1.0,3.0,58.6,1.0,2.0,54.9,1.0,2.0,345.7,1.0,2.0,141.4,1.0,2.0,544.0
2.0,4.0,48.2,1.0,4.0,131.0,1.0,4.0,59.3,1.0,3.0,215.9,1.0,3.0,65.4,1.0,3.0,248.1
2.0,5.0,27.5,1.0,5.0,72.5,1.0,5.0,20.2,1.0,5.0,192.3,1.0,4.0,183.8,1.0,4.0,505.9
2.0,6.0,51.3,1.0,6.0,112.6,1.0,6.0,32.4,1.0,6.0,287.6,1.0,6.0,88.7,1.0,5.0,385.8
3.0,2.0,15.4,3.0,1.0,101.4,2.0,1.0,113.5,2.0,1.0,454.6,2.0,1.0,225.3,2.0,1.0,520.0
3.0,4.0,29.4,3.0,4.0,192.6,2.0,4.0,176.4,2.0,3.0,303.0,2.0,3.0,148.9,2.0,3.0,443.7
3.0,5.0,9.7,3.0,5.0,74.8,2.0,5.0,72.6,2.0,5.0,249.5,2.0,4.0,369.3,2.0,4.0,783.2
3.0,6.0,18.8,3.0,6.0,110.2,2.0,6.0,102.8,2.0,6.0,279.0,2.0,6.0,168.6,2.0,5.0,562.8
4.0,2.0,91.2,4.0,1.0,355.2,4.0,1.0,123.9,3.0,1.0,226.1,3.0,1.0,71.4,3.0,1.0,277.8
4.0,3.0,70.3,4.0,3.0,243.9,4.0,2.0,173.5,3.0,2.0,252.4,3.0,2.0,119.5,3.0,2.0,349.5
4.0,5.0,87.3,4.0,5.0,269.1,4.0,5.0,79.9,3.0,5.0,123.8,3.0,4.0,141.4,3.0,4.0,560.4
4.0,6.0,129.8,4.0,6.0,331.6,4.0,6.0,114.0,3.0,6.0,177.8,3.0,6.0,61.4,3.0,5.0,145.5
5.0,2.0,40.2,5.0,1.0,193.4,5.0,1.0,31.2,5.0,1.0,256.9,4.0,1.0,280.8,4.0,1.0,1092.0
5.0,3.0,21.9,5.0,3.0,114.2,5.0,2.0,67.0,5.0,2.0,239.0,4.0,2.0,352.3,4.0,2.0,872.5
5.0,4.0,91.8,5.0,4.0,353.3,5.0,4.0,74.3,5.0,3.0,143.0,4.0,3.0,188.4,4.0,3.0,896.6
5.0,6.0,42.4,5.0,6.0,174.2,5.0,6.0,24.0,5.0,6.0,130.5,4.0,6.0,166.4,4.0,5.0,666.7
6.0,2.0,154.4,6.0,1.0,373.6,6.0,1.0,66.2,6.0,1.0,415.3,6.0,1.0,162.3,5.0,1.0,389.2
6.0,3.0,61.6,6.0,3.0,273.7,6.0,2.0,138.1,6.0,2.0,577.8,6.0,2.0,200.3,5.0,2.0,461.0
6.0,4.0,233.4,6.0,4.0,619.1,6.0,4.0,162.7,6.0,3.0,317.8,6.0,3.0,91.8,5.0,3.0,159.5
6.0,5.0,97.5,6.0,5.0,303.7,6.0,5.0,44.9,6.0,5.0,244.8,6.0,4.0,217.7,5.0,4.0,535.0
