1,真庭 明志,真庭 明志.1,2,松尾 祭,松尾 祭.1,3,石塚 裕介,石塚 裕介.1,4,野相 弘司,野相 弘司.1,5,伊藤 玲奈,伊藤 玲奈.1,6,鈴木 峻佑,鈴木 峻佑.1
2.0,3.0,5.8,1.0,3.0,18.2,1.0,2.0,40.6,1.0,2.0,245.1,1.0,2.0,271.0,1.0,2.0,160.1
2.0,4.0,16.1,1.0,4.0,45.5,1.0,4.0,82.5,1.0,3.0,287.3,1.0,3.0,279.1,1.0,3.0,161.5
2.0,5.0,19.3,1.0,5.0,52.5,1.0,5.0,70.8,1.0,5.0,357.1,1.0,4.0,554.3,1.0,4.0,290.4
2.0,6.0,18.6,1.0,6.0,50.9,1.0,6.0,70.0,1.0,6.0,304.1,1.0,6.0,345.4,1.0,5.0,291.4
3.0,2.0,7.4,3.0,1.0,38.2,2.0,1.0,58.9,2.0,1.0,337.3,2.0,1.0,349.9,2.0,1.0,210.3
3.0,4.0,18.1,3.0,4.0,122.8,2.0,4.0,154.3,2.0,3.0,509.1,2.0,3.0,494.5,2.0,3.0,325.8
3.0,5.0,17.8,3.0,5.0,119.3,2.0,5.0,151.9,2.0,5.0,745.2,2.0,4.0,864.9,2.0,4.0,487.8
3.0,6.0,17.8,3.0,6.0,128.1,2.0,6.0,161.9,2.0,6.0,553.6,2.0,6.0,666.7,2.0,5.0,669.8
4.0,2.0,40.8,4.0,1.0,145.4,4.0,1.0,190.0,3.0,1.0,461.6,3.0,1.0,399.9,3.0,1.0,270.2
4.0,3.0,44.4,4.0,3.0,250.4,4.0,2.0,261.5,3.0,2.0,572.7,3.0,2.0,543.8,3.0,2.0,460.1
4.0,5.0,90.1,4.0,5.0,391.5,4.0,5.0,329.0,3.0,5.0,790.3,3.0,4.0,997.0,3.0,4.0,701.5
4.0,6.0,75.6,4.0,6.0,314.4,4.0,6.0,331.0,3.0,6.0,796.1,3.0,6.0,818.8,3.0,5.0,586.8
5.0,2.0,51.3,5.0,1.0,172.7,5.0,1.0,164.0,5.0,1.0,595.7,4.0,1.0,781.7,4.0,1.0,453.8
5.0,3.0,50.6,5.0,3.0,249.2,5.0,2.0,217.6,5.0,2.0,780.3,4.0,2.0,1142.0,4.0,2.0,603.2
5.0,4.0,118.0,5.0,4.0,451.5,5.0,4.0,370.0,5.0,3.0,922.3,4.0,3.0,1259.0,4.0,3.0,754.3
5.0,6.0,78.4,5.0,6.0,327.8,5.0,6.0,280.4,5.0,6.0,681.5,4.0,6.0,1130.0,4.0,5.0,942.5
6.0,2.0,40.2,6.0,1.0,152.6,6.0,1.0,170.4,6.0,1.0,462.6,6.0,1.0,419.0,5.0,1.0,521.4
6.0,3.0,40.4,6.0,3.0,256.8,6.0,2.0,260.7,6.0,2.0,578.1,6.0,2.0,680.4,5.0,2.0,854.6
6.0,4.0,88.6,6.0,4.0,377.1,6.0,4.0,415.3,6.0,3.0,790.3,6.0,3.0,755.6,5.0,3.0,838.0
6.0,5.0,87.6,6.0,5.0,409.0,6.0,5.0,363.7,6.0,5.0,727.5,6.0,4.0,899.2,5.0,4.0,1004.0
