1,水摩 敦,水摩 敦.1,2,三苫 晃幸,三苫 晃幸.1,3,幸野 史明,幸野 史明.1,4,田中 京介,田中 京介.1,5,山田 丈,山田 丈.1,6,山口 修路,山口 修路.1
2.0,3.0,12.3,1.0,3.0,72.6,1.0,2.0,335.7,1.0,2.0,82.2,1.0,2.0,65.9,1.0,2.0,514.5
2.0,4.0,5.1,1.0,4.0,34.6,1.0,4.0,392.2,1.0,3.0,324.5,1.0,3.0,232.8,1.0,3.0,872.9
2.0,5.0,6.0,1.0,5.0,37.9,1.0,5.0,445.6,1.0,5.0,83.2,1.0,4.0,93.7,1.0,4.0,728.8
2.0,6.0,23.3,1.0,6.0,98.9,1.0,6.0,651.3,1.0,6.0,158.5,1.0,6.0,95.8,1.0,5.0,521.6
3.0,2.0,26.4,3.0,1.0,370.1,2.0,1.0,520.8,2.0,1.0,158.6,2.0,1.0,127.9,2.0,1.0,944.6
3.0,4.0,34.5,3.0,4.0,549.5,2.0,4.0,779.7,2.0,3.0,648.0,2.0,3.0,573.6,2.0,3.0,2514.0
3.0,5.0,37.4,3.0,5.0,641.4,2.0,5.0,1217.0,2.0,5.0,254.1,2.0,4.0,300.6,2.0,4.0,1998.0
3.0,6.0,73.8,3.0,6.0,1084.0,2.0,6.0,1575.0,2.0,6.0,411.8,2.0,6.0,248.8,2.0,5.0,1309.0
4.0,2.0,10.8,4.0,1.0,139.5,4.0,1.0,759.4,3.0,1.0,849.5,3.0,1.0,674.4,3.0,1.0,2246.0
4.0,3.0,36.4,4.0,3.0,502.9,4.0,2.0,895.5,3.0,2.0,971.1,3.0,2.0,1026.0,3.0,2.0,3218.0
4.0,5.0,16.4,4.0,5.0,284.2,4.0,5.0,1356.0,3.0,5.0,1282.0,3.0,4.0,1356.0,3.0,4.0,3013.0
4.0,6.0,38.8,4.0,6.0,589.6,4.0,6.0,1718.0,3.0,6.0,1622.0,3.0,6.0,1097.0,3.0,5.0,2943.0
5.0,2.0,12.9,5.0,1.0,148.4,5.0,1.0,901.9,5.0,1.0,114.8,4.0,1.0,165.7,4.0,1.0,1427.0
5.0,3.0,45.0,5.0,3.0,713.7,5.0,2.0,1365.0,5.0,2.0,191.2,4.0,2.0,239.7,4.0,2.0,2157.0
5.0,4.0,23.0,5.0,4.0,340.5,5.0,4.0,1483.0,5.0,3.0,711.1,4.0,3.0,897.7,4.0,3.0,2812.0
5.0,6.0,30.2,5.0,6.0,425.7,5.0,6.0,1483.0,5.0,6.0,189.5,4.0,6.0,257.6,4.0,5.0,1595.0
6.0,2.0,82.5,6.0,1.0,561.7,6.0,1.0,1615.0,6.0,1.0,474.6,6.0,1.0,217.9,5.0,1.0,666.1
6.0,3.0,201.2,6.0,3.0,1758.0,6.0,2.0,2063.0,6.0,2.0,703.2,6.0,2.0,320.9,5.0,2.0,1123.0
6.0,4.0,109.6,6.0,4.0,1380.0,6.0,4.0,2344.0,6.0,3.0,1380.0,6.0,3.0,829.1,5.0,3.0,1733.0
6.0,5.0,81.8,6.0,5.0,893.4,6.0,5.0,2182.0,6.0,5.0,527.4,6.0,4.0,480.6,5.0,4.0,1466.0
