1,大庭 元明,大庭 元明.1,2,山口 広樹,山口 広樹.1,3,安部 慎一,安部 慎一.1,4,戸敷 晃美,戸敷 晃美.1,5,土井 歩夢,土井 歩夢.1,6,中島 真二,中島 真二.1
2.0,3.0,15.2,1.0,3.0,63.5,1.0,2.0,58.9,1.0,2.0,31.6,1.0,2.0,351.4,1.0,2.0,734.8
2.0,4.0,11.9,1.0,4.0,53.9,1.0,4.0,31.7,1.0,3.0,34.6,1.0,3.0,232.2,1.0,3.0,567.7
2.0,5.0,41.2,1.0,5.0,139.9,1.0,5.0,71.4,1.0,5.0,55.6,1.0,4.0,270.7,1.0,4.0,415.0
2.0,6.0,49.8,1.0,6.0,196.7,1.0,6.0,118.3,1.0,6.0,48.8,1.0,6.0,328.3,1.0,5.0,953.6
3.0,2.0,12.7,3.0,1.0,137.0,2.0,1.0,129.7,2.0,1.0,52.4,2.0,1.0,725.4,2.0,1.0,998.5
3.0,4.0,7.1,3.0,4.0,130.1,2.0,4.0,169.9,2.0,3.0,186.5,2.0,3.0,1074.0,2.0,3.0,1886.0
3.0,5.0,25.1,3.0,5.0,282.4,2.0,5.0,362.7,2.0,5.0,194.8,2.0,4.0,1054.0,2.0,4.0,1230.0
3.0,6.0,34.6,3.0,6.0,601.9,2.0,6.0,350.0,2.0,6.0,153.4,2.0,6.0,1391.0,2.0,5.0,2070.0
4.0,2.0,11.6,4.0,1.0,112.2,4.0,1.0,53.1,3.0,1.0,49.8,3.0,1.0,325.8,3.0,1.0,741.2
4.0,3.0,11.2,4.0,3.0,149.1,4.0,2.0,103.5,3.0,2.0,148.3,3.0,2.0,1035.0,3.0,2.0,2121.0
4.0,5.0,32.1,4.0,5.0,219.0,4.0,5.0,96.1,3.0,5.0,156.4,3.0,4.0,610.6,3.0,4.0,1154.0
4.0,6.0,28.7,4.0,6.0,289.1,4.0,6.0,121.4,3.0,6.0,173.7,3.0,6.0,953.6,3.0,5.0,2020.0
5.0,2.0,95.6,5.0,1.0,575.4,5.0,1.0,184.7,5.0,1.0,94.3,4.0,1.0,318.4,4.0,1.0,470.2
5.0,3.0,71.2,5.0,3.0,734.8,5.0,2.0,429.7,5.0,2.0,172.5,4.0,2.0,520.7,4.0,2.0,1187.0
5.0,4.0,80.1,5.0,4.0,411.0,5.0,4.0,247.4,5.0,3.0,196.0,4.0,3.0,492.0,4.0,3.0,1391.0
5.0,6.0,166.2,5.0,6.0,998.5,5.0,6.0,350.7,5.0,6.0,147.1,4.0,6.0,440.9,4.0,5.0,1414.0
6.0,2.0,159.2,6.0,1.0,898.1,6.0,1.0,412.0,6.0,1.0,114.4,6.0,1.0,734.8,5.0,1.0,1195.0
6.0,3.0,136.0,6.0,3.0,1489.0,6.0,2.0,757.8,6.0,2.0,189.2,6.0,2.0,1315.0,5.0,2.0,2325.0
6.0,4.0,119.6,6.0,4.0,424.3,6.0,4.0,446.7,6.0,3.0,303.6,6.0,3.0,1102.0,5.0,3.0,2176.0
6.0,5.0,257.2,6.0,5.0,1571.0,6.0,5.0,695.7,6.0,5.0,227.5,6.0,4.0,1054.0,5.0,4.0,1557.0
