1,大上 卓人,大上 卓人.1,2,渡邉 和将,渡邉 和将.1,3,山田 祐也,山田 祐也.1,4,平本 真之,平本 真之.1,5,今井 貴士,今井 貴士.1,6,春園 功太,春園 功太.1
2.0,3.0,11.0,1.0,3.0,42.9,1.0,2.0,68.8,1.0,2.0,75.4,1.0,2.0,141.3,1.0,2.0,880.4
2.0,4.0,9.5,1.0,4.0,34.1,1.0,4.0,50.5,1.0,3.0,88.4,1.0,3.0,153.9,1.0,3.0,1240.0
2.0,5.0,20.6,1.0,5.0,66.7,1.0,5.0,76.6,1.0,5.0,99.6,1.0,4.0,195.4,1.0,4.0,839.6
2.0,6.0,42.0,1.0,6.0,108.8,1.0,6.0,128.2,1.0,6.0,124.0,1.0,6.0,235.5,1.0,5.0,1521.0
3.0,2.0,13.1,3.0,1.0,109.2,2.0,1.0,136.3,2.0,1.0,135.5,2.0,1.0,282.4,2.0,1.0,1112.0
3.0,4.0,9.9,3.0,4.0,110.6,2.0,4.0,123.2,2.0,3.0,222.5,2.0,3.0,617.5,2.0,3.0,2282.0
3.0,5.0,21.2,3.0,5.0,172.3,2.0,5.0,181.5,2.0,5.0,229.3,2.0,4.0,540.6,2.0,4.0,1028.0
3.0,6.0,37.7,3.0,6.0,255.5,2.0,6.0,271.2,2.0,6.0,271.7,2.0,6.0,555.7,2.0,5.0,1656.0
4.0,2.0,13.4,4.0,1.0,84.0,4.0,1.0,84.3,3.0,1.0,154.5,3.0,1.0,313.6,3.0,1.0,1521.0
4.0,3.0,14.3,4.0,3.0,136.4,4.0,2.0,122.6,3.0,2.0,249.0,3.0,2.0,730.2,3.0,2.0,2536.0
4.0,5.0,21.1,4.0,5.0,171.7,4.0,5.0,120.2,3.0,5.0,254.6,3.0,4.0,622.5,3.0,4.0,1032.0
4.0,6.0,31.9,4.0,6.0,192.2,4.0,6.0,151.3,3.0,6.0,303.1,3.0,6.0,691.7,3.0,5.0,1856.0
5.0,2.0,32.7,5.0,1.0,210.4,5.0,1.0,178.1,5.0,1.0,165.6,4.0,1.0,382.0,4.0,1.0,929.5
5.0,3.0,33.3,5.0,3.0,329.0,5.0,2.0,277.3,5.0,2.0,248.7,4.0,2.0,648.7,4.0,2.0,1151.0
5.0,4.0,41.4,5.0,4.0,323.8,5.0,4.0,191.3,5.0,3.0,320.3,4.0,3.0,690.9,4.0,3.0,1316.0
5.0,6.0,67.3,5.0,6.0,440.8,5.0,6.0,319.8,5.0,6.0,247.5,4.0,6.0,569.6,4.0,5.0,1572.0
6.0,2.0,155.2,6.0,1.0,452.5,6.0,1.0,477.7,6.0,1.0,270.7,6.0,1.0,705.1,5.0,1.0,2061.0
6.0,3.0,168.3,6.0,3.0,880.4,6.0,2.0,664.1,6.0,2.0,434.9,6.0,2.0,961.4,5.0,2.0,2388.0
6.0,4.0,123.7,6.0,4.0,562.3,6.0,4.0,452.1,6.0,3.0,478.1,6.0,3.0,1203.0,5.0,3.0,2589.0
6.0,5.0,173.1,6.0,5.0,822.8,6.0,5.0,674.2,6.0,5.0,456.1,6.0,4.0,938.0,5.0,4.0,1956.0
