1,小林 遼太,小林 遼太.1,2,中辻 博訓,中辻 博訓.1,3,福田 雅一,福田 雅一.1,4,菊地 敬介,菊地 敬介.1,5,中田 友也,中田 友也.1,6,酒見 峻介,酒見 峻介.1
2.0,3.0,9.6,1.0,3.0,13.3,1.0,2.0,47.8,1.0,2.0,167.3,1.0,2.0,232.8,1.0,2.0,41.3
2.0,4.0,43.5,1.0,4.0,41.5,1.0,4.0,169.6,1.0,3.0,242.0,1.0,3.0,298.3,1.0,3.0,51.6
2.0,5.0,34.0,1.0,5.0,43.2,1.0,5.0,132.1,1.0,5.0,213.4,1.0,4.0,418.6,1.0,4.0,110.4
2.0,6.0,16.9,1.0,6.0,17.7,1.0,6.0,75.0,1.0,6.0,193.1,1.0,6.0,269.4,1.0,5.0,144.7
3.0,2.0,18.1,3.0,1.0,28.2,2.0,1.0,49.4,2.0,1.0,230.0,2.0,1.0,299.2,2.0,1.0,37.3
3.0,4.0,69.5,3.0,4.0,83.1,2.0,4.0,130.5,2.0,3.0,219.2,2.0,3.0,299.2,2.0,3.0,34.8
3.0,5.0,55.5,3.0,5.0,71.4,2.0,5.0,105.8,2.0,5.0,320.8,2.0,4.0,464.5,2.0,4.0,76.9
3.0,6.0,34.6,3.0,6.0,30.3,2.0,6.0,54.8,2.0,6.0,194.3,2.0,6.0,225.8,2.0,5.0,95.7
4.0,2.0,94.1,4.0,1.0,133.0,4.0,1.0,309.6,3.0,1.0,567.1,3.0,1.0,750.3,3.0,1.0,71.5
4.0,3.0,146.6,4.0,3.0,160.1,4.0,2.0,231.7,3.0,2.0,376.6,3.0,2.0,535.9,3.0,2.0,50.6
4.0,5.0,233.9,4.0,5.0,339.8,4.0,5.0,394.9,3.0,5.0,833.7,3.0,4.0,985.3,3.0,4.0,142.8
4.0,6.0,155.3,4.0,6.0,141.1,4.0,6.0,263.6,3.0,6.0,530.1,3.0,6.0,567.1,3.0,5.0,195.8
5.0,2.0,79.3,5.0,1.0,148.4,5.0,1.0,243.8,5.0,1.0,338.7,4.0,1.0,833.7,4.0,1.0,210.6
5.0,3.0,95.8,5.0,3.0,149.6,5.0,2.0,183.3,5.0,2.0,297.4,4.0,2.0,646.0,4.0,2.0,165.3
5.0,4.0,223.7,5.0,4.0,298.3,5.0,4.0,337.5,5.0,3.0,424.1,4.0,3.0,995.3,4.0,3.0,217.2
5.0,6.0,108.3,5.0,6.0,112.5,5.0,6.0,192.0,5.0,6.0,282.7,4.0,6.0,686.9,4.0,5.0,413.3
6.0,2.0,43.7,6.0,1.0,45.3,6.0,1.0,119.6,6.0,1.0,297.4,6.0,1.0,398.1,5.0,1.0,239.0
6.0,3.0,56.3,6.0,3.0,43.8,6.0,2.0,91.0,6.0,2.0,256.7,6.0,2.0,277.9,5.0,2.0,196.6
6.0,4.0,166.7,6.0,4.0,91.4,6.0,4.0,263.6,6.0,3.0,403.0,6.0,3.0,431.6,5.0,3.0,277.9
6.0,5.0,147.1,6.0,5.0,111.7,6.0,5.0,216.2,6.0,5.0,431.6,6.0,4.0,629.3,5.0,4.0,451.6
