1,水摩 敦,水摩 敦.1,2,野長瀬　正孝,野長瀬　正孝.1,3,吉永 浩則,吉永 浩則.1,4,山本 英志,山本 英志.1,5,田中　太一郎,田中　太一郎.1,6,鈴木 智啓,鈴木 智啓.1
2.0,3.0,11.5,1.0,3.0,97.3,1.0,2.0,291.6,1.0,2.0,26.2,1.0,2.0,156.6,1.0,2.0,693.2
2.0,4.0,4.2,1.0,4.0,40.6,1.0,4.0,280.0,1.0,3.0,93.9,1.0,3.0,453.9,1.0,3.0,1550.0
2.0,5.0,15.7,1.0,5.0,105.8,1.0,5.0,403.3,1.0,5.0,36.8,1.0,4.0,148.2,1.0,4.0,904.1
2.0,6.0,24.5,1.0,6.0,148.7,1.0,6.0,519.1,1.0,6.0,56.6,1.0,6.0,307.3,1.0,5.0,1643.0
3.0,2.0,27.0,3.0,1.0,310.4,2.0,1.0,457.8,2.0,1.0,52.5,2.0,1.0,335.9,2.0,1.0,939.4
3.0,4.0,23.4,3.0,4.0,609.5,2.0,4.0,783.4,2.0,3.0,210.2,2.0,3.0,1090.0,2.0,3.0,2066.0
3.0,5.0,62.5,3.0,5.0,803.7,2.0,5.0,1276.0,2.0,5.0,118.4,2.0,4.0,483.3,2.0,4.0,1619.0
3.0,6.0,97.4,3.0,6.0,651.6,2.0,6.0,1307.0,2.0,6.0,153.5,2.0,6.0,919.5,2.0,5.0,3144.0
4.0,2.0,6.1,4.0,1.0,88.6,4.0,1.0,557.8,3.0,1.0,407.8,3.0,1.0,1373.0,3.0,1.0,2170.0
4.0,3.0,17.2,4.0,3.0,413.3,4.0,2.0,919.5,3.0,2.0,592.9,3.0,2.0,1750.0,3.0,2.0,2066.0
4.0,5.0,13.3,4.0,5.0,301.8,4.0,5.0,733.1,3.0,5.0,706.8,3.0,4.0,1656.0,3.0,4.0,2855.0
4.0,6.0,25.8,4.0,6.0,371.5,4.0,6.0,837.8,3.0,6.0,882.1,3.0,6.0,2170.0,3.0,5.0,2028.0
5.0,2.0,32.1,5.0,1.0,445.5,5.0,1.0,1043.0,5.0,1.0,64.8,4.0,1.0,215.4,4.0,1.0,1299.0
5.0,3.0,97.6,5.0,3.0,960.1,5.0,2.0,1090.0,5.0,2.0,114.0,4.0,2.0,322.4,4.0,2.0,1466.0
5.0,4.0,36.3,5.0,4.0,620.0,5.0,4.0,1323.0,5.0,3.0,289.7,4.0,3.0,889.3,4.0,3.0,2855.0
5.0,6.0,111.1,5.0,6.0,981.9,5.0,6.0,1808.0,5.0,6.0,120.4,4.0,6.0,467.6,4.0,5.0,1839.0
6.0,2.0,109.9,6.0,1.0,632.6,6.0,1.0,1043.0,6.0,1.0,162.5,6.0,1.0,772.2,5.0,1.0,2358.0
6.0,3.0,255.8,6.0,3.0,711.4,6.0,2.0,1018.0,6.0,2.0,252.9,6.0,2.0,986.3,5.0,2.0,2893.0
6.0,4.0,113.5,6.0,4.0,915.6,6.0,4.0,1079.0,6.0,3.0,663.6,6.0,3.0,1631.0,5.0,3.0,3557.0
6.0,5.0,226.9,6.0,5.0,1496.0,6.0,5.0,1631.0,6.0,5.0,252.3,6.0,4.0,900.4,5.0,4.0,2358.0
