1,山本 梨菜,山本 梨菜.1,2,大谷 直弘,大谷 直弘.1,3,柳生 泰二,柳生 泰二.1,4,山谷 央,山谷 央.1,5,坂井 康嗣,坂井 康嗣.1,6,稗田 聖也,稗田 聖也.1
2.0,3.0,32.7,1.0,3.0,85.5,1.0,2.0,18.3,1.0,2.0,420.0,1.0,2.0,445.0,1.0,2.0,562.4
2.0,4.0,79.5,1.0,4.0,199.4,1.0,4.0,13.0,1.0,3.0,175.1,1.0,3.0,175.8,1.0,3.0,278.8
2.0,5.0,133.2,1.0,5.0,396.4,1.0,5.0,16.9,1.0,5.0,380.2,1.0,4.0,473.1,1.0,4.0,854.0
2.0,6.0,99.7,1.0,6.0,305.2,1.0,6.0,12.3,1.0,6.0,336.1,1.0,6.0,317.3,1.0,5.0,890.0
3.0,2.0,14.7,3.0,1.0,105.9,2.0,1.0,41.3,2.0,1.0,536.4,2.0,1.0,803.8,2.0,1.0,870.0
3.0,4.0,15.6,3.0,4.0,125.0,2.0,4.0,45.9,2.0,3.0,323.0,2.0,3.0,457.2,2.0,3.0,609.7
3.0,5.0,21.8,3.0,5.0,219.9,2.0,5.0,65.8,2.0,5.0,712.5,2.0,4.0,886.6,2.0,4.0,1358.0
3.0,6.0,15.1,3.0,6.0,169.0,2.0,6.0,48.6,2.0,6.0,612.9,2.0,6.0,751.7,2.0,5.0,1814.0
4.0,2.0,113.4,4.0,1.0,603.3,4.0,1.0,27.1,3.0,1.0,135.8,3.0,1.0,141.0,3.0,1.0,231.8
4.0,3.0,59.8,4.0,3.0,313.9,4.0,2.0,42.1,3.0,2.0,170.9,3.0,2.0,270.4,3.0,2.0,375.8
4.0,5.0,145.4,4.0,5.0,893.4,4.0,5.0,25.1,3.0,5.0,139.6,3.0,4.0,196.7,3.0,4.0,335.2
4.0,6.0,122.0,4.0,6.0,621.1,4.0,6.0,20.6,3.0,6.0,113.3,3.0,6.0,136.9,3.0,5.0,350.3
5.0,2.0,191.8,5.0,1.0,850.9,5.0,1.0,32.0,5.0,1.0,479.9,4.0,1.0,667.5,4.0,1.0,984.3
5.0,3.0,82.9,5.0,3.0,483.9,5.0,2.0,65.5,5.0,2.0,769.2,4.0,2.0,997.0,4.0,2.0,1358.0
5.0,4.0,255.8,5.0,4.0,1242.0,5.0,4.0,38.3,5.0,3.0,235.1,4.0,3.0,333.2,4.0,3.0,572.1
5.0,6.0,210.2,5.0,6.0,710.4,5.0,6.0,26.8,5.0,6.0,284.6,4.0,6.0,467.4,4.0,5.0,1001.0
6.0,2.0,193.2,6.0,1.0,721.4,6.0,1.0,33.1,6.0,1.0,498.5,6.0,1.0,430.1,5.0,1.0,984.3
6.0,3.0,87.4,6.0,3.0,429.3,6.0,2.0,67.7,6.0,2.0,703.9,6.0,2.0,782.1,5.0,2.0,1538.0
6.0,4.0,256.9,6.0,4.0,971.9,6.0,4.0,41.0,6.0,3.0,275.8,6.0,3.0,253.3,5.0,3.0,434.2
6.0,5.0,273.6,6.0,5.0,1150.0,6.0,5.0,41.1,6.0,5.0,398.4,6.0,4.0,562.4,5.0,4.0,1005.0
