1,西丸　侑太朗,西丸　侑太朗.1,2,石田 貴洋,石田 貴洋.1,3,渡辺 空依,渡辺 空依.1,4,三馬 崇史,三馬 崇史.1,5,藤本 元輝,藤本 元輝.1,6,藤原 碧生,藤原 碧生.1
2.0,3.0,14.4,1.0,3.0,34.5,1.0,2.0,191.3,1.0,2.0,118.7,1.0,2.0,166.9,1.0,2.0,29.2
2.0,4.0,18.0,1.0,4.0,34.6,1.0,4.0,308.2,1.0,3.0,373.5,1.0,3.0,390.1,1.0,3.0,102.9
2.0,5.0,27.7,1.0,5.0,48.2,1.0,5.0,341.7,1.0,5.0,242.2,1.0,4.0,315.6,1.0,4.0,77.6
2.0,6.0,7.7,1.0,6.0,14.4,1.0,6.0,190.5,1.0,6.0,99.3,1.0,6.0,138.7,1.0,5.0,95.4
3.0,2.0,33.2,3.0,1.0,105.0,2.0,1.0,238.2,2.0,1.0,158.5,2.0,1.0,229.5,2.0,1.0,34.7
3.0,4.0,65.2,3.0,4.0,217.5,2.0,4.0,338.2,2.0,3.0,448.2,2.0,3.0,551.0,2.0,3.0,123.8
3.0,5.0,79.5,3.0,5.0,256.7,2.0,5.0,427.9,2.0,5.0,330.6,2.0,4.0,445.2,2.0,4.0,93.3
3.0,6.0,38.8,3.0,6.0,88.2,2.0,6.0,220.7,2.0,6.0,126.6,2.0,6.0,166.3,2.0,5.0,125.2
4.0,2.0,38.8,4.0,1.0,114.3,4.0,1.0,486.2,3.0,1.0,572.5,3.0,1.0,918.3,3.0,1.0,260.3
4.0,3.0,84.0,4.0,3.0,274.9,4.0,2.0,518.6,3.0,2.0,688.7,3.0,2.0,1075.0,3.0,2.0,280.1
4.0,5.0,96.2,4.0,5.0,313.3,4.0,5.0,696.0,3.0,5.0,782.5,3.0,4.0,1392.0,3.0,4.0,516.5
4.0,6.0,38.7,4.0,6.0,88.1,4.0,6.0,301.9,3.0,6.0,286.2,3.0,6.0,777.9,3.0,5.0,638.8
5.0,2.0,54.4,5.0,1.0,150.2,5.0,1.0,574.9,5.0,1.0,314.1,4.0,1.0,620.8,4.0,1.0,166.3
5.0,3.0,119.4,5.0,3.0,321.7,5.0,2.0,567.5,5.0,2.0,322.5,4.0,2.0,598.4,4.0,2.0,154.3
5.0,4.0,141.4,5.0,4.0,357.4,5.0,4.0,667.9,5.0,3.0,692.3,4.0,3.0,1120.0,4.0,3.0,423.8
5.0,6.0,51.1,5.0,6.0,130.2,5.0,6.0,620.8,5.0,6.0,199.1,4.0,6.0,369.4,4.0,5.0,348.0
6.0,2.0,13.8,6.0,1.0,24.8,6.0,1.0,213.3,6.0,1.0,113.0,6.0,1.0,151.3,5.0,1.0,164.6
6.0,3.0,39.8,6.0,3.0,69.1,6.0,2.0,293.8,6.0,2.0,112.5,6.0,2.0,152.3,5.0,2.0,182.9
6.0,4.0,37.2,6.0,4.0,63.2,6.0,4.0,426.6,6.0,3.0,320.2,6.0,3.0,324.1,5.0,3.0,385.5
6.0,5.0,46.0,6.0,5.0,93.1,6.0,5.0,580.0,6.0,5.0,223.0,6.0,4.0,283.7,5.0,4.0,300.5
