1,柴田 大輔,柴田 大輔.1,2,柴田 朋哉,柴田 朋哉.1,3,大庭 元明,大庭 元明.1,4,小川 広大,小川 広大.1,5,伊藤 尚汰,伊藤 尚汰.1,6,岡村 慶太,岡村 慶太.1
2.0,3.0,12.3,1.0,3.0,30.3,1.0,2.0,57.6,1.0,2.0,268.2,1.0,2.0,536.5,1.0,2.0,70.3
2.0,4.0,34.7,1.0,4.0,70.7,1.0,4.0,84.4,1.0,3.0,365.1,1.0,3.0,518.4,1.0,3.0,57.2
2.0,5.0,63.8,1.0,5.0,103.8,1.0,5.0,118.4,1.0,5.0,417.3,1.0,4.0,803.6,1.0,4.0,135.4
2.0,6.0,11.1,1.0,6.0,23.8,1.0,6.0,27.3,1.0,6.0,145.9,1.0,6.0,412.6,1.0,5.0,199.1
3.0,2.0,15.1,3.0,1.0,59.5,2.0,1.0,81.7,2.0,1.0,368.0,2.0,1.0,859.9,2.0,1.0,95.8
3.0,4.0,32.6,3.0,4.0,143.1,2.0,4.0,161.4,2.0,3.0,576.9,2.0,3.0,713.3,2.0,3.0,97.6
3.0,5.0,55.9,3.0,5.0,162.8,2.0,5.0,182.3,2.0,5.0,751.1,2.0,4.0,1804.0,2.0,4.0,156.4
3.0,6.0,9.3,3.0,6.0,45.9,2.0,6.0,52.3,2.0,6.0,187.7,2.0,6.0,580.5,2.0,5.0,229.4
4.0,2.0,65.3,4.0,1.0,181.8,4.0,1.0,230.9,3.0,1.0,493.3,3.0,1.0,697.0,3.0,1.0,71.3
4.0,3.0,78.2,4.0,3.0,263.2,4.0,2.0,255.9,3.0,2.0,541.2,3.0,2.0,760.4,3.0,2.0,79.5
4.0,5.0,173.4,4.0,5.0,474.3,4.0,5.0,386.6,3.0,5.0,721.6,3.0,4.0,757.3,3.0,4.0,182.9
4.0,6.0,47.0,4.0,6.0,118.4,4.0,6.0,124.0,3.0,6.0,269.0,3.0,6.0,546.0,3.0,5.0,215.7
5.0,2.0,144.1,5.0,1.0,373.2,5.0,1.0,303.6,5.0,1.0,639.0,4.0,1.0,1533.0,4.0,1.0,222.7
5.0,3.0,177.2,5.0,3.0,392.3,5.0,2.0,347.8,5.0,2.0,810.7,4.0,2.0,1643.0,4.0,2.0,195.9
5.0,4.0,267.8,5.0,4.0,691.8,5.0,4.0,441.3,5.0,3.0,948.6,4.0,3.0,1484.0,4.0,3.0,305.1
5.0,6.0,116.1,5.0,6.0,253.4,5.0,6.0,210.5,5.0,6.0,355.2,4.0,6.0,751.1,4.0,5.0,390.7
6.0,2.0,18.7,6.0,1.0,51.4,6.0,1.0,42.6,6.0,1.0,168.8,6.0,1.0,605.3,5.0,1.0,403.5
6.0,3.0,19.3,6.0,3.0,57.7,6.0,2.0,44.5,6.0,2.0,152.8,6.0,2.0,547.7,5.0,2.0,353.2
6.0,4.0,43.6,6.0,4.0,100.0,6.0,4.0,94.3,6.0,3.0,253.1,6.0,3.0,492.0,5.0,3.0,546.0
6.0,5.0,71.2,6.0,5.0,160.3,6.0,5.0,128.3,6.0,5.0,264.0,6.0,4.0,707.8,5.0,4.0,448.8
