1,村松 修二,村松 修二.1,2,江本 真治,江本 真治.1,3,森 貴洋,森 貴洋.1,4,村田 浩司,村田 浩司.1,5,西村 秀樹,西村 秀樹.1,6,井上 慧人,井上 慧人.1
2.0,3.0,3.5,1.0,3.0,19.0,1.0,2.0,43.2,1.0,2.0,150.4,1.0,2.0,349.7,1.0,2.0,718.1
2.0,4.0,9.4,1.0,4.0,45.7,1.0,4.0,87.8,1.0,3.0,201.2,1.0,3.0,384.7,1.0,3.0,762.2
2.0,5.0,17.0,1.0,5.0,61.4,1.0,5.0,99.8,1.0,5.0,194.4,1.0,4.0,415.9,1.0,4.0,1233.0
2.0,6.0,59.8,1.0,6.0,199.1,1.0,6.0,268.8,1.0,6.0,387.0,1.0,6.0,864.1,1.0,5.0,1496.0
3.0,2.0,5.1,3.0,1.0,50.0,2.0,1.0,71.1,2.0,1.0,234.3,2.0,1.0,588.6,2.0,1.0,973.4
3.0,4.0,10.6,3.0,4.0,160.7,2.0,4.0,198.8,2.0,3.0,366.8,2.0,3.0,887.8,2.0,3.0,1233.0
3.0,5.0,16.3,3.0,5.0,202.8,2.0,5.0,243.5,2.0,5.0,430.3,2.0,4.0,1110.0,2.0,4.0,2183.0
3.0,6.0,67.0,3.0,6.0,456.4,2.0,6.0,458.4,2.0,6.0,803.9,2.0,6.0,1728.0,2.0,5.0,2627.0
4.0,2.0,21.3,4.0,1.0,167.0,4.0,1.0,235.9,3.0,1.0,439.7,3.0,1.0,667.7,3.0,1.0,1252.0
4.0,3.0,26.0,4.0,3.0,240.8,4.0,2.0,313.4,3.0,2.0,561.0,3.0,2.0,1228.0,3.0,2.0,1719.0
4.0,5.0,51.6,4.0,5.0,386.5,4.0,5.0,513.8,3.0,5.0,837.2,3.0,4.0,1599.0,3.0,4.0,2938.0
4.0,6.0,109.2,4.0,6.0,721.3,4.0,6.0,1045.0,3.0,6.0,1553.0,3.0,6.0,2627.0,3.0,5.0,3107.0
5.0,2.0,54.5,5.0,1.0,282.9,5.0,1.0,325.1,5.0,1.0,365.5,4.0,1.0,716.5,4.0,1.0,1568.0
5.0,3.0,58.8,5.0,3.0,385.6,5.0,2.0,510.5,5.0,2.0,478.0,4.0,2.0,920.7,4.0,2.0,2198.0
5.0,4.0,101.0,5.0,4.0,582.3,5.0,4.0,704.1,5.0,3.0,687.6,4.0,3.0,1257.0,4.0,3.0,3366.0
5.0,6.0,234.0,5.0,6.0,1080.0,5.0,6.0,1110.0,5.0,6.0,705.6,4.0,6.0,1346.0,4.0,5.0,2085.0
6.0,2.0,239.3,6.0,1.0,854.9,6.0,1.0,982.3,6.0,1.0,878.2,6.0,1.0,1709.0,5.0,1.0,1795.0
6.0,3.0,238.1,6.0,3.0,1162.0,6.0,2.0,1524.0,6.0,2.0,1553.0,6.0,2.0,2524.0,5.0,2.0,2810.0
6.0,4.0,369.7,6.0,4.0,1449.0,6.0,4.0,1857.0,6.0,3.0,1709.0,6.0,3.0,2505.0,5.0,3.0,2786.0
6.0,5.0,393.1,6.0,5.0,1836.0,6.0,5.0,1795.0,6.0,5.0,1188.0,6.0,4.0,1746.0,5.0,4.0,1946.0
