1,長岡 良也,長岡 良也.1,2,伊藤 誠二,伊藤 誠二.1,3,森安 弘雅,森安 弘雅.1,4,菊池 峰晴,菊池 峰晴.1,5,山本 修一,山本 修一.1,6,榎 幸司,榎 幸司.1
2.0,3.0,6.1,1.0,3.0,50.3,1.0,2.0,182.4,1.0,2.0,133.3,1.0,2.0,90.8,1.0,2.0,655.3
2.0,4.0,7.9,1.0,4.0,58.0,1.0,4.0,242.7,1.0,3.0,303.3,1.0,3.0,212.3,1.0,3.0,1074.0
2.0,5.0,6.0,1.0,5.0,38.4,1.0,5.0,199.3,1.0,5.0,123.5,1.0,4.0,178.5,1.0,4.0,994.8
2.0,6.0,24.7,1.0,6.0,95.3,1.0,6.0,363.9,1.0,6.0,230.8,1.0,6.0,167.7,1.0,5.0,772.6
3.0,2.0,11.8,3.0,1.0,198.1,2.0,1.0,278.2,2.0,1.0,247.0,2.0,1.0,163.5,2.0,1.0,892.8
3.0,4.0,23.0,3.0,4.0,509.5,2.0,4.0,586.2,2.0,3.0,717.4,2.0,3.0,554.4,2.0,3.0,1735.0
3.0,5.0,17.8,3.0,5.0,386.9,2.0,5.0,491.3,2.0,5.0,343.6,2.0,4.0,452.6,2.0,4.0,1582.0
3.0,6.0,49.8,3.0,6.0,739.8,2.0,6.0,797.4,2.0,6.0,574.6,2.0,6.0,397.8,2.0,5.0,1463.0
4.0,2.0,18.9,4.0,1.0,178.5,4.0,1.0,613.7,3.0,1.0,816.1,3.0,1.0,579.7,3.0,1.0,2523.0
4.0,3.0,37.7,4.0,3.0,609.4,4.0,2.0,897.4,3.0,2.0,1374.0,3.0,2.0,998.7,3.0,2.0,3305.0
4.0,5.0,23.7,4.0,5.0,356.5,4.0,5.0,833.0,3.0,5.0,1318.0,3.0,4.0,1342.0,3.0,4.0,3704.0
4.0,6.0,48.7,4.0,6.0,613.7,4.0,6.0,1315.0,3.0,6.0,1568.0,3.0,6.0,1356.0,3.0,5.0,3627.0
5.0,2.0,13.3,5.0,1.0,127.6,5.0,1.0,450.6,5.0,1.0,154.1,4.0,1.0,275.3,4.0,1.0,1602.0
5.0,3.0,28.8,5.0,3.0,411.2,5.0,2.0,611.6,5.0,2.0,264.1,4.0,2.0,443.7,4.0,2.0,2106.0
5.0,4.0,32.1,5.0,4.0,369.3,5.0,4.0,814.8,5.0,3.0,586.8,4.0,3.0,1014.0,4.0,3.0,3090.0
5.0,6.0,37.8,5.0,6.0,367.0,5.0,6.0,969.0,5.0,6.0,251.3,4.0,6.0,443.0,4.0,5.0,1299.0
6.0,2.0,81.3,6.0,1.0,425.6,6.0,1.0,1312.0,6.0,1.0,471.8,6.0,1.0,360.4,5.0,1.0,931.0
6.0,3.0,141.4,6.0,3.0,1322.0,6.0,2.0,1488.0,6.0,2.0,716.4,6.0,2.0,528.1,5.0,2.0,1363.0
6.0,4.0,134.9,6.0,4.0,1059.0,6.0,4.0,1788.0,6.0,3.0,1214.0,6.0,3.0,1200.0,5.0,3.0,2778.0
6.0,5.0,101.4,6.0,5.0,704.8,6.0,5.0,1832.0,6.0,5.0,521.7,6.0,4.0,575.2,5.0,4.0,1108.0
