1,小林 基樹,小林 基樹.1,2,島川 海輝,島川 海輝.1,3,井内　将太郎,井内　将太郎.1,4,荒川 健太,荒川 健太.1,5,飯山 晃三,飯山 晃三.1,6,楠原 翔太,楠原 翔太.1
2.0,3.0,17.6,1.0,3.0,30.5,1.0,2.0,28.9,1.0,2.0,97.2,1.0,2.0,930.8,1.0,2.0,1211.0
2.0,4.0,24.6,1.0,4.0,35.2,1.0,4.0,20.0,1.0,3.0,56.1,1.0,3.0,767.1,1.0,3.0,834.2
2.0,5.0,119.7,1.0,5.0,151.1,1.0,5.0,71.6,1.0,5.0,224.8,1.0,4.0,1293.0,1.0,4.0,1375.0
2.0,6.0,110.3,1.0,6.0,120.7,1.0,6.0,67.8,1.0,6.0,130.9,1.0,6.0,1339.0,1.0,5.0,1839.0
3.0,2.0,16.4,3.0,1.0,37.2,2.0,1.0,31.8,2.0,1.0,113.5,2.0,1.0,1031.0,2.0,1.0,1165.0
3.0,4.0,13.5,3.0,4.0,19.4,2.0,4.0,16.4,2.0,3.0,55.7,2.0,3.0,799.2,2.0,3.0,644.1
3.0,5.0,66.6,3.0,5.0,79.2,2.0,5.0,68.3,2.0,5.0,177.1,2.0,4.0,1075.0,2.0,4.0,848.1
3.0,6.0,56.1,3.0,6.0,54.4,2.0,6.0,51.3,2.0,6.0,101.3,2.0,6.0,1122.0,2.0,5.0,1590.0
4.0,2.0,33.2,4.0,1.0,53.7,4.0,1.0,23.5,3.0,1.0,51.9,3.0,1.0,669.5,3.0,1.0,795.1
4.0,3.0,20.9,4.0,3.0,30.0,4.0,2.0,17.5,3.0,2.0,48.0,3.0,2.0,774.9,3.0,2.0,615.5
4.0,5.0,116.3,4.0,5.0,143.0,4.0,5.0,45.4,3.0,5.0,95.3,3.0,4.0,748.3,3.0,4.0,492.4
4.0,6.0,72.6,4.0,6.0,76.7,4.0,6.0,33.8,3.0,6.0,66.0,3.0,6.0,1282.0,3.0,5.0,1387.0
5.0,2.0,296.4,5.0,1.0,495.6,5.0,1.0,216.2,5.0,1.0,398.5,4.0,1.0,1017.0,4.0,1.0,1542.0
5.0,3.0,243.4,5.0,3.0,331.8,5.0,2.0,218.0,5.0,2.0,371.4,4.0,2.0,991.3,4.0,2.0,1082.0
5.0,4.0,326.2,5.0,4.0,386.4,5.0,4.0,158.0,5.0,3.0,260.5,4.0,3.0,744.6,4.0,3.0,578.2
5.0,6.0,449.0,5.0,6.0,495.6,5.0,6.0,284.2,5.0,6.0,355.0,4.0,6.0,1130.0,4.0,5.0,1796.0
6.0,2.0,329.0,6.0,1.0,375.0,6.0,1.0,203.5,6.0,1.0,338.4,6.0,1.0,1590.0,5.0,1.0,1982.0
6.0,3.0,244.2,6.0,3.0,222.5,6.0,2.0,161.2,6.0,2.0,282.1,6.0,2.0,1982.0,5.0,2.0,2008.0
6.0,4.0,263.6,6.0,4.0,251.9,6.0,4.0,113.0,6.0,3.0,179.3,6.0,3.0,1526.0,5.0,3.0,1861.0
6.0,5.0,535.6,6.0,5.0,497.2,6.0,5.0,318.0,6.0,5.0,400.6,6.0,4.0,1573.0,5.0,4.0,2150.0
