1,長畑 友輔,長畑 友輔.1,2,吉永 泰弘,吉永 泰弘.1,3,鳥飼 眞,鳥飼 眞.1,4,高橋 直哉,高橋 直哉.1,5,松井 賢治,松井 賢治.1,6,宮迫 暢彦,宮迫 暢彦.1
2.0,3.0,14.2,1.0,3.0,66.7,1.0,2.0,45.1,1.0,2.0,227.3,1.0,2.0,125.6,1.0,2.0,813.6
2.0,4.0,25.1,1.0,4.0,93.5,1.0,4.0,30.2,1.0,3.0,140.7,1.0,3.0,105.4,1.0,3.0,550.4
2.0,5.0,31.1,1.0,5.0,88.6,1.0,5.0,25.2,1.0,5.0,169.1,1.0,4.0,230.5,1.0,4.0,613.5
2.0,6.0,68.0,1.0,6.0,196.3,1.0,6.0,49.5,1.0,6.0,204.1,1.0,6.0,121.2,1.0,5.0,383.2
3.0,2.0,12.0,3.0,1.0,132.7,2.0,1.0,96.3,2.0,1.0,321.7,2.0,1.0,187.1,2.0,1.0,1011.0
3.0,4.0,11.1,3.0,4.0,160.1,2.0,4.0,97.2,2.0,3.0,303.4,2.0,3.0,247.8,2.0,3.0,976.4
3.0,5.0,10.8,3.0,5.0,149.9,2.0,5.0,90.1,2.0,5.0,299.4,2.0,4.0,442.0,2.0,4.0,1059.0
3.0,6.0,28.7,3.0,6.0,227.7,2.0,6.0,144.8,2.0,6.0,379.3,2.0,6.0,256.9,2.0,5.0,680.5
4.0,2.0,48.1,4.0,1.0,232.9,4.0,1.0,57.6,3.0,1.0,156.1,3.0,1.0,126.5,3.0,1.0,569.9
4.0,3.0,26.7,4.0,3.0,277.2,4.0,2.0,100.9,3.0,2.0,267.3,3.0,2.0,209.8,3.0,2.0,819.6
4.0,5.0,45.7,4.0,5.0,259.3,4.0,5.0,45.6,3.0,5.0,136.6,3.0,4.0,181.1,3.0,4.0,729.1
4.0,6.0,71.6,4.0,6.0,310.1,4.0,6.0,68.4,3.0,6.0,169.1,3.0,6.0,130.4,3.0,5.0,345.5
5.0,2.0,49.4,5.0,1.0,236.8,5.0,1.0,41.6,5.0,1.0,158.1,4.0,1.0,258.1,4.0,1.0,688.8
5.0,3.0,28.1,5.0,3.0,224.1,5.0,2.0,88.3,5.0,2.0,235.4,4.0,2.0,375.5,4.0,2.0,1069.0
5.0,4.0,41.6,5.0,4.0,358.7,5.0,4.0,52.4,5.0,3.0,142.8,4.0,3.0,247.3,4.0,3.0,870.4
5.0,6.0,55.8,5.0,6.0,318.0,5.0,6.0,40.0,5.0,6.0,136.4,4.0,6.0,207.1,4.0,5.0,481.9
6.0,2.0,246.2,6.0,1.0,790.7,6.0,1.0,128.7,6.0,1.0,401.0,6.0,1.0,173.2,5.0,1.0,344.4
6.0,3.0,133.9,6.0,3.0,672.3,6.0,2.0,276.5,6.0,2.0,537.2,6.0,2.0,256.3,5.0,2.0,534.7
6.0,4.0,247.8,6.0,4.0,844.2,6.0,4.0,181.1,6.0,3.0,317.1,6.0,3.0,165.6,5.0,3.0,344.4
6.0,5.0,135.6,6.0,5.0,503.5,6.0,5.0,88.7,6.0,5.0,242.5,6.0,4.0,267.9,5.0,4.0,435.2
