1,國弘 翔平,國弘 翔平.1,2,藤井 公人,藤井 公人.1,3,高山 秀雄,高山 秀雄.1,4,堂原 洋史,堂原 洋史.1,5,岡部 貴司,岡部 貴司.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,9.1,1.0,3.0,17.9,1.0,2.0,84.2,1.0,2.0,114.8,1.0,2.0,58.1,1.0,2.0,925.3
2.0,4.0,15.0,1.0,4.0,27.6,1.0,4.0,110.7,1.0,3.0,134.4,1.0,3.0,59.5,1.0,3.0,2294.0
2.0,5.0,8.8,1.0,5.0,17.2,1.0,5.0,55.7,1.0,5.0,86.1,1.0,4.0,103.3,1.0,4.0,1448.0
2.0,6.0,140.2,1.0,6.0,208.1,1.0,6.0,502.8,1.0,6.0,361.0,1.0,6.0,323.8,1.0,5.0,1550.0
3.0,2.0,14.6,3.0,1.0,61.2,2.0,1.0,116.8,2.0,1.0,172.3,2.0,1.0,82.7,2.0,1.0,1310.0
3.0,4.0,27.2,3.0,4.0,119.6,2.0,4.0,199.4,2.0,3.0,259.7,2.0,3.0,96.8,2.0,3.0,2976.0
3.0,5.0,15.3,3.0,5.0,58.5,2.0,5.0,104.4,2.0,5.0,159.8,2.0,4.0,167.8,2.0,4.0,2823.0
3.0,6.0,268.5,3.0,6.0,710.4,2.0,6.0,780.9,2.0,6.0,592.0,2.0,6.0,640.2,2.0,5.0,2039.0
4.0,2.0,29.5,4.0,1.0,96.5,4.0,1.0,180.2,3.0,1.0,222.9,3.0,1.0,89.5,3.0,1.0,2447.0
4.0,3.0,40.3,4.0,3.0,145.8,4.0,2.0,238.8,3.0,2.0,367.0,3.0,2.0,134.2,3.0,2.0,3058.0
4.0,5.0,34.8,4.0,5.0,98.6,4.0,5.0,162.4,3.0,5.0,218.0,3.0,4.0,192.8,3.0,4.0,2393.0
4.0,6.0,254.9,4.0,6.0,734.1,4.0,6.0,821.7,3.0,6.0,983.1,3.0,6.0,336.7,3.0,5.0,2247.0
5.0,2.0,17.3,5.0,1.0,46.9,5.0,1.0,91.9,5.0,1.0,88.9,4.0,1.0,115.7,4.0,1.0,1835.0
5.0,3.0,21.8,5.0,3.0,57.4,5.0,2.0,118.7,5.0,2.0,115.3,4.0,2.0,146.6,4.0,2.0,2077.0
5.0,4.0,42.5,5.0,4.0,86.0,5.0,4.0,163.3,5.0,3.0,158.4,4.0,3.0,203.9,4.0,3.0,2247.0
5.0,6.0,248.5,5.0,6.0,526.8,5.0,6.0,734.1,5.0,6.0,247.4,4.0,6.0,349.5,4.0,5.0,1430.0
6.0,2.0,374.5,6.0,1.0,553.3,6.0,1.0,1237.0,6.0,1.0,827.9,6.0,1.0,880.9,5.0,1.0,1966.0
6.0,3.0,608.3,6.0,3.0,1326.0,6.0,2.0,1393.0,6.0,2.0,957.5,6.0,2.0,1029.0,5.0,2.0,2159.0
6.0,4.0,705.8,6.0,4.0,1019.0,6.0,4.0,1237.0,6.0,3.0,1196.0,6.0,3.0,1058.0,5.0,3.0,3058.0
6.0,5.0,502.8,6.0,5.0,941.1,6.0,5.0,1196.0,6.0,5.0,611.7,6.0,4.0,710.4,5.0,4.0,1573.0
