1,桑原 啓,桑原 啓.1,2,岡崎 恭裕,岡崎 恭裕.1,3,原田　才一郎,原田　才一郎.1,4,山下 心一,山下 心一.1,5,富田 恕生,富田 恕生.1,6,前田　健太郎,前田　健太郎.1
2.0,3.0,11.0,1.0,3.0,13.6,1.0,2.0,12.1,1.0,2.0,772.0,1.0,2.0,215.4,1.0,2.0,1042.0
2.0,4.0,116.5,1.0,4.0,149.0,1.0,4.0,70.8,1.0,3.0,563.4,1.0,3.0,160.5,1.0,3.0,980.6
2.0,5.0,31.1,1.0,5.0,35.6,1.0,5.0,18.9,1.0,5.0,1060.0,1.0,4.0,893.7,1.0,4.0,2591.0
2.0,6.0,102.6,1.0,6.0,108.8,1.0,6.0,61.2,1.0,6.0,1537.0,1.0,6.0,594.8,1.0,5.0,1439.0
3.0,2.0,10.0,3.0,1.0,13.4,2.0,1.0,12.7,2.0,1.0,809.9,2.0,1.0,233.7,2.0,1.0,1086.0
3.0,4.0,77.9,3.0,4.0,93.9,2.0,4.0,71.5,2.0,3.0,530.4,2.0,3.0,125.0,2.0,3.0,778.6
3.0,5.0,19.6,3.0,5.0,15.7,2.0,5.0,10.5,2.0,5.0,1170.0,2.0,4.0,959.9,2.0,4.0,1851.0
3.0,6.0,72.0,3.0,6.0,57.9,2.0,6.0,40.5,2.0,6.0,880.7,2.0,6.0,508.1,2.0,5.0,1133.0
4.0,2.0,333.5,4.0,1.0,449.0,4.0,1.0,219.3,3.0,1.0,705.9,3.0,1.0,131.9,3.0,1.0,1048.0
4.0,3.0,294.5,4.0,3.0,314.9,4.0,2.0,184.1,3.0,2.0,667.0,3.0,2.0,103.0,3.0,2.0,778.6
4.0,5.0,478.6,4.0,5.0,671.9,4.0,5.0,210.2,3.0,5.0,991.3,3.0,4.0,489.0,3.0,4.0,2555.0
4.0,6.0,619.1,4.0,6.0,632.1,4.0,6.0,431.9,3.0,6.0,2038.0,3.0,6.0,274.8,3.0,5.0,1201.0
5.0,2.0,63.7,5.0,1.0,71.7,5.0,1.0,31.4,5.0,1.0,1744.0,4.0,1.0,1178.0,4.0,1.0,3779.0
5.0,3.0,53.7,5.0,3.0,46.6,5.0,2.0,24.1,5.0,2.0,1524.0,4.0,2.0,1113.0,4.0,2.0,2485.0
5.0,4.0,303.3,5.0,4.0,408.6,5.0,4.0,119.6,5.0,3.0,1086.0,4.0,3.0,920.9,4.0,3.0,3779.0
5.0,6.0,234.0,5.0,6.0,198.2,5.0,6.0,65.8,5.0,6.0,2015.0,4.0,6.0,2212.0,4.0,5.0,3628.0
6.0,2.0,317.1,6.0,1.0,279.9,6.0,1.0,179.0,6.0,1.0,2668.0,6.0,1.0,836.0,5.0,1.0,1832.0
6.0,3.0,275.7,6.0,3.0,213.1,6.0,2.0,131.6,6.0,2.0,1439.0,6.0,2.0,746.6,5.0,2.0,1711.0
6.0,4.0,705.9,6.0,4.0,664.5,6.0,4.0,344.2,6.0,3.0,2707.0,6.0,3.0,734.5,5.0,3.0,1591.0
6.0,5.0,442.4,6.0,5.0,334.1,6.0,5.0,159.0,6.0,5.0,2555.0,6.0,4.0,1950.0,5.0,4.0,2555.0
