1,細川 裕子,細川 裕子.1,2,宇野 弥生,宇野 弥生.1,3,加藤 綾,加藤 綾.1,4,野田部　宏子,野田部　宏子.1,5,河内　悠利杏,河内　悠利杏.1,6,筒井 美琴,筒井 美琴.1
2.0,3.0,6.4,1.0,3.0,22.8,1.0,2.0,194.5,1.0,2.0,23.9,1.0,2.0,627.2,1.0,2.0,502.3
2.0,4.0,3.7,1.0,4.0,14.0,1.0,4.0,221.8,1.0,3.0,72.6,1.0,3.0,1317.0,1.0,3.0,1454.0
2.0,5.0,49.0,1.0,5.0,133.6,1.0,5.0,745.2,1.0,5.0,105.3,1.0,4.0,810.9,1.0,4.0,569.0
2.0,6.0,29.2,1.0,6.0,78.9,1.0,6.0,742.0,1.0,6.0,59.7,1.0,6.0,1380.0,1.0,5.0,2238.0
3.0,2.0,18.3,3.0,1.0,108.7,2.0,1.0,267.6,2.0,1.0,35.6,2.0,1.0,1031.0,2.0,1.0,644.4
3.0,4.0,20.9,3.0,4.0,126.3,2.0,4.0,312.6,2.0,3.0,125.8,2.0,3.0,2384.0,2.0,3.0,2003.0
3.0,5.0,134.2,3.0,5.0,543.7,2.0,5.0,1048.0,2.0,5.0,176.4,2.0,4.0,1231.0,2.0,4.0,810.9
3.0,6.0,112.0,3.0,6.0,386.8,2.0,6.0,868.3,2.0,6.0,94.8,2.0,6.0,2298.0,2.0,5.0,2845.0
4.0,2.0,6.7,4.0,1.0,33.9,4.0,1.0,343.2,3.0,1.0,231.4,3.0,1.0,2043.0,3.0,1.0,2084.0
4.0,3.0,18.8,4.0,3.0,93.6,4.0,2.0,376.1,3.0,2.0,278.2,3.0,2.0,3083.0,3.0,2.0,2710.0
4.0,5.0,64.5,4.0,5.0,267.5,4.0,5.0,1395.0,3.0,5.0,793.4,3.0,4.0,2200.0,3.0,4.0,1859.0
4.0,6.0,30.0,4.0,6.0,121.9,4.0,6.0,1131.0,3.0,6.0,579.2,3.0,6.0,3678.0,3.0,5.0,3814.0
5.0,2.0,189.8,5.0,1.0,663.5,5.0,1.0,1259.0,5.0,1.0,205.3,4.0,1.0,1017.0,4.0,1.0,638.8
5.0,3.0,296.9,5.0,3.0,1183.0,5.0,2.0,1943.0,5.0,2.0,269.4,4.0,2.0,1384.0,4.0,2.0,750.6
5.0,4.0,243.7,5.0,4.0,837.3,5.0,4.0,2136.0,5.0,3.0,722.2,4.0,3.0,3238.0,4.0,3.0,2600.0
5.0,6.0,368.3,5.0,6.0,1395.0,5.0,6.0,2181.0,5.0,6.0,338.1,4.0,6.0,1907.0,4.0,5.0,2452.0
6.0,2.0,137.1,6.0,1.0,363.4,6.0,1.0,1819.0,6.0,1.0,138.2,6.0,1.0,2191.0,5.0,1.0,2682.0
6.0,3.0,287.0,6.0,3.0,823.9,6.0,2.0,1943.0,6.0,2.0,167.8,6.0,2.0,2668.0,5.0,2.0,3387.0
6.0,4.0,149.4,6.0,4.0,397.3,6.0,4.0,2395.0,6.0,3.0,527.6,6.0,3.0,3102.0,5.0,3.0,3300.0
6.0,5.0,413.6,6.0,5.0,1699.0,6.0,5.0,3159.0,6.0,5.0,368.0,6.0,4.0,2561.0,5.0,4.0,3159.0
