1,溝口　海義也,溝口　海義也.1,2,小林 遼太,小林 遼太.1,3,小川 広大,小川 広大.1,4,上野 俊樹,上野 俊樹.1,5,田中 京介,田中 京介.1,6,西山 貴浩,西山 貴浩.1
2.0,3.0,45.2,1.0,3.0,164.3,1.0,2.0,341.2,1.0,2.0,456.0,1.0,2.0,480.6,1.0,2.0,10.5
2.0,4.0,61.7,1.0,4.0,212.3,1.0,4.0,336.4,1.0,3.0,553.6,1.0,3.0,751.2,1.0,3.0,15.6
2.0,5.0,67.3,1.0,5.0,239.2,1.0,5.0,384.5,1.0,5.0,521.2,1.0,4.0,786.1,1.0,4.0,17.6
2.0,6.0,14.0,1.0,6.0,60.4,1.0,6.0,151.3,1.0,6.0,196.6,1.0,6.0,207.2,1.0,5.0,20.0
3.0,2.0,70.5,3.0,1.0,449.9,2.0,1.0,518.8,2.0,1.0,873.2,2.0,1.0,903.5,2.0,1.0,38.0
3.0,4.0,92.2,3.0,4.0,681.7,2.0,4.0,649.1,2.0,3.0,1447.0,2.0,3.0,2200.0,2.0,3.0,99.4
3.0,5.0,133.0,3.0,5.0,1065.0,2.0,5.0,928.3,2.0,5.0,1441.0,2.0,4.0,2104.0,2.0,4.0,122.5
3.0,6.0,31.0,3.0,6.0,466.0,2.0,6.0,484.0,2.0,6.0,771.8,2.0,6.0,875.5,2.0,5.0,126.5
4.0,2.0,111.6,4.0,1.0,791.6,4.0,1.0,372.3,3.0,1.0,550.0,3.0,1.0,1205.0,3.0,1.0,53.5
4.0,3.0,130.8,4.0,3.0,828.4,4.0,2.0,657.9,3.0,2.0,1026.0,3.0,2.0,1958.0,3.0,2.0,119.8
4.0,5.0,158.8,4.0,5.0,1479.0,4.0,5.0,440.0,3.0,5.0,680.3,3.0,4.0,1547.0,3.0,4.0,102.2
4.0,6.0,45.9,4.0,6.0,672.2,4.0,6.0,357.4,3.0,6.0,498.2,3.0,6.0,1278.0,3.0,5.0,142.1
5.0,2.0,133.3,5.0,1.0,733.4,5.0,1.0,598.6,5.0,1.0,822.4,4.0,1.0,1278.0,4.0,1.0,79.0
5.0,3.0,199.5,5.0,3.0,1447.0,5.0,2.0,1176.0,5.0,2.0,1423.0,4.0,2.0,1993.0,4.0,2.0,191.5
5.0,4.0,205.1,5.0,4.0,1628.0,5.0,4.0,684.5,5.0,3.0,1039.0,4.0,3.0,1711.0,4.0,3.0,164.0
5.0,6.0,52.1,5.0,6.0,557.2,5.0,6.0,645.3,5.0,6.0,680.3,4.0,6.0,1214.0,4.0,5.0,218.7
6.0,2.0,5.8,6.0,1.0,76.3,6.0,1.0,151.3,6.0,1.0,243.7,6.0,1.0,222.4,5.0,1.0,76.6
6.0,3.0,8.4,6.0,3.0,199.5,6.0,2.0,350.3,6.0,2.0,569.4,6.0,2.0,644.1,5.0,2.0,179.9
6.0,4.0,10.6,6.0,4.0,238.2,6.0,4.0,299.0,6.0,3.0,484.7,6.0,3.0,782.5,5.0,3.0,218.6
6.0,5.0,13.5,6.0,5.0,240.6,6.0,5.0,354.7,6.0,5.0,532.7,6.0,4.0,862.1,5.0,4.0,237.6
