1,大江 純,大江 純.1,2,川辺 郭人,川辺 郭人.1,3,山田 丈,山田 丈.1,4,市川 健太,市川 健太.1,5,上原　健次郎,上原　健次郎.1,6,坂本 雄紀,坂本 雄紀.1
2.0,3.0,51.7,1.0,3.0,177.7,1.0,2.0,63.6,1.0,2.0,244.9,1.0,2.0,437.2,1.0,2.0,454.6
2.0,4.0,92.1,1.0,4.0,291.8,1.0,4.0,19.8,1.0,3.0,96.3,1.0,3.0,94.1,1.0,3.0,155.9
2.0,5.0,93.6,1.0,5.0,451.0,1.0,5.0,14.5,1.0,5.0,100.6,1.0,4.0,174.7,1.0,4.0,371.7
2.0,6.0,133.0,1.0,6.0,374.1,1.0,6.0,18.3,1.0,6.0,140.7,1.0,6.0,137.8,1.0,5.0,237.7
3.0,2.0,27.4,3.0,1.0,251.3,2.0,1.0,170.0,2.0,1.0,462.0,2.0,1.0,736.3,2.0,1.0,726.9
3.0,4.0,10.7,3.0,4.0,471.6,2.0,4.0,277.0,2.0,3.0,582.2,2.0,3.0,839.1,2.0,3.0,891.6
3.0,5.0,9.9,3.0,5.0,564.9,2.0,5.0,274.3,2.0,5.0,620.2,2.0,4.0,1201.0,2.0,4.0,1056.0
3.0,6.0,15.2,3.0,6.0,556.7,2.0,6.0,247.5,2.0,6.0,528.3,2.0,6.0,935.4,2.0,5.0,1501.0
4.0,2.0,76.9,4.0,1.0,554.0,4.0,1.0,38.6,3.0,1.0,101.8,3.0,1.0,107.6,3.0,1.0,164.4
4.0,3.0,25.0,4.0,3.0,627.0,4.0,2.0,197.1,3.0,2.0,384.2,3.0,2.0,540.8,3.0,2.0,641.1
4.0,5.0,31.8,4.0,5.0,913.0,4.0,5.0,38.8,3.0,5.0,98.2,3.0,4.0,176.3,3.0,4.0,277.6
4.0,6.0,55.5,4.0,6.0,765.9,4.0,6.0,38.8,3.0,6.0,94.9,3.0,6.0,123.9,3.0,5.0,189.5
5.0,2.0,93.0,5.0,1.0,731.5,5.0,1.0,33.7,5.0,1.0,122.7,4.0,1.0,209.0,4.0,1.0,504.9
5.0,3.0,21.2,5.0,3.0,935.4,5.0,2.0,226.4,5.0,2.0,511.7,4.0,2.0,821.0,4.0,2.0,1268.0
5.0,4.0,42.4,5.0,4.0,1268.0,5.0,4.0,48.4,5.0,3.0,120.2,4.0,3.0,207.8,4.0,3.0,386.8
5.0,6.0,49.0,5.0,6.0,959.0,5.0,6.0,33.6,5.0,6.0,105.6,4.0,6.0,188.3,4.0,5.0,479.5
6.0,2.0,156.1,6.0,1.0,610.3,6.0,1.0,46.6,6.0,1.0,193.4,6.0,1.0,231.9,5.0,1.0,310.9
6.0,3.0,55.2,6.0,3.0,713.3,6.0,2.0,195.7,6.0,2.0,525.9,6.0,2.0,927.8,5.0,2.0,1268.0
6.0,4.0,99.3,6.0,4.0,1282.0,6.0,4.0,60.7,6.0,3.0,158.9,6.0,3.0,175.5,5.0,3.0,231.0
6.0,5.0,63.2,6.0,5.0,1542.0,6.0,5.0,45.5,6.0,5.0,159.1,6.0,4.0,288.2,5.0,4.0,500.5
