1,伊藤 啓三,伊藤 啓三.1,2,大塚 雅治,大塚 雅治.1,3,中村 泰平,中村 泰平.1,4,近藤 稔也,近藤 稔也.1,5,酒見 峻介,酒見 峻介.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,45.1,1.0,3.0,257.2,1.0,2.0,97.7,1.0,2.0,1195.0,1.0,2.0,146.2,1.0,2.0,107.3
2.0,4.0,181.4,1.0,4.0,843.8,1.0,4.0,129.7,1.0,3.0,649.3,1.0,3.0,50.1,1.0,3.0,33.1
2.0,5.0,63.1,1.0,5.0,364.7,1.0,5.0,23.4,1.0,5.0,1073.0,1.0,4.0,219.8,1.0,4.0,141.0
2.0,6.0,49.6,1.0,6.0,282.0,1.0,6.0,16.4,1.0,6.0,827.9,1.0,6.0,44.1,1.0,5.0,47.9
3.0,2.0,27.3,3.0,1.0,488.3,2.0,1.0,312.4,2.0,1.0,1396.0,2.0,1.0,360.0,2.0,1.0,328.5
3.0,4.0,62.8,3.0,4.0,1442.0,2.0,4.0,676.5,2.0,3.0,1491.0,2.0,3.0,470.3,2.0,3.0,374.5
3.0,5.0,10.8,3.0,5.0,925.1,2.0,5.0,474.0,2.0,5.0,1660.0,2.0,4.0,733.0,2.0,4.0,609.4
3.0,6.0,7.7,3.0,6.0,678.0,2.0,6.0,302.3,2.0,6.0,1513.0,2.0,6.0,347.4,2.0,5.0,442.5
4.0,2.0,265.4,4.0,1.0,1513.0,4.0,1.0,402.5,3.0,1.0,652.1,3.0,1.0,65.5,3.0,1.0,46.7
4.0,3.0,194.7,4.0,3.0,1660.0,4.0,2.0,810.4,3.0,2.0,1383.0,3.0,2.0,258.3,3.0,2.0,200.2
4.0,5.0,275.2,4.0,5.0,1968.0,4.0,5.0,397.8,3.0,5.0,1100.0,3.0,4.0,253.4,3.0,4.0,181.6
4.0,6.0,183.8,4.0,6.0,1633.0,4.0,6.0,262.5,3.0,6.0,605.8,3.0,6.0,52.6,3.0,5.0,57.8
5.0,2.0,56.7,5.0,1.0,663.4,5.0,1.0,47.5,5.0,1.0,1218.0,4.0,1.0,568.8,4.0,1.0,441.3
5.0,3.0,22.7,5.0,3.0,942.2,5.0,2.0,222.5,5.0,2.0,1505.0,4.0,2.0,1048.0,4.0,2.0,825.6
5.0,4.0,126.2,5.0,4.0,1608.0,5.0,4.0,198.2,5.0,3.0,1253.0,4.0,3.0,604.6,4.0,3.0,414.5
5.0,6.0,22.3,5.0,6.0,877.5,5.0,6.0,36.2,5.0,6.0,758.4,4.0,6.0,353.4,4.0,5.0,412.8
6.0,2.0,35.4,6.0,1.0,609.4,6.0,1.0,28.3,6.0,1.0,981.3,6.0,1.0,38.3,5.0,1.0,58.7
6.0,3.0,12.5,6.0,3.0,682.5,6.0,2.0,152.0,6.0,2.0,1616.0,6.0,2.0,121.8,5.0,2.0,176.5
6.0,4.0,77.4,6.0,4.0,1660.0,6.0,4.0,140.2,6.0,3.0,733.0,6.0,3.0,38.5,5.0,3.0,55.9
6.0,5.0,19.4,6.0,5.0,933.6,6.0,5.0,31.6,6.0,5.0,872.6,6.0,4.0,101.4,5.0,4.0,145.4
