1,中岡 正彦,中岡 正彦.1,2,長岡 良也,長岡 良也.1,3,金田 大輔,金田 大輔.1,4,宮野 仁,宮野 仁.1,5,新田 洋一,新田 洋一.1,6,花田 凱成,花田 凱成.1
2.0,3.0,6.5,1.0,3.0,42.5,1.0,2.0,67.6,1.0,2.0,40.0,1.0,2.0,272.6,1.0,2.0,2220.0
2.0,4.0,4.1,1.0,4.0,23.7,1.0,4.0,58.2,1.0,3.0,96.4,1.0,3.0,442.3,1.0,3.0,3726.0
2.0,5.0,17.5,1.0,5.0,67.6,1.0,5.0,110.8,1.0,5.0,59.9,1.0,4.0,347.1,1.0,4.0,4266.0
2.0,6.0,134.0,1.0,6.0,297.7,1.0,6.0,481.7,1.0,6.0,240.3,1.0,6.0,857.7,1.0,5.0,3147.0
3.0,2.0,12.0,3.0,1.0,172.0,2.0,1.0,155.3,2.0,1.0,66.3,2.0,1.0,427.1,2.0,1.0,4002.0
3.0,4.0,13.5,3.0,4.0,241.9,2.0,4.0,156.4,2.0,3.0,189.9,2.0,3.0,967.8,2.0,3.0,4381.0
3.0,5.0,35.4,3.0,5.0,448.4,2.0,5.0,336.6,2.0,5.0,125.2,2.0,4.0,435.2,2.0,4.0,3308.0
3.0,6.0,200.0,3.0,6.0,1006.0,2.0,6.0,881.0,2.0,6.0,418.3,2.0,6.0,1084.0,2.0,5.0,4104.0
4.0,2.0,7.8,4.0,1.0,70.1,4.0,1.0,87.2,3.0,1.0,165.5,3.0,1.0,615.2,3.0,1.0,4566.0
4.0,3.0,18.1,4.0,3.0,184.7,4.0,2.0,120.7,3.0,2.0,226.4,3.0,2.0,985.4,3.0,2.0,5495.0
4.0,5.0,29.2,4.0,5.0,172.0,4.0,5.0,136.6,3.0,5.0,234.6,3.0,4.0,808.5,3.0,4.0,5590.0
4.0,6.0,158.0,4.0,6.0,485.3,4.0,6.0,463.8,3.0,6.0,592.7,3.0,6.0,1170.0,3.0,5.0,3210.0
5.0,2.0,54.4,5.0,1.0,291.0,5.0,1.0,241.0,5.0,1.0,91.9,4.0,1.0,345.6,4.0,1.0,3642.0
5.0,3.0,94.0,5.0,3.0,629.5,5.0,2.0,322.9,5.0,2.0,132.1,4.0,2.0,446.5,4.0,2.0,3377.0
5.0,4.0,74.5,5.0,4.0,347.1,5.0,4.0,270.4,5.0,3.0,280.2,4.0,3.0,675.4,4.0,3.0,4839.0
5.0,6.0,347.5,5.0,6.0,1110.0,5.0,6.0,761.0,5.0,6.0,304.7,4.0,6.0,779.3,4.0,5.0,3117.0
6.0,2.0,576.9,6.0,1.0,1149.0,6.0,1.0,1781.0,6.0,1.0,571.8,6.0,1.0,1149.0,5.0,1.0,3486.0
6.0,3.0,771.9,6.0,3.0,1629.0,6.0,2.0,2065.0,6.0,2.0,672.6,6.0,2.0,1271.0,5.0,2.0,3602.0
6.0,4.0,785.0,6.0,4.0,1409.0,6.0,4.0,1441.0,6.0,3.0,910.7,6.0,3.0,1232.0,5.0,3.0,3117.0
6.0,5.0,848.7,6.0,5.0,1467.0,6.0,5.0,1317.0,6.0,5.0,566.8,6.0,4.0,1232.0,5.0,4.0,3342.0
