1,内堀 学,内堀 学.1,2,藤田 美代,藤田 美代.1,3,村松 修二,村松 修二.1,4,林 恵祐,林 恵祐.1,5,北村 寧々,北村 寧々.1,6,谷村 一哉,谷村 一哉.1
2.0,3.0,25.9,1.0,3.0,89.3,1.0,2.0,23.7,1.0,2.0,374.8,1.0,2.0,382.0,1.0,2.0,129.7
2.0,4.0,82.9,1.0,4.0,273.3,1.0,4.0,23.9,1.0,3.0,220.6,1.0,3.0,274.7,1.0,3.0,46.5
2.0,5.0,101.3,1.0,5.0,231.8,1.0,5.0,29.0,1.0,5.0,389.3,1.0,4.0,596.7,1.0,4.0,149.1
2.0,6.0,40.1,1.0,6.0,112.8,1.0,6.0,8.0,1.0,6.0,215.0,1.0,6.0,351.3,1.0,5.0,236.7
3.0,2.0,13.6,3.0,1.0,120.9,2.0,1.0,62.7,2.0,1.0,427.3,2.0,1.0,650.6,2.0,1.0,259.9
3.0,4.0,19.2,3.0,4.0,301.0,2.0,4.0,144.6,2.0,3.0,769.8,2.0,3.0,854.6,2.0,3.0,206.6
3.0,5.0,31.3,3.0,5.0,345.3,2.0,5.0,191.3,2.0,5.0,1018.0,2.0,4.0,1461.0,2.0,4.0,509.3
3.0,6.0,9.2,3.0,6.0,100.6,2.0,6.0,53.6,2.0,6.0,548.0,2.0,6.0,960.4,2.0,5.0,775.7
4.0,2.0,109.1,4.0,1.0,477.9,4.0,1.0,55.2,3.0,1.0,270.3,3.0,1.0,352.6,3.0,1.0,50.8
4.0,3.0,62.0,4.0,3.0,676.8,4.0,2.0,126.2,3.0,2.0,509.3,3.0,2.0,730.7,3.0,2.0,111.0
4.0,5.0,147.6,4.0,5.0,925.2,4.0,5.0,97.2,3.0,5.0,484.8,3.0,4.0,663.4,3.0,4.0,118.0
4.0,6.0,68.9,4.0,6.0,499.2,4.0,6.0,37.5,3.0,6.0,192.0,3.0,6.0,324.2,3.0,5.0,170.6
5.0,2.0,160.8,5.0,1.0,542.1,5.0,1.0,98.2,5.0,1.0,607.5,4.0,1.0,813.2,4.0,1.0,280.1
5.0,3.0,102.1,5.0,3.0,720.3,5.0,2.0,191.7,5.0,2.0,1029.0,4.0,2.0,1309.0,4.0,2.0,432.8
5.0,4.0,249.6,5.0,4.0,1245.0,5.0,4.0,161.0,5.0,3.0,663.4,4.0,3.0,800.3,4.0,3.0,197.3
5.0,6.0,151.1,5.0,6.0,695.5,5.0,6.0,64.2,5.0,6.0,593.2,4.0,6.0,800.3,4.0,5.0,517.1
6.0,2.0,54.2,6.0,1.0,261.9,6.0,1.0,15.3,6.0,1.0,308.4,6.0,1.0,522.5,5.0,1.0,536.4
6.0,3.0,19.3,6.0,3.0,223.1,6.0,2.0,37.9,6.0,2.0,506.7,6.0,2.0,813.2,5.0,2.0,925.2
6.0,4.0,67.4,6.0,4.0,533.5,6.0,4.0,29.6,6.0,3.0,227.1,6.0,3.0,368.0,5.0,3.0,346.5
6.0,5.0,102.3,6.0,5.0,582.9,6.0,5.0,44.5,6.0,5.0,517.1,6.0,4.0,854.6,5.0,4.0,892.4
