1,稲田 浩二,稲田 浩二.1,2,下出 卓矢,下出 卓矢.1,3,土屋　実沙希,土屋　実沙希.1,4,川上 剛,川上 剛.1,5,守屋 美穂,守屋 美穂.1,6,松尾 充,松尾 充.1
2.0,3.0,19.3,1.0,3.0,38.7,1.0,2.0,211.4,1.0,2.0,123.3,1.0,2.0,116.7,1.0,2.0,263.6
2.0,4.0,11.7,1.0,4.0,32.6,1.0,4.0,171.6,1.0,3.0,236.5,1.0,3.0,208.3,1.0,3.0,437.5
2.0,5.0,13.5,1.0,5.0,34.9,1.0,5.0,197.4,1.0,5.0,126.2,1.0,4.0,160.5,1.0,4.0,366.3
2.0,6.0,31.5,1.0,6.0,46.8,1.0,6.0,244.6,1.0,6.0,182.3,1.0,6.0,199.4,1.0,5.0,417.2
3.0,2.0,27.7,3.0,1.0,80.1,2.0,1.0,356.4,2.0,1.0,220.3,2.0,1.0,184.8,2.0,1.0,318.7
3.0,4.0,14.7,3.0,4.0,138.6,2.0,4.0,625.0,2.0,3.0,667.3,2.0,3.0,549.8,2.0,3.0,880.0
3.0,5.0,20.1,3.0,5.0,155.6,2.0,5.0,667.3,2.0,5.0,357.5,2.0,4.0,388.0,2.0,4.0,606.7
3.0,6.0,25.9,3.0,6.0,178.5,2.0,6.0,857.0,2.0,6.0,432.9,2.0,6.0,367.0,2.0,5.0,614.5
4.0,2.0,17.8,4.0,1.0,71.8,4.0,1.0,379.0,3.0,1.0,422.1,3.0,1.0,357.0,3.0,1.0,810.0
4.0,3.0,18.5,4.0,3.0,162.1,4.0,2.0,821.8,3.0,2.0,865.3,3.0,2.0,762.3,3.0,2.0,1223.0
4.0,5.0,12.7,4.0,5.0,125.6,4.0,5.0,685.8,3.0,5.0,800.6,3.0,4.0,756.8,3.0,4.0,1201.0
4.0,6.0,21.1,4.0,6.0,141.6,4.0,6.0,1054.0,3.0,6.0,1051.0,3.0,6.0,858.2,3.0,5.0,1508.0
5.0,2.0,23.0,5.0,1.0,77.1,5.0,1.0,402.1,5.0,1.0,190.3,4.0,1.0,260.6,4.0,1.0,713.3
5.0,3.0,29.2,5.0,3.0,193.6,5.0,2.0,934.3,5.0,2.0,332.4,4.0,2.0,490.7,4.0,2.0,813.2
5.0,4.0,22.3,5.0,4.0,147.6,5.0,4.0,769.9,5.0,3.0,580.6,4.0,3.0,803.8,4.0,3.0,1185.0
5.0,6.0,31.1,5.0,6.0,151.1,5.0,6.0,1140.0,5.0,6.0,338.6,4.0,6.0,592.8,4.0,5.0,947.1
6.0,2.0,59.8,6.0,1.0,104.3,6.0,1.0,700.4,6.0,1.0,393.0,6.0,1.0,347.5,5.0,1.0,635.3
6.0,3.0,48.9,6.0,3.0,234.4,6.0,2.0,1438.0,6.0,2.0,463.3,6.0,2.0,433.2,5.0,2.0,700.4
6.0,4.0,41.0,6.0,4.0,199.0,6.0,4.0,1027.0,6.0,3.0,881.3,6.0,3.0,763.3,5.0,3.0,1237.0
6.0,5.0,50.2,6.0,5.0,193.5,6.0,5.0,1412.0,6.0,5.0,526.1,6.0,4.0,572.6,5.0,4.0,838.5
