1,松下 哲也,松下 哲也.1,2,菊池 宏志,菊池 宏志.1,3,向井田　佑紀,向井田　佑紀.1,4,柴田 光,柴田 光.1,5,渡邉 英児,渡邉 英児.1,6,青木　幸太郎,青木　幸太郎.1
2.0,3.0,39.0,1.0,3.0,68.6,1.0,2.0,95.4,1.0,2.0,49.1,1.0,2.0,275.1,1.0,2.0,707.6
2.0,4.0,35.7,1.0,4.0,55.1,1.0,4.0,26.1,1.0,3.0,34.7,1.0,3.0,256.1,1.0,3.0,703.0
2.0,5.0,82.4,1.0,5.0,120.9,1.0,5.0,46.2,1.0,5.0,31.4,1.0,4.0,182.6,1.0,4.0,543.2
2.0,6.0,128.9,1.0,6.0,261.7,1.0,6.0,89.7,1.0,6.0,51.7,1.0,6.0,278.6,1.0,5.0,821.1
3.0,2.0,35.9,3.0,1.0,137.2,2.0,1.0,153.4,2.0,1.0,94.1,2.0,1.0,461.6,2.0,1.0,1361.0
3.0,4.0,13.0,3.0,4.0,80.6,2.0,4.0,77.5,2.0,3.0,76.6,2.0,3.0,546.0,2.0,3.0,1236.0
3.0,5.0,28.5,3.0,5.0,162.9,2.0,5.0,138.6,2.0,5.0,85.2,2.0,4.0,342.5,2.0,4.0,717.1
3.0,6.0,61.6,3.0,6.0,336.1,2.0,6.0,217.3,2.0,6.0,96.0,2.0,6.0,471.7,2.0,5.0,1222.0
4.0,2.0,32.8,4.0,1.0,89.7,4.0,1.0,38.3,3.0,1.0,42.9,3.0,1.0,294.6,3.0,1.0,1044.0
4.0,3.0,15.5,4.0,3.0,107.4,4.0,2.0,61.2,3.0,2.0,54.4,3.0,2.0,398.3,3.0,2.0,1156.0
4.0,5.0,23.9,4.0,5.0,128.5,4.0,5.0,25.6,3.0,5.0,32.2,3.0,4.0,140.6,3.0,4.0,426.8
4.0,6.0,48.4,4.0,6.0,152.7,4.0,6.0,47.7,3.0,6.0,46.9,3.0,6.0,309.9,3.0,5.0,703.0
5.0,2.0,134.1,5.0,1.0,323.0,5.0,1.0,106.2,5.0,1.0,39.0,4.0,1.0,163.7,4.0,1.0,505.0
5.0,3.0,70.9,5.0,3.0,484.5,5.0,2.0,199.5,5.0,2.0,61.7,4.0,2.0,201.4,4.0,2.0,594.2
5.0,4.0,71.4,5.0,4.0,249.5,5.0,4.0,60.8,5.0,3.0,44.5,4.0,3.0,148.3,4.0,3.0,382.7
5.0,6.0,164.9,5.0,6.0,442.6,5.0,6.0,116.9,5.0,6.0,35.0,4.0,6.0,139.8,4.0,5.0,355.0
6.0,2.0,234.8,6.0,1.0,746.9,6.0,1.0,340.3,6.0,1.0,74.2,6.0,1.0,386.9,5.0,1.0,995.9
6.0,3.0,210.4,6.0,3.0,881.6,6.0,2.0,388.3,6.0,2.0,99.4,6.0,2.0,527.2,5.0,2.0,1169.0
6.0,4.0,188.3,6.0,4.0,469.7,6.0,4.0,148.3,6.0,3.0,80.6,6.0,3.0,440.8,5.0,3.0,935.3
6.0,5.0,348.1,6.0,5.0,790.9,6.0,5.0,208.0,6.0,5.0,63.3,6.0,4.0,247.2,5.0,4.0,475.9
