1,西村 秀樹,西村 秀樹.1,2,坂野　さくら,坂野　さくら.1,3,後藤 陽介,後藤 陽介.1,4,國崎 良春,國崎 良春.1,5,大石 真央,大石 真央.1,6,胡本 悟志,胡本 悟志.1
2.0,3.0,20.1,1.0,3.0,33.9,1.0,2.0,45.5,1.0,2.0,46.7,1.0,2.0,757.1,1.0,2.0,1755.0
2.0,4.0,20.8,1.0,4.0,30.5,1.0,4.0,19.7,1.0,3.0,38.1,1.0,3.0,678.9,1.0,3.0,1584.0
2.0,5.0,106.9,1.0,5.0,120.1,1.0,5.0,114.3,1.0,5.0,82.9,1.0,4.0,527.1,1.0,4.0,993.2
2.0,6.0,153.5,1.0,6.0,184.9,1.0,6.0,137.5,1.0,6.0,93.4,1.0,6.0,1080.0,1.0,5.0,2254.0
3.0,2.0,22.8,3.0,1.0,43.4,2.0,1.0,48.5,2.0,1.0,57.2,2.0,1.0,851.0,2.0,1.0,2130.0
3.0,4.0,14.3,3.0,4.0,23.9,2.0,4.0,23.8,2.0,3.0,43.9,2.0,3.0,747.9,2.0,3.0,1544.0
3.0,5.0,75.6,3.0,5.0,101.8,2.0,5.0,100.2,2.0,5.0,98.6,2.0,4.0,533.5,2.0,4.0,1076.0
3.0,6.0,105.5,3.0,6.0,138.9,2.0,6.0,124.2,2.0,6.0,124.7,2.0,6.0,1019.0,2.0,5.0,2617.0
4.0,2.0,24.1,4.0,1.0,38.4,4.0,1.0,18.5,3.0,1.0,31.3,3.0,1.0,776.1,3.0,1.0,1716.0
4.0,3.0,18.6,4.0,3.0,28.1,4.0,2.0,20.1,3.0,2.0,33.6,3.0,2.0,806.5,3.0,2.0,1755.0
4.0,5.0,73.4,4.0,5.0,85.6,4.0,5.0,45.7,3.0,5.0,56.8,3.0,4.0,380.4,3.0,4.0,576.3
4.0,6.0,70.0,4.0,6.0,117.8,4.0,6.0,44.8,3.0,6.0,64.0,3.0,6.0,1174.0,3.0,5.0,2130.0
5.0,2.0,240.3,5.0,1.0,351.0,5.0,1.0,214.2,5.0,1.0,99.9,4.0,1.0,424.3,4.0,1.0,956.3
5.0,3.0,207.3,5.0,3.0,306.7,5.0,2.0,211.8,5.0,2.0,110.8,4.0,2.0,407.5,4.0,2.0,1047.0
5.0,4.0,229.3,5.0,4.0,237.2,5.0,4.0,135.6,5.0,3.0,104.3,4.0,3.0,349.4,4.0,3.0,612.9
5.0,6.0,477.4,5.0,6.0,592.9,5.0,6.0,294.7,5.0,6.0,114.1,4.0,6.0,432.0,4.0,5.0,1148.0
6.0,2.0,470.1,6.0,1.0,700.4,6.0,1.0,384.2,6.0,1.0,170.3,6.0,1.0,1255.0,5.0,1.0,3058.0
6.0,3.0,362.5,6.0,3.0,447.7,6.0,2.0,372.6,6.0,2.0,190.5,6.0,2.0,1320.0,5.0,2.0,2595.0
6.0,4.0,317.4,6.0,4.0,407.0,6.0,4.0,217.3,6.0,3.0,166.1,6.0,3.0,1410.0,5.0,3.0,2574.0
6.0,5.0,780.0,6.0,5.0,802.3,6.0,5.0,538.1,6.0,5.0,198.4,6.0,4.0,744.3,5.0,4.0,1404.0
