1,中島 航,中島 航.1,2,大森 翼,大森 翼.1,3,品川　二千翔,品川　二千翔.1,4,豊田 祥生,豊田 祥生.1,5,藤原 碧生,藤原 碧生.1,6,三馬 崇史,三馬 崇史.1
2.0,3.0,52.0,1.0,3.0,168.4,1.0,2.0,114.8,1.0,2.0,257.2,1.0,2.0,58.2,1.0,2.0,1482.0
2.0,4.0,101.3,1.0,4.0,339.4,1.0,4.0,93.2,1.0,3.0,190.9,1.0,3.0,18.3,1.0,3.0,600.0
2.0,5.0,47.3,1.0,5.0,152.8,1.0,5.0,24.6,1.0,5.0,79.2,1.0,4.0,44.6,1.0,4.0,902.7
2.0,6.0,170.3,1.0,6.0,480.8,1.0,6.0,80.8,1.0,6.0,152.8,1.0,6.0,25.0,1.0,5.0,345.4
3.0,2.0,33.8,3.0,1.0,284.9,2.0,1.0,211.0,2.0,1.0,459.7,2.0,1.0,119.1,2.0,1.0,1757.0
3.0,4.0,36.1,3.0,4.0,616.7,2.0,4.0,325.5,2.0,3.0,591.0,2.0,3.0,136.9,2.0,3.0,1315.0
3.0,5.0,9.9,3.0,5.0,256.2,2.0,5.0,162.6,2.0,5.0,315.2,2.0,4.0,227.2,2.0,4.0,1341.0
3.0,6.0,41.9,3.0,6.0,760.9,2.0,6.0,472.8,2.0,6.0,532.4,2.0,6.0,191.1,2.0,5.0,1134.0
4.0,2.0,107.7,4.0,1.0,559.4,4.0,1.0,166.8,3.0,1.0,273.5,3.0,1.0,25.9,3.0,1.0,743.8
4.0,3.0,63.6,4.0,3.0,649.0,4.0,2.0,402.0,3.0,2.0,601.8,3.0,2.0,105.4,3.0,2.0,1614.0
4.0,5.0,38.0,4.0,5.0,504.0,4.0,5.0,89.9,3.0,5.0,127.4,3.0,4.0,72.1,3.0,4.0,848.7
4.0,6.0,97.9,4.0,6.0,882.6,4.0,6.0,193.3,3.0,6.0,243.3,3.0,6.0,37.4,3.0,5.0,318.2
5.0,2.0,33.7,5.0,1.0,190.0,5.0,1.0,27.8,5.0,1.0,52.6,4.0,1.0,51.6,4.0,1.0,988.0
5.0,3.0,10.9,5.0,3.0,227.4,5.0,2.0,95.9,5.0,2.0,132.9,4.0,2.0,132.3,4.0,2.0,1408.0
5.0,4.0,27.3,5.0,4.0,367.1,5.0,4.0,60.4,5.0,3.0,87.9,4.0,3.0,80.4,4.0,3.0,834.4
5.0,6.0,23.0,5.0,6.0,425.2,5.0,6.0,44.3,5.0,6.0,49.2,4.0,6.0,47.8,4.0,5.0,375.4
6.0,2.0,282.1,6.0,1.0,1360.0,6.0,1.0,236.4,6.0,1.0,247.6,6.0,1.0,40.7,5.0,1.0,291.2
6.0,3.0,124.3,6.0,3.0,1023.0,6.0,2.0,634.5,6.0,2.0,459.7,6.0,2.0,135.0,5.0,2.0,722.2
6.0,4.0,224.9,6.0,4.0,1211.0,6.0,4.0,322.9,6.0,3.0,308.3,6.0,3.0,50.3,5.0,3.0,251.7
6.0,5.0,93.2,6.0,5.0,800.8,6.0,5.0,129.6,6.0,5.0,128.5,6.0,4.0,67.6,5.0,4.0,299.5
