1,奥村　明日香,奥村　明日香.1,2,伊藤 玲奈,伊藤 玲奈.1,3,淺田　千亜希,淺田　千亜希.1,4,犬童 千秋,犬童 千秋.1,5,津田 裕絵,津田 裕絵.1,6,片岡 恵里,片岡 恵里.1
2.0,3.0,43.0,1.0,3.0,113.8,1.0,2.0,42.5,1.0,2.0,195.6,1.0,2.0,203.5,1.0,2.0,1006.0
2.0,4.0,69.4,1.0,4.0,179.9,1.0,4.0,19.1,1.0,3.0,93.1,1.0,3.0,73.8,1.0,3.0,664.4
2.0,5.0,73.6,1.0,5.0,198.5,1.0,5.0,12.9,1.0,5.0,101.1,1.0,4.0,154.8,1.0,4.0,1073.0
2.0,6.0,163.8,1.0,6.0,452.6,1.0,6.0,52.5,1.0,6.0,185.3,1.0,6.0,245.7,1.0,5.0,921.6
3.0,2.0,26.0,3.0,1.0,136.6,2.0,1.0,78.2,2.0,1.0,245.7,2.0,1.0,451.7,2.0,1.0,1190.0
3.0,4.0,16.9,3.0,4.0,151.0,2.0,4.0,59.3,2.0,3.0,210.6,2.0,3.0,362.2,2.0,3.0,1587.0
3.0,5.0,13.3,3.0,5.0,154.3,2.0,5.0,63.7,2.0,5.0,221.0,2.0,4.0,560.2,2.0,4.0,989.4
3.0,6.0,52.4,3.0,6.0,380.9,2.0,6.0,149.7,2.0,6.0,287.5,2.0,6.0,777.4,2.0,5.0,2004.0
4.0,2.0,76.2,4.0,1.0,244.4,4.0,1.0,24.0,3.0,1.0,66.9,3.0,1.0,62.4,3.0,1.0,714.2
4.0,3.0,37.8,4.0,3.0,212.0,4.0,2.0,45.3,3.0,2.0,117.2,3.0,2.0,193.8,3.0,2.0,1410.0
4.0,5.0,52.7,4.0,5.0,268.5,4.0,5.0,13.5,3.0,5.0,45.3,3.0,4.0,84.2,3.0,4.0,619.4
4.0,6.0,114.2,4.0,6.0,445.5,4.0,6.0,35.6,3.0,6.0,84.9,3.0,6.0,133.8,3.0,5.0,521.8
5.0,2.0,95.1,5.0,1.0,308.0,5.0,1.0,20.0,5.0,1.0,109.9,4.0,1.0,188.7,4.0,1.0,1262.0
5.0,3.0,33.2,5.0,3.0,265.7,5.0,2.0,57.2,5.0,2.0,192.2,4.0,2.0,417.8,4.0,2.0,1006.0
5.0,4.0,68.0,5.0,4.0,360.5,5.0,4.0,17.5,5.0,3.0,74.9,4.0,3.0,123.8,4.0,3.0,777.4
5.0,6.0,103.0,5.0,6.0,647.4,5.0,6.0,30.3,5.0,6.0,112.9,4.0,6.0,216.8,4.0,5.0,624.5
6.0,2.0,382.2,6.0,1.0,972.6,6.0,1.0,151.4,6.0,1.0,365.1,6.0,1.0,393.4,5.0,1.0,1034.0
6.0,3.0,221.9,6.0,3.0,1053.0,6.0,2.0,258.5,6.0,2.0,466.4,6.0,2.0,813.4,5.0,2.0,1858.0
6.0,4.0,322.3,6.0,4.0,759.3,6.0,4.0,112.8,6.0,3.0,260.0,6.0,3.0,274.7,5.0,3.0,572.8
6.0,5.0,268.5,6.0,5.0,998.1,6.0,5.0,88.4,6.0,5.0,232.5,6.0,4.0,314.8,5.0,4.0,653.0
