1,繁野谷　圭介,繁野谷　圭介.1,2,渡辺 真至,渡辺 真至.1,3,佐々木　完太,佐々木　完太.1,4,中里 優子,中里 優子.1,5,河野 真也,河野 真也.1,6,中島 真二,中島 真二.1
2.0,3.0,5.9,1.0,3.0,41.5,1.0,2.0,25.7,1.0,2.0,181.3,1.0,2.0,302.9,1.0,2.0,1815.0
2.0,4.0,12.0,1.0,4.0,74.8,1.0,4.0,33.7,1.0,3.0,182.1,1.0,3.0,237.2,1.0,3.0,2157.0
2.0,5.0,15.0,1.0,5.0,95.7,1.0,5.0,28.0,1.0,5.0,196.5,1.0,4.0,433.3,1.0,4.0,2930.0
2.0,6.0,40.9,1.0,6.0,211.0,1.0,6.0,84.9,1.0,6.0,388.3,1.0,6.0,549.1,1.0,5.0,3370.0
3.0,2.0,6.0,3.0,1.0,103.8,2.0,1.0,78.8,2.0,1.0,331.8,2.0,1.0,576.8,2.0,1.0,2802.0
3.0,4.0,8.2,3.0,4.0,314.2,2.0,4.0,219.6,2.0,3.0,680.3,2.0,3.0,827.7,2.0,3.0,4484.0
3.0,5.0,9.0,3.0,5.0,338.6,2.0,5.0,186.9,2.0,5.0,742.0,2.0,4.0,1393.0,2.0,4.0,4523.0
3.0,6.0,31.0,3.0,6.0,631.2,2.0,6.0,407.0,2.0,6.0,842.6,2.0,6.0,1289.0,2.0,5.0,3936.0
4.0,2.0,24.6,4.0,1.0,297.7,4.0,1.0,132.0,3.0,1.0,335.9,3.0,1.0,388.9,3.0,1.0,2644.0
4.0,3.0,23.3,4.0,3.0,521.4,4.0,2.0,249.7,3.0,2.0,668.0,3.0,2.0,841.2,3.0,2.0,4563.0
4.0,5.0,40.6,4.0,5.0,643.8,4.0,5.0,204.8,3.0,5.0,534.9,3.0,4.0,1125.0,3.0,4.0,5105.0
4.0,6.0,68.3,4.0,6.0,1158.0,4.0,6.0,386.0,3.0,6.0,1048.0,3.0,6.0,1401.0,3.0,5.0,4407.0
5.0,2.0,38.4,5.0,1.0,456.7,5.0,1.0,129.0,5.0,1.0,269.5,4.0,1.0,603.8,4.0,1.0,4028.0
5.0,3.0,34.3,5.0,3.0,694.0,5.0,2.0,255.1,5.0,2.0,499.2,4.0,2.0,1085.0,4.0,2.0,4865.0
5.0,4.0,67.4,5.0,4.0,1033.0,5.0,4.0,282.7,5.0,3.0,495.8,4.0,3.0,958.5,4.0,3.0,5209.0
5.0,6.0,99.9,5.0,6.0,1503.0,5.0,6.0,399.4,5.0,6.0,580.7,4.0,6.0,1140.0,4.0,5.0,4092.0
6.0,2.0,221.2,6.0,1.0,1364.0,6.0,1.0,700.6,6.0,1.0,1263.0,6.0,1.0,2038.0,5.0,1.0,4192.0
6.0,3.0,209.0,6.0,3.0,2062.0,6.0,2.0,1292.0,6.0,2.0,1724.0,6.0,2.0,2685.0,5.0,2.0,5209.0
6.0,4.0,272.7,6.0,4.0,2213.0,6.0,4.0,1357.0,6.0,3.0,1983.0,6.0,3.0,2387.0,5.0,3.0,3819.0
6.0,5.0,322.7,6.0,5.0,2672.0,6.0,5.0,1128.0,6.0,5.0,1460.0,6.0,4.0,2714.0,5.0,4.0,5105.0
