1,小松 卓司,小松 卓司.1,2,篠原 飛翔,篠原 飛翔.1,3,小林 遼太,小林 遼太.1,4,渡邉 優美,渡邉 優美.1,5,原田　才一郎,原田　才一郎.1,6,古賀 智之,古賀 智之.1
2.0,3.0,16.8,1.0,3.0,46.5,1.0,2.0,98.7,1.0,2.0,49.9,1.0,2.0,108.2,1.0,2.0,1075.0
2.0,4.0,11.1,1.0,4.0,37.8,1.0,4.0,63.2,1.0,3.0,67.6,1.0,3.0,126.0,1.0,3.0,1102.0
2.0,5.0,21.9,1.0,5.0,52.6,1.0,5.0,88.7,1.0,5.0,32.1,1.0,4.0,79.1,1.0,4.0,861.8
2.0,6.0,90.9,1.0,6.0,194.3,1.0,6.0,268.3,1.0,6.0,95.1,1.0,6.0,202.7,1.0,5.0,981.5
3.0,2.0,18.7,3.0,1.0,107.5,2.0,1.0,164.5,2.0,1.0,107.7,2.0,1.0,175.2,2.0,1.0,1864.0
3.0,4.0,12.4,3.0,4.0,129.1,2.0,4.0,157.5,2.0,3.0,188.6,2.0,3.0,332.4,2.0,3.0,2187.0
3.0,5.0,20.1,3.0,5.0,177.7,2.0,5.0,192.8,2.0,5.0,99.5,2.0,4.0,163.8,2.0,4.0,1784.0
3.0,6.0,70.4,3.0,6.0,570.3,2.0,6.0,579.7,2.0,6.0,251.4,2.0,6.0,462.1,2.0,5.0,1869.0
4.0,2.0,15.1,4.0,1.0,77.8,4.0,1.0,98.7,3.0,1.0,128.5,3.0,1.0,302.5,3.0,1.0,2411.0
4.0,3.0,18.3,4.0,3.0,139.8,4.0,2.0,151.0,3.0,2.0,201.4,3.0,2.0,389.1,3.0,2.0,2793.0
4.0,5.0,14.5,4.0,5.0,107.9,4.0,5.0,99.2,3.0,5.0,132.0,3.0,4.0,316.3,3.0,4.0,1974.0
4.0,6.0,57.1,4.0,6.0,309.8,4.0,6.0,246.7,3.0,6.0,257.1,3.0,6.0,693.5,3.0,5.0,2355.0
5.0,2.0,33.8,5.0,1.0,135.4,5.0,1.0,187.1,5.0,1.0,35.0,4.0,1.0,81.4,4.0,1.0,1078.0
5.0,3.0,37.1,5.0,3.0,230.1,5.0,2.0,220.9,5.0,2.0,58.2,4.0,2.0,119.2,4.0,2.0,1591.0
5.0,4.0,30.9,5.0,4.0,167.8,5.0,4.0,155.2,5.0,3.0,97.3,4.0,3.0,212.1,4.0,3.0,1723.0
5.0,6.0,86.4,5.0,6.0,443.9,5.0,6.0,469.5,5.0,6.0,52.8,4.0,6.0,131.8,4.0,5.0,575.4
6.0,2.0,259.6,6.0,1.0,539.4,6.0,1.0,936.0,6.0,1.0,216.0,6.0,1.0,460.6,5.0,1.0,1393.0
6.0,3.0,277.8,6.0,3.0,1191.0,6.0,2.0,1313.0,6.0,2.0,311.0,6.0,2.0,654.3,5.0,2.0,1789.0
6.0,4.0,211.0,6.0,4.0,810.4,6.0,4.0,759.8,6.0,3.0,459.7,6.0,3.0,838.3,5.0,3.0,2141.0
6.0,5.0,270.0,6.0,5.0,1008.0,6.0,5.0,1048.0,6.0,5.0,148.9,6.0,4.0,299.0,5.0,4.0,600.9
