1,渡邉 和将,渡邉 和将.1,2,仲谷 颯仁,仲谷 颯仁.1,3,長野　壮志郎,長野　壮志郎.1,4,松本 弓雄,松本 弓雄.1,5,平石 和男,平石 和男.1,6,桑原 将光,桑原 将光.1
2.0,3.0,3.2,1.0,3.0,14.4,1.0,2.0,27.4,1.0,2.0,471.1,1.0,2.0,529.2,1.0,2.0,1167.0
2.0,4.0,14.6,1.0,4.0,56.2,1.0,4.0,69.9,1.0,3.0,572.9,1.0,3.0,556.6,1.0,3.0,1559.0
2.0,5.0,12.2,1.0,5.0,46.6,1.0,5.0,51.8,1.0,5.0,710.9,1.0,4.0,1306.0,1.0,4.0,3100.0
2.0,6.0,29.4,1.0,6.0,86.8,1.0,6.0,102.1,1.0,6.0,954.5,1.0,6.0,1097.0,1.0,5.0,2552.0
3.0,2.0,4.8,3.0,1.0,37.9,2.0,1.0,50.4,2.0,1.0,761.2,2.0,1.0,804.8,2.0,1.0,1782.0
3.0,4.0,15.6,3.0,4.0,189.3,2.0,4.0,202.6,2.0,3.0,914.7,2.0,3.0,830.3,2.0,3.0,2186.0
3.0,5.0,13.7,3.0,5.0,140.1,2.0,5.0,143.0,2.0,5.0,1256.0,2.0,4.0,2345.0,2.0,4.0,3892.0
3.0,6.0,32.1,3.0,6.0,233.5,2.0,6.0,264.5,2.0,6.0,1759.0,2.0,6.0,1742.0,2.0,5.0,3306.0
4.0,2.0,61.8,4.0,1.0,377.7,4.0,1.0,287.6,3.0,1.0,837.9,3.0,1.0,813.1,3.0,1.0,2222.0
4.0,3.0,65.9,4.0,3.0,518.2,4.0,2.0,359.4,3.0,2.0,987.1,3.0,2.0,839.2,3.0,2.0,2552.0
4.0,5.0,136.1,4.0,5.0,841.8,4.0,5.0,513.9,3.0,5.0,1341.0,3.0,4.0,2071.0,3.0,4.0,3430.0
4.0,6.0,180.9,4.0,6.0,951.2,4.0,6.0,627.2,3.0,6.0,1835.0,3.0,6.0,2040.0,3.0,5.0,3473.0
5.0,2.0,59.5,5.0,1.0,306.2,5.0,1.0,275.5,5.0,1.0,1219.0,4.0,1.0,1720.0,4.0,1.0,4426.0
5.0,3.0,61.4,5.0,3.0,349.3,5.0,2.0,343.0,5.0,2.0,1614.0,4.0,2.0,2589.0,4.0,2.0,4651.0
5.0,4.0,175.6,5.0,4.0,895.3,5.0,4.0,609.8,5.0,3.0,1873.0,4.0,3.0,2589.0,4.0,3.0,3541.0
5.0,6.0,184.2,5.0,6.0,749.8,5.0,6.0,575.3,5.0,6.0,1678.0,4.0,6.0,2919.0,4.0,5.0,4651.0
6.0,2.0,167.0,6.0,1.0,581.4,6.0,1.0,584.5,6.0,1.0,2204.0,6.0,1.0,2195.0,5.0,1.0,3154.0
6.0,3.0,178.6,6.0,3.0,959.5,6.0,2.0,801.2,6.0,2.0,3100.0,6.0,2.0,2541.0,5.0,2.0,3892.0
6.0,4.0,351.3,6.0,4.0,1495.0,6.0,4.0,1069.0,6.0,3.0,2999.0,6.0,3.0,2483.0,5.0,3.0,3367.0
6.0,5.0,294.3,6.0,5.0,1120.0,6.0,5.0,860.3,6.0,5.0,2744.0,6.0,4.0,3541.0,5.0,4.0,4321.0
