1,井内　将太郎,井内　将太郎.1,2,天野 友和,天野 友和.1,3,木場　雄二郎,木場　雄二郎.1,4,渡邉 英児,渡邉 英児.1,5,牧原 崇,牧原 崇.1,6,星野 太郎,星野 太郎.1
2.0,3.0,7.3,1.0,3.0,80.6,1.0,2.0,157.4,1.0,2.0,60.2,1.0,2.0,238.3,1.0,2.0,748.6
2.0,4.0,6.4,1.0,4.0,65.3,1.0,4.0,114.1,1.0,3.0,134.9,1.0,3.0,324.0,1.0,3.0,1277.0
2.0,5.0,15.0,1.0,5.0,110.5,1.0,5.0,142.1,1.0,5.0,69.1,1.0,4.0,199.0,1.0,4.0,700.8
2.0,6.0,20.3,1.0,6.0,113.2,1.0,6.0,245.9,1.0,6.0,85.3,1.0,6.0,265.5,1.0,5.0,999.2
3.0,2.0,11.8,3.0,1.0,283.0,2.0,1.0,329.3,2.0,1.0,144.2,2.0,1.0,518.0,2.0,1.0,1005.0
3.0,4.0,13.5,3.0,4.0,496.1,2.0,4.0,539.6,2.0,3.0,383.7,2.0,3.0,853.8,2.0,3.0,2314.0
3.0,5.0,20.6,3.0,5.0,633.9,2.0,5.0,627.6,2.0,5.0,283.4,2.0,4.0,905.9,2.0,4.0,1187.0
3.0,6.0,39.1,3.0,6.0,920.8,2.0,6.0,855.2,2.0,6.0,222.3,2.0,6.0,904.3,2.0,5.0,1971.0
4.0,2.0,9.6,4.0,1.0,161.5,4.0,1.0,250.6,3.0,1.0,306.7,3.0,1.0,609.4,3.0,1.0,1649.0
4.0,3.0,16.9,4.0,3.0,518.0,4.0,2.0,553.9,3.0,2.0,597.1,3.0,2.0,1038.0,3.0,2.0,2548.0
4.0,5.0,18.8,4.0,5.0,516.4,4.0,5.0,394.5,3.0,5.0,491.8,3.0,4.0,1066.0,3.0,4.0,1933.0
4.0,6.0,32.3,4.0,6.0,337.5,4.0,6.0,501.5,3.0,6.0,573.4,3.0,6.0,1280.0,3.0,5.0,2523.0
5.0,2.0,32.2,5.0,1.0,479.2,5.0,1.0,399.2,5.0,1.0,103.0,4.0,1.0,246.1,4.0,1.0,765.7
5.0,3.0,44.9,5.0,3.0,757.6,5.0,2.0,713.7,5.0,2.0,217.8,4.0,2.0,574.0,4.0,2.0,1092.0
5.0,4.0,39.2,5.0,4.0,816.5,5.0,4.0,582.0,5.0,3.0,348.4,4.0,3.0,905.9,4.0,3.0,2018.0
5.0,6.0,57.9,5.0,6.0,729.2,5.0,6.0,634.7,5.0,6.0,113.0,4.0,6.0,319.9,4.0,5.0,770.3
6.0,2.0,69.9,6.0,1.0,670.1,6.0,1.0,1019.0,6.0,1.0,157.2,6.0,1.0,626.8,5.0,1.0,1280.0
6.0,3.0,129.0,6.0,3.0,1405.0,6.0,2.0,1515.0,6.0,2.0,305.0,6.0,2.0,1019.0,5.0,2.0,1963.0
6.0,4.0,92.0,6.0,4.0,836.8,6.0,4.0,997.2,6.0,3.0,505.6,6.0,3.0,1314.0,5.0,3.0,2203.0
6.0,5.0,106.6,6.0,5.0,1034.0,6.0,5.0,1049.0,6.0,5.0,175.5,6.0,4.0,560.6,5.0,4.0,873.0
