1,岩永 雅人,岩永 雅人.1,2,中辻 崇人,中辻 崇人.1,3,堀之内紀代子,堀之内紀代子.1,4,渡邊　伸太郎,渡邊　伸太郎.1,5,古田 祐貴,古田 祐貴.1,6,松本 博昭,松本 博昭.1
2.0,3.0,18.2,1.0,3.0,15.1,1.0,2.0,81.0,1.0,2.0,187.6,1.0,2.0,115.1,1.0,2.0,625.7
2.0,4.0,25.7,1.0,4.0,18.4,1.0,4.0,187.8,1.0,3.0,472.7,1.0,3.0,279.9,1.0,3.0,1258.0
2.0,5.0,16.6,1.0,5.0,11.8,1.0,5.0,143.1,1.0,5.0,288.0,1.0,4.0,329.6,1.0,4.0,1299.0
2.0,6.0,45.6,1.0,6.0,29.4,1.0,6.0,312.6,1.0,6.0,364.0,1.0,6.0,241.9,1.0,5.0,1050.0
3.0,2.0,33.4,3.0,1.0,31.1,2.0,1.0,76.5,2.0,1.0,130.9,2.0,1.0,81.6,2.0,1.0,500.3
3.0,4.0,80.3,3.0,4.0,50.8,2.0,4.0,121.0,2.0,3.0,225.0,2.0,3.0,136.5,2.0,3.0,991.1
3.0,5.0,60.3,3.0,5.0,34.8,2.0,5.0,92.1,2.0,5.0,91.0,2.0,4.0,107.7,2.0,4.0,677.8
3.0,6.0,156.1,3.0,6.0,71.3,2.0,6.0,173.1,2.0,6.0,110.9,2.0,6.0,83.0,2.0,5.0,454.5
4.0,2.0,58.4,4.0,1.0,31.3,4.0,1.0,417.5,3.0,1.0,677.8,3.0,1.0,439.6,3.0,1.0,1655.0
4.0,3.0,129.4,4.0,3.0,51.1,4.0,2.0,273.9,3.0,2.0,452.3,3.0,2.0,272.5,3.0,2.0,1465.0
4.0,5.0,108.3,4.0,5.0,19.4,4.0,5.0,365.4,3.0,5.0,544.7,3.0,4.0,667.3,3.0,4.0,1879.0
4.0,6.0,152.2,4.0,6.0,26.7,4.0,6.0,517.8,3.0,6.0,782.4,3.0,6.0,619.1,3.0,5.0,1850.0
5.0,2.0,50.8,5.0,1.0,18.2,5.0,1.0,329.9,5.0,1.0,309.7,4.0,1.0,404.9,4.0,1.0,1593.0
5.0,3.0,112.0,5.0,3.0,34.4,5.0,2.0,226.6,5.0,2.0,190.1,4.0,2.0,223.1,4.0,2.0,1062.0
5.0,4.0,134.7,5.0,4.0,22.8,5.0,4.0,465.7,5.0,3.0,500.3,4.0,3.0,615.1,4.0,3.0,2125.0
5.0,6.0,139.4,5.0,6.0,18.9,5.0,6.0,517.8,5.0,6.0,309.3,4.0,6.0,408.4,4.0,5.0,1460.0
6.0,2.0,191.0,6.0,1.0,66.3,6.0,1.0,817.6,6.0,1.0,620.7,6.0,1.0,316.2,5.0,1.0,845.5
6.0,3.0,385.1,6.0,3.0,117.1,6.0,2.0,651.6,6.0,2.0,404.2,6.0,2.0,194.8,5.0,2.0,563.0
6.0,4.0,376.8,6.0,4.0,61.2,6.0,4.0,1074.0,6.0,3.0,872.0,6.0,3.0,602.5,5.0,3.0,1678.0
6.0,5.0,302.0,6.0,5.0,44.6,6.0,5.0,958.9,6.0,5.0,547.9,6.0,4.0,471.7,5.0,4.0,1321.0
