1,森 晋太郎,森 晋太郎.1,2,大熊 辰弥,大熊 辰弥.1,3,立間 充宏,立間 充宏.1,4,中渡 修作,中渡 修作.1,5,鈴木 猛,鈴木 猛.1,6,丸岡 正典,丸岡 正典.1
2.0,3.0,62.7,1.0,3.0,240.3,1.0,2.0,77.2,1.0,2.0,478.5,1.0,2.0,749.6,1.0,2.0,134.5
2.0,4.0,97.1,1.0,4.0,365.8,1.0,4.0,29.4,1.0,3.0,193.5,1.0,3.0,266.6,1.0,3.0,37.4
2.0,5.0,191.7,1.0,5.0,589.0,1.0,5.0,39.6,1.0,5.0,333.9,1.0,4.0,417.1,1.0,4.0,85.6
2.0,6.0,58.0,1.0,6.0,266.0,1.0,6.0,12.4,1.0,6.0,139.7,1.0,6.0,263.3,1.0,5.0,96.7
3.0,2.0,32.3,3.0,1.0,288.9,2.0,1.0,199.2,2.0,1.0,724.3,2.0,1.0,1191.0,2.0,1.0,248.1
3.0,4.0,18.8,3.0,4.0,273.4,2.0,4.0,200.3,2.0,3.0,448.5,2.0,3.0,1307.0,2.0,3.0,152.9
3.0,5.0,24.8,3.0,5.0,432.2,2.0,5.0,308.9,2.0,5.0,749.6,2.0,4.0,1701.0,2.0,4.0,378.7
3.0,6.0,7.5,3.0,6.0,186.7,2.0,6.0,108.3,2.0,6.0,468.1,2.0,6.0,1429.0,2.0,5.0,345.8
4.0,2.0,141.2,4.0,1.0,682.7,4.0,1.0,60.0,3.0,1.0,197.7,3.0,1.0,262.1,3.0,1.0,31.9
4.0,3.0,46.2,4.0,3.0,412.3,4.0,2.0,151.8,3.0,2.0,374.8,3.0,2.0,645.7,3.0,2.0,107.6
4.0,5.0,122.0,4.0,5.0,1276.0,4.0,5.0,109.0,3.0,5.0,296.1,3.0,4.0,406.0,3.0,4.0,52.1
4.0,6.0,38.3,4.0,6.0,448.5,4.0,6.0,30.2,3.0,6.0,110.4,3.0,6.0,159.5,3.0,5.0,61.7
5.0,2.0,286.6,5.0,1.0,983.4,5.0,1.0,88.6,5.0,1.0,512.9,4.0,1.0,916.2,4.0,1.0,180.1
5.0,3.0,75.4,5.0,3.0,932.1,5.0,2.0,287.3,5.0,2.0,799.9,4.0,2.0,1339.0,4.0,2.0,413.8
5.0,4.0,212.6,5.0,4.0,1392.0,5.0,4.0,133.0,5.0,3.0,432.2,4.0,3.0,579.4,4.0,3.0,113.9
5.0,6.0,68.6,5.0,6.0,974.5,5.0,6.0,52.7,5.0,6.0,267.9,4.0,6.0,546.9,4.0,5.0,280.6
6.0,2.0,50.8,6.0,1.0,348.0,6.0,1.0,15.3,6.0,1.0,180.7,6.0,1.0,289.7,5.0,1.0,161.4
6.0,3.0,15.8,6.0,3.0,289.7,6.0,2.0,62.9,6.0,2.0,422.0,6.0,2.0,837.4,5.0,2.0,380.1
6.0,4.0,35.8,6.0,4.0,420.3,6.0,4.0,23.0,6.0,3.0,134.6,6.0,3.0,166.4,5.0,3.0,104.2
6.0,5.0,46.3,6.0,5.0,831.0,6.0,5.0,30.6,6.0,5.0,225.6,6.0,4.0,391.2,5.0,4.0,271.3
