1,高橋 竜矢,高橋 竜矢.1,2,仲本 舜,仲本 舜.1,3,大澤 風葵,大澤 風葵.1,4,佐藤 右京,佐藤 右京.1,5,藤原 孝斗,藤原 孝斗.1,6,津田 陸翔,津田 陸翔.1
2.0,3.0,15.7,1.0,3.0,65.4,1.0,2.0,34.5,1.0,2.0,499.6,1.0,2.0,450.6,1.0,2.0,158.2
2.0,4.0,57.6,1.0,4.0,215.6,1.0,4.0,36.1,1.0,3.0,278.0,1.0,3.0,235.1,1.0,3.0,71.6
2.0,5.0,43.7,1.0,5.0,162.6,1.0,5.0,25.0,1.0,5.0,446.5,1.0,4.0,639.4,1.0,4.0,197.3
2.0,6.0,28.5,1.0,6.0,104.4,1.0,6.0,14.6,1.0,6.0,252.8,1.0,6.0,293.1,1.0,5.0,190.2
3.0,2.0,9.6,3.0,1.0,104.4,2.0,1.0,98.1,2.0,1.0,833.3,2.0,1.0,797.7,2.0,1.0,296.3
3.0,4.0,15.9,3.0,4.0,380.4,2.0,4.0,278.7,2.0,3.0,949.1,2.0,3.0,990.6,2.0,3.0,381.1
3.0,5.0,10.1,3.0,5.0,288.6,2.0,5.0,250.8,2.0,5.0,1342.0,2.0,4.0,1480.0,2.0,4.0,707.1
3.0,6.0,6.4,3.0,6.0,185.8,2.0,6.0,139.0,2.0,6.0,862.7,2.0,6.0,1096.0,2.0,5.0,755.0
4.0,2.0,85.6,4.0,1.0,562.4,4.0,1.0,100.4,3.0,1.0,307.2,3.0,1.0,313.4,3.0,1.0,91.4
4.0,3.0,51.1,4.0,3.0,658.0,4.0,2.0,302.3,3.0,2.0,724.0,3.0,2.0,832.2,3.0,2.0,276.4
4.0,5.0,115.7,4.0,5.0,959.2,4.0,5.0,163.4,3.0,5.0,496.8,3.0,4.0,736.6,3.0,4.0,269.5
4.0,6.0,59.0,4.0,6.0,645.9,4.0,6.0,99.1,3.0,6.0,300.5,3.0,6.0,386.7,3.0,5.0,272.5
5.0,2.0,79.4,5.0,1.0,519.2,5.0,1.0,80.9,5.0,1.0,693.2,4.0,1.0,1063.0,4.0,1.0,352.7
5.0,3.0,41.5,5.0,3.0,636.2,5.0,2.0,263.4,5.0,2.0,1198.0,4.0,2.0,1560.0,4.0,2.0,911.0
5.0,4.0,137.1,5.0,4.0,1195.0,5.0,4.0,175.6,5.0,3.0,679.8,4.0,3.0,937.9,4.0,3.0,409.1
5.0,6.0,61.7,5.0,6.0,585.8,5.0,6.0,81.4,5.0,6.0,533.6,4.0,6.0,898.1,4.0,5.0,796.7
6.0,2.0,42.0,6.0,1.0,276.6,6.0,1.0,36.1,6.0,1.0,299.5,6.0,1.0,427.9,5.0,1.0,327.8
6.0,3.0,18.5,6.0,3.0,337.5,6.0,2.0,120.2,6.0,2.0,743.5,6.0,2.0,875.8,5.0,2.0,715.9
6.0,4.0,57.2,6.0,4.0,685.0,6.0,4.0,86.0,6.0,3.0,375.0,6.0,3.0,451.6,5.0,3.0,402.1
6.0,5.0,55.6,6.0,5.0,586.3,6.0,5.0,68.3,6.0,5.0,554.1,6.0,4.0,816.2,5.0,4.0,830.0
