1,笠 雅雄,笠 雅雄.1,2,小野 信樹,小野 信樹.1,3,山田 理央,山田 理央.1,4,村田 敦,村田 敦.1,5,齊藤 優,齊藤 優.1,6,石川 諒,石川 諒.1
2.0,3.0,15.6,1.0,3.0,73.3,1.0,2.0,55.5,1.0,2.0,200.5,1.0,2.0,56.5,1.0,2.0,358.5
2.0,4.0,34.4,1.0,4.0,111.2,1.0,4.0,89.2,1.0,3.0,242.2,1.0,3.0,42.7,1.0,3.0,315.4
2.0,5.0,17.6,1.0,5.0,55.3,1.0,5.0,25.3,1.0,5.0,122.7,1.0,4.0,108.6,1.0,4.0,518.7
2.0,6.0,47.6,1.0,6.0,119.3,1.0,6.0,57.5,1.0,6.0,171.8,1.0,6.0,42.9,1.0,5.0,193.5
3.0,2.0,19.4,3.0,1.0,133.6,2.0,1.0,101.7,2.0,1.0,284.0,2.0,1.0,108.8,2.0,1.0,540.5
3.0,4.0,32.7,3.0,4.0,192.2,2.0,4.0,185.7,2.0,3.0,385.8,2.0,3.0,162.3,2.0,3.0,780.2
3.0,5.0,11.1,3.0,5.0,104.2,2.0,5.0,76.3,2.0,5.0,250.2,2.0,4.0,277.1,2.0,4.0,773.8
3.0,6.0,32.6,3.0,6.0,241.4,2.0,6.0,167.0,2.0,6.0,330.4,2.0,6.0,126.3,2.0,5.0,464.3
4.0,2.0,68.4,4.0,1.0,249.5,4.0,1.0,181.4,3.0,1.0,343.7,3.0,1.0,79.7,3.0,1.0,586.3
4.0,3.0,75.9,4.0,3.0,267.9,4.0,2.0,228.9,3.0,2.0,394.4,3.0,2.0,158.4,3.0,2.0,919.5
4.0,5.0,53.0,4.0,5.0,211.9,4.0,5.0,99.6,3.0,5.0,196.6,3.0,4.0,198.7,3.0,4.0,969.9
4.0,6.0,91.6,4.0,6.0,304.5,4.0,6.0,187.4,3.0,6.0,314.7,3.0,6.0,116.0,3.0,5.0,459.0
5.0,2.0,22.5,5.0,1.0,104.9,5.0,1.0,50.0,5.0,1.0,103.0,4.0,1.0,157.2,4.0,1.0,601.3
5.0,3.0,15.4,5.0,3.0,123.9,5.0,2.0,88.0,5.0,2.0,158.2,4.0,2.0,260.8,4.0,2.0,791.1
5.0,4.0,48.3,5.0,4.0,214.4,5.0,4.0,109.9,5.0,3.0,157.4,4.0,3.0,224.6,4.0,3.0,950.4
5.0,6.0,23.7,5.0,6.0,156.4,5.0,6.0,75.5,5.0,6.0,81.5,4.0,6.0,108.0,4.0,5.0,271.2
6.0,2.0,103.2,6.0,1.0,398.9,6.0,1.0,205.2,6.0,1.0,249.3,6.0,1.0,69.7,5.0,1.0,224.9
6.0,3.0,99.7,6.0,3.0,536.4,6.0,2.0,318.2,6.0,2.0,358.5,6.0,2.0,126.3,5.0,2.0,381.1
6.0,4.0,171.8,6.0,4.0,504.8,6.0,4.0,385.8,6.0,3.0,331.6,6.0,3.0,119.9,5.0,3.0,368.7
6.0,5.0,60.7,6.0,5.0,315.0,6.0,5.0,154.6,6.0,5.0,143.4,6.0,4.0,126.8,5.0,4.0,254.9
