1,大田 直弥,大田 直弥.1,2,堂原 洋史,堂原 洋史.1,3,山根 大樹,山根 大樹.1,4,岡部 貴司,岡部 貴司.1,5,川辺 郭人,川辺 郭人.1,6,高濱 芳久,高濱 芳久.1
2.0,3.0,34.1,1.0,3.0,74.4,1.0,2.0,128.1,1.0,2.0,44.7,1.0,2.0,1403.0,1.0,2.0,40.0
2.0,4.0,21.1,1.0,4.0,55.1,1.0,4.0,75.0,1.0,3.0,54.1,1.0,3.0,1666.0,1.0,3.0,60.0
2.0,5.0,209.2,1.0,5.0,309.3,1.0,5.0,340.0,1.0,5.0,157.0,1.0,4.0,1033.0,1.0,4.0,26.0
2.0,6.0,18.0,1.0,6.0,47.8,1.0,6.0,116.6,1.0,6.0,29.2,1.0,6.0,1374.0,1.0,5.0,392.1
3.0,2.0,56.1,3.0,1.0,128.6,2.0,1.0,201.3,2.0,1.0,85.6,2.0,1.0,1877.0,2.0,1.0,71.1
3.0,4.0,34.4,3.0,4.0,127.0,2.0,4.0,157.5,2.0,3.0,140.9,2.0,3.0,2298.0,2.0,3.0,123.6
3.0,5.0,294.9,3.0,5.0,499.3,2.0,5.0,569.7,2.0,5.0,349.9,2.0,4.0,2221.0,2.0,4.0,81.3
3.0,6.0,40.5,3.0,6.0,131.8,2.0,6.0,225.1,2.0,6.0,87.3,2.0,6.0,2298.0,2.0,5.0,562.5
4.0,2.0,20.5,4.0,1.0,89.9,4.0,1.0,65.5,3.0,1.0,64.8,3.0,1.0,1801.0,3.0,1.0,112.7
4.0,3.0,29.7,4.0,3.0,136.1,4.0,2.0,106.8,3.0,2.0,114.0,3.0,2.0,1777.0,3.0,2.0,158.8
4.0,5.0,168.5,4.0,5.0,481.2,4.0,5.0,216.7,3.0,5.0,215.0,3.0,4.0,1687.0,3.0,4.0,98.0
4.0,6.0,12.4,4.0,6.0,80.4,4.0,6.0,83.2,3.0,6.0,82.6,3.0,6.0,1826.0,3.0,5.0,493.7
5.0,2.0,385.3,5.0,1.0,1092.0,5.0,1.0,694.3,5.0,1.0,290.4,4.0,1.0,1009.0,4.0,1.0,44.5
5.0,3.0,567.2,5.0,3.0,1333.0,5.0,2.0,877.0,5.0,2.0,406.4,4.0,2.0,1514.0,4.0,2.0,73.2
5.0,4.0,458.1,5.0,4.0,1066.0,5.0,4.0,508.8,5.0,3.0,375.5,4.0,3.0,1568.0,4.0,3.0,82.6
5.0,6.0,631.8,5.0,6.0,1346.0,5.0,6.0,882.8,5.0,6.0,283.0,4.0,6.0,1346.0,4.0,5.0,334.1
6.0,2.0,13.1,6.0,1.0,62.1,6.0,1.0,161.0,6.0,1.0,41.6,6.0,1.0,2380.0,5.0,1.0,1403.0
6.0,3.0,20.3,6.0,3.0,98.6,6.0,2.0,221.4,6.0,2.0,70.1,6.0,2.0,2836.0,5.0,2.0,1550.0
6.0,4.0,9.8,6.0,4.0,66.9,6.0,4.0,125.6,6.0,3.0,78.5,6.0,3.0,2423.0,5.0,3.0,1083.0
6.0,5.0,204.1,6.0,5.0,472.7,6.0,5.0,617.1,6.0,5.0,256.8,6.0,4.0,1625.0,5.0,4.0,900.7
