1,江藤 敦宏,江藤 敦宏.1,2,柴田 大輔,柴田 大輔.1,3,田中 孝明,田中 孝明.1,4,柴田 朋哉,柴田 朋哉.1,5,加倉 侑征,加倉 侑征.1,6,野相 弘司,野相 弘司.1
2.0,3.0,17.7,1.0,3.0,30.1,1.0,2.0,97.5,1.0,2.0,41.2,1.0,2.0,198.4,1.0,2.0,939.7
2.0,4.0,12.9,1.0,4.0,20.6,1.0,4.0,82.2,1.0,3.0,82.9,1.0,3.0,244.1,1.0,3.0,1566.0
2.0,5.0,38.8,1.0,5.0,48.8,1.0,5.0,126.6,1.0,5.0,58.6,1.0,4.0,163.0,1.0,4.0,1052.0
2.0,6.0,105.6,1.0,6.0,120.3,1.0,6.0,238.3,1.0,6.0,125.9,1.0,6.0,274.6,1.0,5.0,1512.0
3.0,2.0,27.6,3.0,1.0,60.4,2.0,1.0,113.7,2.0,1.0,48.1,2.0,1.0,244.1,2.0,1.0,1277.0
3.0,4.0,26.5,3.0,4.0,30.5,2.0,4.0,53.2,2.0,3.0,41.7,2.0,3.0,256.4,2.0,3.0,960.3
3.0,5.0,67.2,3.0,5.0,63.6,2.0,5.0,103.9,2.0,5.0,45.0,2.0,4.0,163.4,2.0,4.0,773.9
3.0,6.0,146.1,3.0,6.0,110.0,2.0,6.0,152.4,2.0,6.0,81.2,2.0,6.0,266.8,2.0,5.0,1144.0
4.0,2.0,18.5,4.0,1.0,29.2,4.0,1.0,90.5,3.0,1.0,110.9,3.0,1.0,432.7,3.0,1.0,2088.0
4.0,3.0,24.1,4.0,3.0,21.6,4.0,2.0,63.9,3.0,2.0,71.6,3.0,2.0,356.5,3.0,2.0,1044.0
4.0,5.0,40.7,4.0,5.0,34.6,4.0,5.0,97.7,3.0,5.0,99.2,3.0,4.0,382.4,3.0,4.0,1185.0
4.0,6.0,92.6,4.0,6.0,71.6,4.0,6.0,155.8,3.0,6.0,150.8,3.0,6.0,562.2,3.0,5.0,1731.0
5.0,2.0,84.3,5.0,1.0,105.1,5.0,1.0,223.3,5.0,1.0,59.1,4.0,1.0,176.3,4.0,1.0,1012.0
5.0,3.0,103.5,5.0,3.0,84.8,5.0,2.0,187.9,5.0,2.0,45.6,4.0,2.0,140.7,4.0,2.0,515.9
5.0,4.0,63.9,5.0,4.0,68.3,5.0,4.0,183.7,5.0,3.0,87.1,4.0,3.0,227.6,4.0,3.0,946.5
5.0,6.0,178.5,5.0,6.0,167.8,5.0,6.0,267.4,5.0,6.0,67.6,4.0,6.0,178.0,4.0,5.0,678.2
6.0,2.0,301.0,6.0,1.0,342.6,6.0,1.0,557.5,6.0,1.0,212.2,6.0,1.0,756.1,5.0,1.0,1686.0
6.0,3.0,342.6,6.0,3.0,146.0,6.0,2.0,335.6,6.0,2.0,144.4,6.0,2.0,449.0,5.0,2.0,1019.0
6.0,4.0,247.7,6.0,4.0,239.6,6.0,4.0,382.4,6.0,3.0,226.0,6.0,3.0,827.4,5.0,3.0,1430.0
6.0,5.0,328.1,6.0,5.0,320.9,6.0,5.0,416.3,6.0,5.0,121.9,6.0,4.0,404.8,5.0,4.0,678.2
