1,原田　才一郎,原田　才一郎.1,2,竹下 大樹,竹下 大樹.1,3,山下 大輝,山下 大輝.1,4,大場 恒季,大場 恒季.1,5,浦野 海,浦野 海.1,6,大原 祥昌,大原 祥昌.1
2.0,3.0,4.7,1.0,3.0,28.1,1.0,2.0,67.0,1.0,2.0,119.7,1.0,2.0,464.6,1.0,2.0,987.1
2.0,4.0,6.3,1.0,4.0,36.1,1.0,4.0,81.5,1.0,3.0,204.7,1.0,3.0,605.9,1.0,3.0,1728.0
2.0,5.0,15.7,1.0,5.0,77.2,1.0,5.0,142.5,1.0,5.0,252.9,1.0,4.0,688.7,1.0,4.0,1911.0
2.0,6.0,32.9,1.0,6.0,129.4,1.0,6.0,246.7,1.0,6.0,334.5,1.0,6.0,826.5,1.0,5.0,2278.0
3.0,2.0,6.9,3.0,1.0,80.5,2.0,1.0,117.4,2.0,1.0,249.0,2.0,1.0,787.4,2.0,1.0,1746.0
3.0,4.0,9.4,3.0,4.0,125.9,2.0,4.0,178.4,2.0,3.0,420.8,2.0,3.0,1561.0,2.0,3.0,3360.0
3.0,5.0,18.6,3.0,5.0,221.4,2.0,5.0,294.8,2.0,5.0,555.3,2.0,4.0,1603.0,2.0,4.0,2738.0
3.0,6.0,42.6,3.0,6.0,378.2,2.0,6.0,505.5,2.0,6.0,764.7,2.0,6.0,2112.0,2.0,5.0,4008.0
4.0,2.0,13.6,4.0,1.0,128.6,4.0,1.0,189.3,3.0,1.0,351.4,3.0,1.0,1031.0,3.0,1.0,2892.0
4.0,3.0,19.4,4.0,3.0,175.2,4.0,2.0,235.1,3.0,2.0,494.3,3.0,2.0,1701.0,3.0,2.0,3984.0
4.0,5.0,37.8,4.0,5.0,279.6,4.0,5.0,364.5,3.0,5.0,775.4,3.0,4.0,2559.0,3.0,4.0,3360.0
4.0,6.0,53.4,4.0,6.0,501.7,4.0,6.0,599.9,3.0,6.0,1066.0,3.0,6.0,2843.0,3.0,5.0,5040.0
5.0,2.0,47.7,5.0,1.0,384.8,5.0,1.0,432.6,5.0,1.0,462.3,4.0,1.0,1031.0,4.0,1.0,2843.0
5.0,3.0,56.7,5.0,3.0,575.0,5.0,2.0,626.5,5.0,2.0,658.1,4.0,2.0,1547.0,4.0,2.0,2510.0
5.0,4.0,83.6,5.0,4.0,645.9,5.0,4.0,771.8,5.0,3.0,984.2,4.0,3.0,2059.0,4.0,3.0,4265.0
5.0,6.0,118.2,5.0,6.0,988.6,5.0,6.0,1094.0,5.0,6.0,647.8,4.0,6.0,1427.0,4.0,5.0,2867.0
6.0,2.0,130.5,6.0,1.0,787.4,6.0,1.0,888.3,6.0,1.0,799.7,6.0,1.0,1634.0,5.0,1.0,3520.0
6.0,3.0,168.6,6.0,3.0,1192.0,6.0,2.0,1478.0,6.0,2.0,1120.0,6.0,2.0,2588.0,5.0,2.0,3558.0
6.0,4.0,187.3,6.0,4.0,1192.0,6.0,4.0,1349.0,6.0,3.0,1884.0,6.0,3.0,3052.0,5.0,3.0,3635.0
6.0,5.0,231.5,6.0,5.0,1576.0,6.0,5.0,2072.0,6.0,5.0,1107.0,6.0,4.0,2085.0,5.0,4.0,2970.0
