1,出畑 孝典,出畑 孝典.1,2,松田 隆司,松田 隆司.1,3,村上 純,村上 純.1,4,三原 司,三原 司.1,5,原田 雄次,原田 雄次.1,6,松本 怜,松本 怜.1
2.0,3.0,5.7,1.0,3.0,44.3,1.0,2.0,52.9,1.0,2.0,55.0,1.0,2.0,180.1,1.0,2.0,1066.0
2.0,4.0,7.0,1.0,4.0,51.6,1.0,4.0,62.0,1.0,3.0,81.3,1.0,3.0,300.7,1.0,3.0,1879.0
2.0,5.0,7.7,1.0,5.0,71.1,1.0,5.0,98.3,1.0,5.0,77.4,1.0,4.0,211.9,1.0,4.0,1335.0
2.0,6.0,82.1,1.0,6.0,399.0,1.0,6.0,358.0,1.0,6.0,229.6,1.0,6.0,693.4,1.0,5.0,1623.0
3.0,2.0,8.8,3.0,1.0,92.8,2.0,1.0,115.7,2.0,1.0,110.0,2.0,1.0,322.4,2.0,1.0,1536.0
3.0,4.0,12.1,3.0,4.0,181.9,2.0,4.0,214.4,2.0,3.0,236.5,2.0,3.0,811.6,2.0,3.0,2506.0
3.0,5.0,19.1,3.0,5.0,338.5,2.0,5.0,363.4,2.0,5.0,246.2,2.0,4.0,585.4,2.0,4.0,2267.0
3.0,6.0,138.1,3.0,6.0,904.1,2.0,6.0,952.3,2.0,6.0,487.5,2.0,6.0,1587.0,2.0,5.0,2976.0
4.0,2.0,12.3,4.0,1.0,107.5,4.0,1.0,157.8,3.0,1.0,195.1,3.0,1.0,643.4,3.0,1.0,2915.0
4.0,3.0,17.8,4.0,3.0,215.1,4.0,2.0,270.0,3.0,2.0,357.1,3.0,2.0,985.1,3.0,2.0,3662.0
4.0,5.0,25.4,4.0,5.0,260.2,4.0,5.0,390.3,3.0,5.0,506.5,3.0,4.0,946.0,3.0,4.0,2597.0
4.0,6.0,145.4,4.0,6.0,717.8,4.0,6.0,816.2,3.0,6.0,736.3,3.0,6.0,2304.0,3.0,5.0,3484.0
5.0,2.0,24.6,5.0,1.0,289.1,5.0,1.0,295.7,5.0,1.0,116.6,4.0,1.0,278.4,4.0,1.0,1488.0
5.0,3.0,44.4,5.0,3.0,569.1,5.0,2.0,580.6,5.0,2.0,179.0,4.0,2.0,482.6,4.0,2.0,2267.0
5.0,4.0,45.6,5.0,4.0,459.3,5.0,4.0,578.3,5.0,3.0,272.0,4.0,3.0,759.8,4.0,3.0,3105.0
5.0,6.0,260.6,5.0,6.0,1400.0,5.0,6.0,1360.0,5.0,6.0,443.6,4.0,6.0,1142.0,4.0,5.0,2100.0
6.0,2.0,489.2,6.0,1.0,1050.0,6.0,1.0,1472.0,6.0,1.0,539.0,6.0,1.0,1879.0,5.0,1.0,2506.0
6.0,3.0,571.4,6.0,3.0,2695.0,6.0,2.0,1700.0,6.0,2.0,892.8,6.0,2.0,2597.0,5.0,2.0,5714.0
6.0,4.0,545.2,6.0,4.0,1721.0,6.0,4.0,1641.0,6.0,3.0,1050.0,6.0,3.0,2801.0,5.0,3.0,4081.0
6.0,5.0,646.3,6.0,5.0,2801.0,6.0,5.0,1956.0,6.0,5.0,1066.0,6.0,4.0,2197.0,5.0,4.0,2506.0
