1,山田 丈,山田 丈.1,2,生方 靖亜,生方 靖亜.1,3,荒木 颯斗,荒木 颯斗.1,4,坂井 滉哉,坂井 滉哉.1,5,砂長 知輝,砂長 知輝.1,6,中山 翔太,中山 翔太.1
2.0,3.0,15.8,1.0,3.0,114.1,1.0,2.0,61.5,1.0,2.0,995.4,1.0,2.0,133.2,1.0,2.0,291.8
2.0,4.0,62.8,1.0,4.0,380.0,1.0,4.0,102.2,1.0,3.0,811.7,1.0,3.0,62.4,1.0,3.0,138.0
2.0,5.0,23.9,1.0,5.0,135.9,1.0,5.0,22.0,1.0,5.0,679.0,1.0,4.0,315.3,1.0,4.0,618.0
2.0,6.0,29.0,1.0,6.0,151.1,1.0,6.0,24.6,1.0,6.0,728.6,1.0,6.0,60.9,1.0,5.0,143.1
3.0,2.0,12.3,3.0,1.0,204.6,2.0,1.0,131.4,2.0,1.0,1281.0,2.0,1.0,310.1,2.0,1.0,555.4
3.0,4.0,36.3,3.0,4.0,727.7,2.0,4.0,413.4,2.0,3.0,1514.0,2.0,3.0,395.4,2.0,3.0,764.0
3.0,5.0,7.1,3.0,5.0,283.3,2.0,5.0,140.7,2.0,5.0,1283.0,2.0,4.0,1051.0,2.0,4.0,1796.0
3.0,6.0,8.8,3.0,6.0,316.5,2.0,6.0,147.8,2.0,6.0,1338.0,2.0,6.0,315.1,2.0,5.0,626.4
4.0,2.0,121.9,4.0,1.0,906.4,4.0,1.0,234.3,3.0,1.0,863.2,3.0,1.0,93.2,3.0,1.0,183.2
4.0,3.0,104.1,4.0,3.0,1116.0,4.0,2.0,423.0,3.0,2.0,1414.0,3.0,2.0,274.0,3.0,2.0,548.3
4.0,5.0,131.6,4.0,5.0,949.5,4.0,5.0,214.4,3.0,5.0,837.8,3.0,4.0,513.9,3.0,4.0,839.0
4.0,6.0,125.4,4.0,6.0,1177.0,4.0,6.0,216.4,3.0,6.0,879.7,3.0,6.0,109.4,3.0,5.0,221.2
5.0,2.0,28.6,5.0,1.0,300.9,5.0,1.0,40.1,5.0,1.0,756.3,4.0,1.0,665.4,4.0,1.0,1246.0
5.0,3.0,13.9,5.0,3.0,384.7,5.0,2.0,117.7,5.0,2.0,1056.0,4.0,2.0,1278.0,4.0,2.0,2136.0
5.0,4.0,108.3,5.0,4.0,1010.0,5.0,4.0,147.3,5.0,3.0,1008.0,4.0,3.0,928.9,4.0,3.0,1595.0
5.0,6.0,18.1,5.0,6.0,366.3,5.0,6.0,40.6,5.0,6.0,674.4,4.0,6.0,607.3,4.0,5.0,1278.0
6.0,2.0,48.9,6.0,1.0,415.7,6.0,1.0,56.6,6.0,1.0,979.1,6.0,1.0,96.2,5.0,1.0,179.7
6.0,3.0,19.6,6.0,3.0,546.3,6.0,2.0,152.6,6.0,2.0,1506.0,6.0,2.0,237.0,5.0,2.0,427.9
6.0,4.0,141.7,6.0,4.0,1292.0,6.0,4.0,205.7,6.0,3.0,1248.0,6.0,3.0,129.3,5.0,3.0,246.8
6.0,5.0,31.1,6.0,5.0,510.0,6.0,5.0,59.8,6.0,5.0,921.7,6.0,4.0,414.0,5.0,4.0,745.0
