1,佐藤 博亮,佐藤 博亮.1,2,重成 一人,重成 一人.1,3,定松 勇樹,定松 勇樹.1,4,君島 秀三,君島 秀三.1,5,岡村 慶太,岡村 慶太.1,6,中野 次郎,中野 次郎.1
2.0,3.0,14.7,1.0,3.0,74.1,1.0,2.0,42.3,1.0,2.0,251.2,1.0,2.0,124.9,1.0,2.0,838.2
2.0,4.0,33.5,1.0,4.0,143.0,1.0,4.0,34.3,1.0,3.0,179.0,1.0,3.0,73.5,1.0,3.0,1019.0
2.0,5.0,27.4,1.0,5.0,113.8,1.0,5.0,19.4,1.0,5.0,210.9,1.0,4.0,185.1,1.0,4.0,1209.0
2.0,6.0,47.5,1.0,6.0,172.5,1.0,6.0,48.1,1.0,6.0,267.0,1.0,6.0,130.6,1.0,5.0,1334.0
3.0,2.0,11.6,3.0,1.0,132.2,2.0,1.0,85.6,2.0,1.0,431.5,2.0,1.0,337.7,2.0,1.0,1104.0
3.0,4.0,12.9,3.0,4.0,258.1,2.0,4.0,131.7,2.0,3.0,477.0,2.0,3.0,309.1,2.0,3.0,1053.0
3.0,5.0,8.5,3.0,5.0,172.8,2.0,5.0,75.8,2.0,5.0,477.9,2.0,4.0,636.2,2.0,4.0,1779.0
3.0,6.0,21.5,3.0,6.0,229.9,2.0,6.0,115.3,2.0,6.0,526.1,2.0,6.0,454.0,2.0,5.0,1662.0
4.0,2.0,44.1,4.0,1.0,339.9,4.0,1.0,64.7,3.0,1.0,210.9,3.0,1.0,95.0,3.0,1.0,1041.0
4.0,3.0,28.4,4.0,3.0,446.0,4.0,2.0,108.5,3.0,2.0,314.5,3.0,2.0,182.3,3.0,2.0,902.9
4.0,5.0,34.7,4.0,5.0,477.9,4.0,5.0,49.3,3.0,5.0,188.5,3.0,4.0,199.3,3.0,4.0,941.8
4.0,6.0,56.2,4.0,6.0,492.1,4.0,6.0,80.6,3.0,6.0,234.5,3.0,6.0,154.8,3.0,5.0,779.7
5.0,2.0,33.8,5.0,1.0,278.9,5.0,1.0,32.7,5.0,1.0,254.8,4.0,1.0,386.1,4.0,1.0,1312.0
5.0,3.0,19.9,5.0,3.0,269.8,5.0,2.0,63.2,5.0,2.0,380.3,4.0,2.0,596.7,4.0,2.0,1854.0
5.0,4.0,44.2,5.0,4.0,550.8,5.0,4.0,54.3,5.0,3.0,263.3,4.0,3.0,357.9,4.0,3.0,1114.0
5.0,6.0,46.7,5.0,6.0,414.4,5.0,6.0,47.5,5.0,6.0,280.7,4.0,6.0,403.9,4.0,5.0,1364.0
6.0,2.0,159.3,6.0,1.0,467.7,6.0,1.0,134.5,6.0,1.0,463.2,6.0,1.0,379.7,5.0,1.0,1319.0
6.0,3.0,107.1,6.0,3.0,416.2,6.0,2.0,179.9,6.0,2.0,578.0,6.0,2.0,547.7,5.0,2.0,1412.0
6.0,4.0,185.1,6.0,4.0,735.5,6.0,4.0,180.7,6.0,3.0,477.4,6.0,3.0,350.3,5.0,3.0,850.1
6.0,5.0,151.7,6.0,5.0,599.6,6.0,5.0,113.9,6.0,5.0,513.1,6.0,4.0,613.4,5.0,4.0,1360.0
