1,奈須 啓太,奈須 啓太.1,2,中山 将,中山 将.1,3,今村 暢孝,今村 暢孝.1,4,表 健太,表 健太.1,5,後藤 陽介,後藤 陽介.1,6,内田 圭,内田 圭.1
2.0,3.0,6.7,1.0,3.0,32.1,1.0,2.0,15.3,1.0,2.0,523.4,1.0,2.0,77.0,1.0,2.0,971.4
2.0,4.0,33.7,1.0,4.0,130.2,1.0,4.0,84.9,1.0,3.0,471.6,1.0,3.0,64.9,1.0,3.0,801.2
2.0,5.0,11.4,1.0,5.0,47.0,1.0,5.0,22.7,1.0,5.0,643.6,1.0,4.0,316.2,1.0,4.0,3542.0
2.0,6.0,44.7,1.0,6.0,136.4,1.0,6.0,66.4,1.0,6.0,1180.0,1.0,6.0,161.6,1.0,5.0,1098.0
3.0,2.0,4.4,3.0,1.0,53.0,2.0,1.0,42.0,2.0,1.0,686.7,2.0,1.0,128.8,2.0,1.0,1524.0
3.0,4.0,25.4,3.0,4.0,272.0,2.0,4.0,245.7,2.0,3.0,1124.0,2.0,3.0,164.6,2.0,3.0,1923.0
3.0,5.0,8.8,3.0,5.0,106.6,2.0,5.0,90.6,2.0,5.0,925.6,2.0,4.0,624.8,2.0,4.0,3926.0
3.0,6.0,35.5,3.0,6.0,280.6,2.0,6.0,245.1,2.0,6.0,1398.0,2.0,6.0,315.7,2.0,5.0,2320.0
4.0,2.0,117.4,4.0,1.0,319.4,4.0,1.0,351.5,3.0,1.0,736.1,3.0,1.0,106.8,3.0,1.0,920.1
4.0,3.0,105.9,4.0,3.0,452.5,4.0,2.0,550.3,3.0,2.0,1204.0,3.0,2.0,155.5,3.0,2.0,1624.0
4.0,5.0,147.9,4.0,5.0,363.8,4.0,5.0,485.2,3.0,5.0,1180.0,3.0,4.0,594.1,3.0,4.0,3294.0
4.0,6.0,273.6,4.0,6.0,636.6,4.0,6.0,862.8,3.0,6.0,1987.0,3.0,6.0,300.2,3.0,5.0,1915.0
5.0,2.0,23.3,5.0,1.0,89.5,5.0,1.0,81.3,5.0,1.0,713.8,4.0,1.0,880.6,4.0,1.0,3709.0
5.0,3.0,20.7,5.0,3.0,112.2,5.0,2.0,122.2,5.0,2.0,1026.0,4.0,2.0,1075.0,4.0,2.0,4857.0
5.0,4.0,123.5,5.0,4.0,292.2,5.0,4.0,406.5,5.0,3.0,920.1,4.0,3.0,923.8,4.0,3.0,4132.0
5.0,6.0,89.8,5.0,6.0,221.4,5.0,6.0,339.6,5.0,6.0,983.5,4.0,6.0,987.7,4.0,5.0,4026.0
6.0,2.0,197.3,6.0,1.0,528.7,6.0,1.0,453.0,6.0,1.0,1869.0,6.0,1.0,384.6,5.0,1.0,1946.0
6.0,3.0,163.8,6.0,3.0,640.1,6.0,2.0,838.3,6.0,2.0,2492.0,6.0,2.0,514.3,5.0,2.0,2161.0
6.0,4.0,497.5,6.0,4.0,1040.0,6.0,4.0,1784.0,6.0,3.0,2265.0,6.0,3.0,440.7,5.0,3.0,2479.0
6.0,5.0,270.3,6.0,5.0,646.2,6.0,5.0,895.7,6.0,5.0,1751.0,6.0,4.0,965.4,5.0,4.0,3464.0
