1,山本 修一,山本 修一.1,2,平見 真彦,平見 真彦.1,3,藤田 竜弘,藤田 竜弘.1,4,菊池 峰晴,菊池 峰晴.1,5,池田 雄一,池田 雄一.1,6,本橋 克洋,本橋 克洋.1
2.0,3.0,7.3,1.0,3.0,26.6,1.0,2.0,137.4,1.0,2.0,178.9,1.0,2.0,62.3,1.0,2.0,1278.0
2.0,4.0,10.8,1.0,4.0,27.3,1.0,4.0,203.7,1.0,3.0,323.7,1.0,3.0,82.7,1.0,3.0,1212.0
2.0,5.0,6.6,1.0,5.0,20.6,1.0,5.0,104.9,1.0,5.0,167.6,1.0,4.0,110.5,1.0,4.0,1845.0
2.0,6.0,43.1,1.0,6.0,85.4,1.0,6.0,280.0,1.0,6.0,363.5,1.0,6.0,133.6,1.0,5.0,1194.0
3.0,2.0,13.0,3.0,1.0,112.8,2.0,1.0,226.6,2.0,1.0,268.5,2.0,1.0,113.5,2.0,1.0,1644.0
3.0,4.0,19.3,3.0,4.0,232.9,2.0,4.0,456.8,2.0,3.0,732.4,2.0,3.0,262.9,2.0,3.0,2673.0
3.0,5.0,12.2,3.0,5.0,157.0,2.0,5.0,299.5,2.0,5.0,359.1,2.0,4.0,319.7,2.0,4.0,3264.0
3.0,6.0,59.6,3.0,6.0,432.2,2.0,6.0,706.1,2.0,6.0,774.3,2.0,6.0,370.3,2.0,5.0,2030.0
4.0,2.0,27.4,4.0,1.0,118.1,4.0,1.0,462.4,3.0,1.0,674.6,3.0,1.0,208.3,3.0,1.0,1580.0
4.0,3.0,37.2,4.0,3.0,314.9,4.0,2.0,708.4,3.0,2.0,1073.0,3.0,2.0,424.9,3.0,2.0,3550.0
4.0,5.0,30.8,4.0,5.0,183.4,4.0,5.0,568.8,3.0,5.0,875.5,3.0,4.0,711.5,3.0,4.0,2849.0
4.0,6.0,80.8,4.0,6.0,432.5,4.0,6.0,984.3,3.0,6.0,1359.0,3.0,6.0,732.4,3.0,5.0,3248.0
5.0,2.0,15.7,5.0,1.0,69.7,5.0,1.0,187.2,5.0,1.0,214.9,4.0,1.0,238.4,4.0,1.0,2180.0
5.0,3.0,20.9,5.0,3.0,157.0,5.0,2.0,335.4,5.0,2.0,322.9,4.0,2.0,380.3,4.0,2.0,3216.0
5.0,4.0,34.3,5.0,4.0,192.7,5.0,4.0,579.5,5.0,3.0,645.8,4.0,3.0,631.9,4.0,3.0,3511.0
5.0,6.0,53.0,5.0,6.0,315.6,5.0,6.0,599.8,5.0,6.0,424.3,4.0,6.0,469.4,4.0,5.0,2741.0
6.0,2.0,173.6,6.0,1.0,489.9,6.0,1.0,445.9,6.0,1.0,740.7,6.0,1.0,350.7,5.0,1.0,1299.0
6.0,3.0,224.5,6.0,3.0,934.7,6.0,2.0,1133.0,6.0,2.0,1237.0,6.0,2.0,595.4,5.0,2.0,1612.0
6.0,4.0,236.8,6.0,4.0,920.2,6.0,4.0,1503.0,6.0,3.0,1616.0,6.0,3.0,810.0,5.0,3.0,2609.0
6.0,5.0,188.5,6.0,5.0,747.6,6.0,5.0,1110.0,6.0,5.0,887.5,6.0,4.0,814.1,5.0,4.0,2406.0
