1,鈴木 秀茉,鈴木 秀茉.1,2,松崎　祐太郎,松崎　祐太郎.1,3,村田 浩司,村田 浩司.1,4,上村　慎太郎,上村　慎太郎.1,5,小林 礼央,小林 礼央.1,6,三川 昂暁,三川 昂暁.1
2.0,3.0,12.1,1.0,3.0,14.4,1.0,2.0,67.8,1.0,2.0,339.3,1.0,2.0,1279.0,1.0,2.0,50.3
2.0,4.0,17.2,1.0,4.0,21.6,1.0,4.0,155.7,1.0,3.0,469.8,1.0,3.0,1532.0,1.0,3.0,130.3
2.0,5.0,143.8,1.0,5.0,135.5,1.0,5.0,384.3,1.0,5.0,1359.0,1.0,4.0,2480.0,1.0,4.0,161.5
2.0,6.0,7.9,1.0,6.0,7.9,1.0,6.0,82.5,1.0,6.0,433.4,1.0,6.0,1670.0,1.0,5.0,598.4
3.0,2.0,22.1,3.0,1.0,34.1,2.0,1.0,71.7,2.0,1.0,299.6,2.0,1.0,1694.0,2.0,1.0,47.7
3.0,4.0,47.8,3.0,4.0,63.8,2.0,4.0,128.8,2.0,3.0,309.2,2.0,3.0,2004.0,2.0,3.0,84.1
3.0,5.0,248.7,3.0,5.0,251.1,2.0,5.0,399.6,2.0,5.0,1466.0,2.0,4.0,3388.0,2.0,4.0,98.4
3.0,6.0,33.3,3.0,6.0,25.8,2.0,6.0,61.2,2.0,6.0,221.3,2.0,6.0,1458.0,2.0,5.0,405.0
4.0,2.0,49.8,4.0,1.0,66.6,4.0,1.0,217.5,3.0,1.0,461.7,3.0,1.0,1940.0,3.0,1.0,217.7
4.0,3.0,105.0,4.0,3.0,99.4,4.0,2.0,213.2,3.0,2.0,524.1,3.0,2.0,2248.0,3.0,2.0,141.4
4.0,5.0,566.0,4.0,5.0,468.9,4.0,5.0,583.9,3.0,5.0,990.0,3.0,4.0,2056.0,3.0,4.0,335.0
4.0,6.0,81.8,4.0,6.0,45.3,4.0,6.0,181.9,3.0,6.0,431.1,3.0,6.0,1924.0,3.0,5.0,754.1
5.0,2.0,559.4,5.0,1.0,543.0,5.0,1.0,974.0,5.0,1.0,1879.0,4.0,1.0,3084.0,4.0,1.0,385.5
5.0,3.0,821.1,5.0,3.0,621.6,5.0,2.0,936.1,5.0,2.0,2506.0,4.0,2.0,3759.0,4.0,2.0,255.6
5.0,4.0,1108.0,5.0,4.0,856.1,5.0,4.0,1124.0,5.0,3.0,1659.0,4.0,3.0,2586.0,4.0,3.0,486.0
5.0,6.0,914.7,5.0,6.0,365.0,5.0,6.0,744.8,5.0,6.0,1795.0,4.0,6.0,2643.0,4.0,5.0,1069.0
6.0,2.0,19.0,6.0,1.0,14.0,6.0,1.0,108.1,6.0,1.0,420.6,6.0,1.0,2506.0,5.0,1.0,1266.0
6.0,3.0,49.9,6.0,3.0,23.7,6.0,2.0,82.5,6.0,2.0,263.2,6.0,2.0,2227.0,5.0,2.0,918.2
6.0,4.0,80.7,6.0,4.0,34.7,6.0,4.0,177.6,6.0,3.0,411.9,6.0,3.0,2313.0,5.0,3.0,1432.0
6.0,5.0,398.9,6.0,5.0,183.3,6.0,5.0,551.7,6.0,5.0,1173.0,6.0,4.0,2382.0,5.0,4.0,1485.0
