1,吉川 昭男,吉川 昭男.1,2,大江 純,大江 純.1,3,川口 貴久,川口 貴久.1,4,谷口 健一,谷口 健一.1,5,板倉 敦史,板倉 敦史.1,6,山口 隆史,山口 隆史.1
2.0,3.0,7.9,1.0,3.0,33.2,1.0,2.0,50.1,1.0,2.0,283.5,1.0,2.0,221.4,1.0,2.0,522.0
2.0,4.0,28.0,1.0,4.0,90.1,1.0,4.0,52.4,1.0,3.0,188.3,1.0,3.0,151.4,1.0,3.0,357.8
2.0,5.0,18.6,1.0,5.0,56.8,1.0,5.0,33.5,1.0,5.0,315.5,1.0,4.0,356.4,1.0,4.0,576.2
2.0,6.0,24.6,1.0,6.0,74.6,1.0,6.0,41.0,1.0,6.0,229.9,1.0,6.0,236.3,1.0,5.0,501.3
3.0,2.0,7.7,3.0,1.0,95.5,2.0,1.0,121.3,2.0,1.0,456.2,2.0,1.0,452.7,2.0,1.0,977.9
3.0,4.0,14.5,3.0,4.0,341.6,2.0,4.0,317.5,2.0,3.0,725.9,2.0,3.0,630.5,2.0,3.0,1203.0
3.0,5.0,8.1,3.0,5.0,196.5,2.0,5.0,207.2,2.0,5.0,603.7,2.0,4.0,1148.0,2.0,4.0,1263.0
3.0,6.0,10.6,3.0,6.0,261.5,2.0,6.0,253.1,2.0,6.0,609.9,2.0,6.0,954.2,2.0,5.0,1783.0
4.0,2.0,48.7,4.0,1.0,350.7,4.0,1.0,120.2,3.0,1.0,282.6,3.0,1.0,294.3,3.0,1.0,518.2
4.0,3.0,33.9,4.0,3.0,696.0,4.0,2.0,266.5,3.0,2.0,653.7,3.0,2.0,664.7,3.0,2.0,1062.0
4.0,5.0,57.8,4.0,5.0,748.9,4.0,5.0,207.3,3.0,5.0,478.4,3.0,4.0,859.5,3.0,4.0,926.8
4.0,6.0,50.4,4.0,6.0,569.7,4.0,6.0,176.5,3.0,6.0,366.3,3.0,6.0,643.0,3.0,5.0,1095.0
5.0,2.0,39.5,5.0,1.0,330.8,5.0,1.0,96.3,5.0,1.0,532.2,4.0,1.0,804.9,4.0,1.0,823.6
5.0,3.0,24.1,5.0,3.0,494.4,5.0,2.0,277.1,5.0,2.0,733.4,4.0,2.0,1175.0,4.0,2.0,1431.0
5.0,4.0,68.5,5.0,4.0,997.1,5.0,4.0,282.1,5.0,3.0,654.9,4.0,3.0,1053.0,4.0,3.0,1123.0
5.0,6.0,39.3,5.0,6.0,644.2,5.0,6.0,170.4,5.0,6.0,681.3,4.0,6.0,1053.0,4.0,5.0,1858.0
6.0,2.0,62.1,6.0,1.0,503.5,6.0,1.0,157.2,6.0,1.0,382.9,6.0,1.0,583.8,5.0,1.0,863.7
6.0,3.0,40.4,6.0,3.0,618.4,6.0,2.0,415.6,6.0,2.0,640.7,6.0,2.0,1148.0,5.0,2.0,1829.0
6.0,4.0,81.0,6.0,4.0,817.9,6.0,4.0,291.6,6.0,3.0,483.6,6.0,3.0,876.4,5.0,3.0,1339.0
6.0,5.0,67.8,6.0,5.0,806.7,6.0,5.0,256.8,6.0,5.0,972.5,6.0,4.0,1199.0,5.0,4.0,2028.0
