1,服部 幸男,服部 幸男.1,2,菊地 敬介,菊地 敬介.1,3,中島 昂章,中島 昂章.1,4,伊藤 紘章,伊藤 紘章.1,5,桂林 寛,桂林 寛.1,6,向後 龍一,向後 龍一.1
2.0,3.0,8.5,1.0,3.0,63.1,1.0,2.0,125.0,1.0,2.0,556.5,1.0,2.0,234.6,1.0,2.0,150.1
2.0,4.0,31.2,1.0,4.0,223.8,1.0,4.0,209.0,1.0,3.0,575.5,1.0,3.0,189.9,1.0,3.0,120.5
2.0,5.0,24.0,1.0,5.0,151.5,1.0,5.0,95.5,1.0,5.0,437.8,1.0,4.0,490.8,1.0,4.0,369.6
2.0,6.0,10.1,1.0,6.0,63.9,1.0,6.0,71.5,1.0,6.0,362.0,1.0,6.0,124.7,1.0,5.0,152.1
3.0,2.0,9.9,3.0,1.0,181.9,2.0,1.0,306.3,2.0,1.0,912.4,2.0,1.0,455.6,2.0,1.0,325.6
3.0,4.0,22.4,3.0,4.0,786.7,2.0,4.0,1079.0,2.0,3.0,1385.0,2.0,3.0,927.5,2.0,3.0,501.0
3.0,5.0,9.2,3.0,5.0,604.5,2.0,5.0,749.9,2.0,5.0,1438.0,2.0,4.0,1692.0,2.0,4.0,1242.0
3.0,6.0,6.6,3.0,6.0,231.7,2.0,6.0,382.6,2.0,6.0,945.8,2.0,6.0,510.1,2.0,5.0,815.2
4.0,2.0,62.4,4.0,1.0,571.6,4.0,1.0,731.9,3.0,1.0,736.7,3.0,1.0,391.0,3.0,1.0,264.0
4.0,3.0,54.9,4.0,3.0,943.1,4.0,2.0,1346.0,3.0,2.0,1709.0,3.0,2.0,1048.0,3.0,2.0,569.7
4.0,5.0,74.2,4.0,5.0,1325.0,4.0,5.0,1100.0,3.0,5.0,1391.0,3.0,4.0,1709.0,3.0,4.0,1126.0
4.0,6.0,49.4,4.0,6.0,781.2,4.0,6.0,848.1,3.0,6.0,1039.0,3.0,6.0,543.0,3.0,5.0,604.5
5.0,2.0,36.5,5.0,1.0,445.3,5.0,1.0,262.2,5.0,1.0,758.3,4.0,1.0,967.5,4.0,1.0,872.3
5.0,3.0,24.4,5.0,3.0,777.6,5.0,2.0,662.8,5.0,2.0,1426.0,4.0,2.0,1626.0,4.0,2.0,1683.0
5.0,4.0,85.6,5.0,4.0,1379.0,5.0,4.0,1048.0,5.0,3.0,1374.0,4.0,3.0,1666.0,4.0,3.0,1558.0
5.0,6.0,20.9,5.0,6.0,653.8,5.0,6.0,372.8,5.0,6.0,850.2,4.0,6.0,1036.0,4.0,5.0,1516.0
6.0,2.0,19.0,6.0,1.0,222.5,6.0,1.0,187.7,6.0,1.0,622.3,6.0,1.0,189.9,5.0,1.0,254.8
6.0,3.0,14.6,6.0,3.0,310.0,6.0,2.0,536.1,6.0,2.0,1198.0,6.0,2.0,418.2,5.0,2.0,794.1
6.0,4.0,61.6,6.0,4.0,827.2,6.0,4.0,935.3,6.0,3.0,1072.0,6.0,3.0,402.2,5.0,3.0,532.7
6.0,5.0,23.7,6.0,5.0,640.1,6.0,5.0,399.8,6.0,5.0,981.6,6.0,4.0,829.3,5.0,4.0,1285.0
