1,梅原 祥平,梅原 祥平.1,2,藤井 公人,藤井 公人.1,3,吉田 翔悟,吉田 翔悟.1,4,片岡 大地,片岡 大地.1,5,小林 遼太,小林 遼太.1,6,岩津 徹郎,岩津 徹郎.1
2.0,3.0,9.7,1.0,3.0,40.9,1.0,2.0,57.3,1.0,2.0,254.1,1.0,2.0,141.0,1.0,2.0,211.8
2.0,4.0,32.5,1.0,4.0,94.8,1.0,4.0,59.0,1.0,3.0,206.3,1.0,3.0,132.5,1.0,3.0,210.8
2.0,5.0,18.7,1.0,5.0,48.2,1.0,5.0,40.8,1.0,5.0,262.5,1.0,4.0,303.5,1.0,4.0,359.7
2.0,6.0,15.6,1.0,6.0,52.7,1.0,6.0,38.6,1.0,6.0,199.8,1.0,6.0,119.1,1.0,5.0,294.1
3.0,2.0,11.8,3.0,1.0,79.9,2.0,1.0,94.8,2.0,1.0,345.3,2.0,1.0,235.3,2.0,1.0,290.6
3.0,4.0,22.1,3.0,4.0,181.2,2.0,4.0,159.3,2.0,3.0,384.3,2.0,3.0,238.3,2.0,3.0,433.2
3.0,5.0,14.7,3.0,5.0,93.7,2.0,5.0,92.0,2.0,5.0,376.7,2.0,4.0,574.2,2.0,4.0,512.4
3.0,6.0,12.4,3.0,6.0,90.7,2.0,6.0,70.5,2.0,6.0,333.2,2.0,6.0,246.9,2.0,5.0,685.7
4.0,2.0,68.0,4.0,1.0,250.1,4.0,1.0,125.0,3.0,1.0,293.2,3.0,1.0,221.1,3.0,1.0,339.2
4.0,3.0,61.2,4.0,3.0,259.0,4.0,2.0,184.0,3.0,2.0,376.7,3.0,2.0,238.8,3.0,2.0,460.4
4.0,5.0,106.2,4.0,5.0,289.7,4.0,5.0,105.7,3.0,5.0,252.1,3.0,4.0,349.1,3.0,4.0,351.7
4.0,6.0,63.9,4.0,6.0,277.0,4.0,6.0,111.4,3.0,6.0,209.0,3.0,6.0,169.9,3.0,5.0,357.0
5.0,2.0,43.9,5.0,1.0,141.6,5.0,1.0,95.3,5.0,1.0,234.2,4.0,1.0,421.7,4.0,1.0,592.0
5.0,3.0,39.2,5.0,3.0,140.1,5.0,2.0,117.9,5.0,2.0,365.2,4.0,2.0,599.5,4.0,2.0,756.5
5.0,4.0,113.3,5.0,4.0,332.1,5.0,4.0,155.7,5.0,3.0,292.3,4.0,3.0,389.0,4.0,3.0,541.5
5.0,6.0,44.9,5.0,6.0,175.2,5.0,6.0,75.8,5.0,6.0,194.9,4.0,6.0,274.6,4.0,5.0,680.8
6.0,2.0,45.3,6.0,1.0,172.3,6.0,1.0,103.2,6.0,1.0,317.7,6.0,1.0,223.7,5.0,1.0,355.6
6.0,3.0,43.6,6.0,3.0,210.8,6.0,2.0,128.6,6.0,2.0,392.2,6.0,2.0,301.6,5.0,2.0,584.7
6.0,4.0,116.2,6.0,4.0,366.6,6.0,4.0,182.9,6.0,3.0,330.9,6.0,3.0,218.6,5.0,3.0,403.9
6.0,5.0,73.7,6.0,5.0,280.3,6.0,5.0,117.6,6.0,5.0,287.1,6.0,4.0,334.4,5.0,4.0,644.0
