1,山下 大輝,山下 大輝.1,2,上原　健次郎,上原　健次郎.1,3,中島 秀治,中島 秀治.1,4,上野 俊樹,上野 俊樹.1,5,飛田 江己,飛田 江己.1,6,加藤 優弥,加藤 優弥.1
2.0,3.0,6.8,1.0,3.0,38.2,1.0,2.0,32.3,1.0,2.0,460.1,1.0,2.0,90.5,1.0,2.0,1816.0
2.0,4.0,16.8,1.0,4.0,85.6,1.0,4.0,52.2,1.0,3.0,459.3,1.0,3.0,56.0,1.0,3.0,1104.0
2.0,5.0,11.9,1.0,5.0,55.3,1.0,5.0,19.2,1.0,5.0,267.6,1.0,4.0,213.5,1.0,4.0,2736.0
2.0,6.0,60.2,1.0,6.0,200.1,1.0,6.0,82.5,1.0,6.0,734.6,1.0,6.0,134.1,1.0,5.0,997.7
3.0,2.0,6.8,3.0,1.0,90.3,2.0,1.0,91.4,2.0,1.0,806.3,2.0,1.0,196.8,2.0,1.0,2523.0
3.0,4.0,15.6,3.0,4.0,352.5,2.0,4.0,248.1,2.0,3.0,964.3,2.0,3.0,268.9,2.0,3.0,3409.0
3.0,5.0,7.3,3.0,5.0,227.6,2.0,5.0,153.4,2.0,5.0,996.5,2.0,4.0,631.4,2.0,4.0,3945.0
3.0,6.0,44.6,3.0,6.0,702.1,2.0,6.0,447.7,2.0,6.0,1708.0,2.0,6.0,475.1,2.0,5.0,3012.0
4.0,2.0,51.5,4.0,1.0,382.7,4.0,1.0,204.5,3.0,1.0,567.7,3.0,1.0,78.4,3.0,1.0,1704.0
4.0,3.0,48.9,4.0,3.0,566.1,4.0,2.0,321.1,3.0,2.0,920.9,3.0,2.0,190.6,3.0,2.0,3146.0
4.0,5.0,72.2,4.0,5.0,750.2,4.0,5.0,251.7,3.0,5.0,752.4,3.0,4.0,286.2,3.0,4.0,3350.0
4.0,6.0,145.8,4.0,6.0,1368.0,4.0,6.0,482.7,3.0,6.0,1324.0,3.0,6.0,201.2,3.0,5.0,1609.0
5.0,2.0,20.7,5.0,1.0,187.4,5.0,1.0,40.1,5.0,1.0,382.5,4.0,1.0,552.8,4.0,1.0,3335.0
5.0,3.0,16.8,5.0,3.0,279.1,5.0,2.0,96.5,5.0,2.0,846.7,4.0,2.0,765.0,4.0,2.0,3965.0
5.0,4.0,65.9,5.0,4.0,701.5,5.0,4.0,162.6,5.0,3.0,743.8,4.0,3.0,609.1,4.0,3.0,3867.0
5.0,6.0,62.7,5.0,6.0,813.9,5.0,6.0,112.9,5.0,6.0,554.4,4.0,6.0,806.3,4.0,5.0,3828.0
6.0,2.0,236.3,6.0,1.0,1040.0,6.0,1.0,342.2,6.0,1.0,1483.0,6.0,1.0,264.2,5.0,1.0,1284.0
6.0,3.0,208.1,6.0,3.0,1872.0,6.0,2.0,723.7,6.0,2.0,2286.0,6.0,2.0,489.7,5.0,2.0,2727.0
6.0,4.0,359.5,6.0,4.0,2451.0,6.0,4.0,875.3,6.0,3.0,2177.0,6.0,3.0,334.4,5.0,3.0,1583.0
6.0,5.0,240.6,6.0,5.0,1900.0,6.0,5.0,402.3,6.0,5.0,1914.0,6.0,4.0,735.3,5.0,4.0,3335.0
