1,松田 竜馬,松田 竜馬.1,2,佐々木　完太,佐々木　完太.1,3,浦田 信義,浦田 信義.1,4,中野 希一,中野 希一.1,5,木山 和幸,木山 和幸.1,6,早川 尚人,早川 尚人.1
2.0,3.0,5.7,1.0,3.0,8.8,1.0,2.0,95.8,1.0,2.0,258.7,1.0,2.0,94.7,1.0,2.0,321.4
2.0,4.0,24.5,1.0,4.0,33.1,1.0,4.0,304.3,1.0,3.0,674.1,1.0,3.0,236.0,1.0,3.0,674.1
2.0,5.0,9.3,1.0,5.0,11.5,1.0,5.0,180.0,1.0,5.0,536.5,1.0,4.0,374.5,1.0,4.0,742.7
2.0,6.0,13.4,1.0,6.0,24.1,1.0,6.0,230.2,1.0,6.0,677.6,1.0,6.0,227.4,1.0,5.0,773.2
3.0,2.0,13.0,3.0,1.0,38.9,2.0,1.0,106.4,2.0,1.0,287.0,2.0,1.0,92.1,2.0,1.0,329.4
3.0,4.0,83.6,3.0,4.0,120.2,2.0,4.0,269.3,2.0,3.0,540.9,2.0,3.0,173.8,2.0,3.0,608.6
3.0,5.0,41.5,3.0,5.0,43.3,2.0,5.0,191.6,2.0,5.0,382.1,2.0,4.0,241.2,2.0,4.0,706.7
3.0,6.0,44.5,3.0,6.0,100.6,2.0,6.0,220.9,2.0,6.0,566.6,2.0,6.0,163.3,2.0,5.0,650.7
4.0,2.0,68.7,4.0,1.0,106.9,4.0,1.0,764.2,3.0,1.0,1143.0,3.0,1.0,353.3,3.0,1.0,876.3
4.0,3.0,145.9,4.0,3.0,172.2,4.0,2.0,600.2,3.0,2.0,988.4,3.0,2.0,331.1,3.0,2.0,945.7
4.0,5.0,188.0,4.0,5.0,106.2,4.0,5.0,738.5,3.0,5.0,1264.0,3.0,4.0,782.4,3.0,4.0,912.9
4.0,6.0,233.4,4.0,6.0,212.3,4.0,6.0,938.9,3.0,6.0,1776.0,3.0,6.0,726.2,3.0,5.0,1583.0
5.0,2.0,26.9,5.0,1.0,31.4,5.0,1.0,261.8,5.0,1.0,900.4,4.0,1.0,605.8,4.0,1.0,1877.0
5.0,3.0,56.5,5.0,3.0,45.9,5.0,2.0,252.8,5.0,2.0,594.8,4.0,2.0,404.4,4.0,2.0,1546.0
5.0,4.0,140.7,5.0,4.0,84.8,5.0,4.0,543.2,5.0,3.0,1383.0,4.0,3.0,1206.0,4.0,3.0,1528.0
5.0,6.0,100.1,5.0,6.0,76.8,5.0,6.0,532.2,5.0,6.0,1003.0,4.0,6.0,746.9,4.0,5.0,1664.0
6.0,2.0,55.3,6.0,1.0,120.3,6.0,1.0,461.2,6.0,1.0,1603.0,6.0,1.0,357.2,5.0,1.0,888.2
6.0,3.0,111.3,6.0,3.0,232.2,6.0,2.0,462.8,6.0,2.0,1153.0,6.0,2.0,287.6,5.0,2.0,730.3
6.0,4.0,305.0,6.0,4.0,378.8,6.0,4.0,684.6,6.0,3.0,938.9,6.0,3.0,670.7,5.0,3.0,1327.0
6.0,5.0,163.9,6.0,5.0,194.4,6.0,5.0,759.8,6.0,5.0,1173.0,6.0,4.0,714.4,5.0,4.0,1314.0
