1,桑原 将光,桑原 将光.1,2,中野 和裕,中野 和裕.1,3,岡崎 恭裕,岡崎 恭裕.1,4,森作 雄大,森作 雄大.1,5,仲本 舜,仲本 舜.1,6,長野　壮志郎,長野　壮志郎.1
2.0,3.0,55.9,1.0,3.0,297.0,1.0,2.0,50.8,1.0,2.0,298.2,1.0,2.0,1845.0,1.0,2.0,138.4
2.0,4.0,95.4,1.0,4.0,491.2,1.0,4.0,10.2,1.0,3.0,78.6,1.0,3.0,1453.0,1.0,3.0,39.8
2.0,5.0,279.5,1.0,5.0,1236.0,1.0,5.0,69.7,1.0,5.0,342.4,1.0,4.0,1633.0,1.0,4.0,70.8
2.0,6.0,80.6,1.0,6.0,312.7,1.0,6.0,8.3,1.0,6.0,67.8,1.0,6.0,1375.0,1.0,5.0,303.1
3.0,2.0,28.6,3.0,1.0,407.9,2.0,1.0,168.4,2.0,1.0,615.1,2.0,1.0,2390.0,2.0,1.0,322.0
3.0,4.0,9.3,3.0,4.0,702.5,2.0,4.0,245.6,2.0,3.0,692.9,2.0,3.0,2804.0,2.0,3.0,343.1
3.0,5.0,75.7,3.0,5.0,1562.0,2.0,5.0,503.0,2.0,5.0,1285.0,2.0,4.0,3392.0,2.0,4.0,485.9
3.0,6.0,9.2,3.0,6.0,553.0,2.0,6.0,163.5,2.0,6.0,354.0,2.0,6.0,2782.0,2.0,5.0,1109.0
4.0,2.0,100.0,4.0,1.0,798.5,4.0,1.0,21.9,3.0,1.0,79.6,3.0,1.0,1484.0,3.0,1.0,40.8
4.0,3.0,25.7,4.0,3.0,975.8,4.0,2.0,128.7,3.0,2.0,326.1,3.0,2.0,2254.0,3.0,2.0,124.1
4.0,5.0,196.4,4.0,5.0,2185.0,4.0,5.0,115.0,3.0,5.0,289.0,3.0,4.0,1914.0,3.0,4.0,46.6
4.0,6.0,31.7,4.0,6.0,726.8,4.0,6.0,15.5,3.0,6.0,54.6,3.0,6.0,1338.0,3.0,5.0,188.0
5.0,2.0,522.2,5.0,1.0,2657.0,5.0,1.0,329.1,5.0,1.0,601.6,4.0,1.0,1562.0,4.0,1.0,99.8
5.0,3.0,332.8,5.0,3.0,2677.0,5.0,2.0,654.7,5.0,2.0,1396.0,4.0,2.0,3297.0,4.0,2.0,312.1
5.0,4.0,522.2,5.0,4.0,3457.0,5.0,4.0,354.3,5.0,3.0,719.5,4.0,3.0,2374.0,4.0,3.0,77.9
5.0,6.0,414.6,5.0,6.0,1263.0,5.0,6.0,216.3,5.0,6.0,396.1,4.0,6.0,1633.0,4.0,5.0,478.0
6.0,2.0,91.5,6.0,1.0,701.1,6.0,1.0,16.1,6.0,1.0,86.5,6.0,1.0,1826.0,5.0,1.0,885.9
6.0,3.0,25.3,6.0,3.0,925.1,6.0,2.0,77.1,6.0,2.0,254.7,6.0,2.0,3097.0,5.0,2.0,1211.0
6.0,4.0,40.8,6.0,4.0,970.4,6.0,4.0,18.0,6.0,3.0,76.0,6.0,3.0,1826.0,5.0,3.0,820.6
6.0,5.0,215.4,6.0,5.0,2718.0,6.0,5.0,94.3,6.0,5.0,319.4,6.0,4.0,2145.0,5.0,4.0,1095.0
