1,竹下 大樹,竹下 大樹.1,2,飛田 江己,飛田 江己.1,3,小玉 啓太,小玉 啓太.1,4,砂長 知輝,砂長 知輝.1,5,藤森 拓海,藤森 拓海.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,14.8,1.0,3.0,87.6,1.0,2.0,435.1,1.0,2.0,14.6,1.0,2.0,267.3,1.0,2.0,549.2
2.0,4.0,4.4,1.0,4.0,22.3,1.0,4.0,515.7,1.0,3.0,62.1,1.0,3.0,752.6,1.0,3.0,1767.0
2.0,5.0,20.9,1.0,5.0,107.6,1.0,5.0,736.2,1.0,5.0,26.1,1.0,4.0,244.2,1.0,4.0,510.5
2.0,6.0,58.4,1.0,6.0,187.9,1.0,6.0,1354.0,1.0,6.0,46.8,1.0,6.0,447.5,1.0,5.0,1174.0
3.0,2.0,50.7,3.0,1.0,306.4,2.0,1.0,613.9,2.0,1.0,28.9,2.0,1.0,466.0,2.0,1.0,790.6
3.0,4.0,40.9,3.0,4.0,412.1,2.0,4.0,872.1,2.0,3.0,167.3,2.0,3.0,1441.0,2.0,3.0,2362.0
3.0,5.0,104.8,3.0,5.0,1031.0,2.0,5.0,1864.0,2.0,5.0,70.1,2.0,4.0,518.3,2.0,4.0,850.2
3.0,6.0,187.6,3.0,6.0,1527.0,2.0,6.0,2309.0,2.0,6.0,109.1,2.0,6.0,1141.0,2.0,5.0,1992.0
4.0,2.0,5.3,4.0,1.0,44.6,4.0,1.0,836.2,3.0,1.0,361.5,3.0,1.0,1693.0,3.0,1.0,2572.0
4.0,3.0,16.3,4.0,3.0,208.2,4.0,2.0,923.6,3.0,2.0,409.6,3.0,2.0,2945.0,3.0,2.0,3628.0
4.0,5.0,15.3,4.0,5.0,191.1,4.0,5.0,2448.0,3.0,5.0,567.6,3.0,4.0,2419.0,3.0,4.0,2988.0
4.0,6.0,41.3,4.0,6.0,297.0,4.0,6.0,2746.0,3.0,6.0,700.7,3.0,6.0,2746.0,3.0,5.0,3628.0
5.0,2.0,52.4,5.0,1.0,345.5,5.0,1.0,1722.0,5.0,1.0,33.8,4.0,1.0,215.0,4.0,1.0,452.5
5.0,3.0,183.4,5.0,3.0,1058.0,5.0,2.0,2540.0,5.0,2.0,51.3,4.0,2.0,278.7,4.0,2.0,604.7
5.0,4.0,43.1,5.0,4.0,453.5,5.0,4.0,2945.0,5.0,3.0,231.9,4.0,3.0,1016.0,4.0,3.0,2052.0
5.0,6.0,206.5,5.0,6.0,1319.0,5.0,6.0,3444.0,5.0,6.0,68.6,4.0,6.0,360.9,4.0,5.0,1047.0
6.0,2.0,179.3,6.0,1.0,585.6,6.0,1.0,2139.0,6.0,1.0,80.9,6.0,1.0,1116.0,5.0,1.0,1638.0
6.0,3.0,372.1,6.0,3.0,1527.0,6.0,2.0,3277.0,6.0,2.0,97.4,6.0,2.0,1461.0,5.0,2.0,2161.0
6.0,4.0,170.0,6.0,4.0,675.1,6.0,4.0,3175.0,6.0,3.0,385.5,6.0,3.0,2540.0,5.0,3.0,3565.0
6.0,5.0,406.4,6.0,5.0,1679.0,6.0,5.0,4064.0,6.0,5.0,117.8,6.0,4.0,1063.0,5.0,4.0,1270.0
