1,松村 敏,松村 敏.1,2,山本 修一,山本 修一.1,3,金子 萌,金子 萌.1,4,本橋 克洋,本橋 克洋.1,5,山田 竜一,山田 竜一.1,6,河野 真也,河野 真也.1
2.0,3.0,3.9,1.0,3.0,49.7,1.0,2.0,68.5,1.0,2.0,346.9,1.0,2.0,382.3,1.0,2.0,603.6
2.0,4.0,7.6,1.0,4.0,94.3,1.0,4.0,131.4,1.0,3.0,521.0,1.0,3.0,463.9,1.0,3.0,657.3
2.0,5.0,11.4,1.0,5.0,150.4,1.0,5.0,146.8,1.0,5.0,523.8,1.0,4.0,748.9,1.0,4.0,1254.0
2.0,6.0,13.8,1.0,6.0,176.4,1.0,6.0,161.4,1.0,6.0,618.6,1.0,6.0,577.4,1.0,5.0,1326.0
3.0,2.0,5.8,3.0,1.0,120.3,2.0,1.0,133.5,2.0,1.0,597.3,2.0,1.0,731.5,2.0,1.0,1122.0
3.0,4.0,10.4,3.0,4.0,429.4,2.0,4.0,454.1,2.0,3.0,1042.0,2.0,3.0,1187.0,2.0,3.0,2033.0
3.0,5.0,14.9,3.0,5.0,663.0,2.0,5.0,563.8,2.0,5.0,1263.0,2.0,4.0,1667.0,2.0,4.0,2468.0
3.0,6.0,19.3,3.0,6.0,633.3,2.0,6.0,653.0,2.0,6.0,1247.0,2.0,6.0,1370.0,2.0,5.0,2587.0
4.0,2.0,24.9,4.0,1.0,392.0,4.0,1.0,476.9,3.0,1.0,963.2,3.0,1.0,846.8,3.0,1.0,1175.0
4.0,3.0,31.9,4.0,3.0,679.9,4.0,2.0,699.8,3.0,2.0,1225.0,3.0,2.0,1478.0,3.0,2.0,2296.0
4.0,5.0,55.1,4.0,5.0,1057.0,4.0,5.0,1099.0,3.0,5.0,1926.0,3.0,4.0,2375.0,3.0,4.0,2877.0
4.0,6.0,64.9,4.0,6.0,964.5,4.0,6.0,1093.0,3.0,6.0,1583.0,3.0,6.0,1687.0,3.0,5.0,3612.0
5.0,2.0,37.4,5.0,1.0,624.8,5.0,1.0,581.8,5.0,1.0,921.0,4.0,1.0,1457.0,4.0,1.0,2450.0
5.0,3.0,46.3,5.0,3.0,1092.0,5.0,2.0,1002.0,5.0,2.0,1457.0,4.0,2.0,1970.0,4.0,2.0,3082.0
5.0,4.0,84.6,5.0,4.0,1389.0,5.0,4.0,1362.0,5.0,3.0,1755.0,4.0,3.0,2281.0,4.0,3.0,3210.0
5.0,6.0,75.5,5.0,6.0,1551.0,5.0,6.0,1349.0,5.0,6.0,1146.0,4.0,6.0,1926.0,4.0,5.0,3028.0
6.0,2.0,59.6,6.0,1.0,694.9,6.0,1.0,754.6,6.0,1.0,1301.0,6.0,1.0,1286.0,5.0,1.0,2180.0
6.0,3.0,83.2,6.0,3.0,1254.0,6.0,2.0,1256.0,6.0,2.0,1517.0,6.0,2.0,1639.0,5.0,2.0,3110.0
6.0,4.0,150.4,6.0,4.0,1576.0,6.0,4.0,1829.0,6.0,3.0,2004.0,6.0,3.0,2064.0,5.0,3.0,3520.0
6.0,5.0,137.4,6.0,5.0,1548.0,6.0,5.0,1764.0,6.0,5.0,1643.0,6.0,4.0,2167.0,5.0,4.0,3124.0
