1,松本 怜,松本 怜.1,2,犬童 千秋,犬童 千秋.1,3,水摩 敦,水摩 敦.1,4,岡崎 恭裕,岡崎 恭裕.1,5,三原 司,三原 司.1,6,小川 晃司,小川 晃司.1
2.0,3.0,107.7,1.0,3.0,164.8,1.0,2.0,124.9,1.0,2.0,165.3,1.0,2.0,1206.0,1.0,2.0,1516.0
2.0,4.0,106.0,1.0,4.0,174.7,1.0,4.0,66.6,1.0,3.0,98.7,1.0,3.0,907.3,1.0,3.0,1431.0
2.0,5.0,293.5,1.0,5.0,342.4,1.0,5.0,176.2,1.0,5.0,214.1,1.0,4.0,1047.0,1.0,4.0,1309.0
2.0,6.0,185.4,1.0,6.0,348.6,1.0,6.0,140.5,1.0,6.0,111.0,1.0,6.0,1113.0,1.0,5.0,2400.0
3.0,2.0,108.6,3.0,1.0,137.7,2.0,1.0,121.4,2.0,1.0,152.3,2.0,1.0,1316.0,2.0,1.0,2095.0
3.0,4.0,63.3,3.0,4.0,25.3,2.0,4.0,22.2,2.0,3.0,27.9,2.0,3.0,417.5,2.0,3.0,711.3
3.0,5.0,177.5,3.0,5.0,63.7,2.0,5.0,51.9,2.0,5.0,66.4,2.0,4.0,406.4,2.0,4.0,567.6
3.0,6.0,130.8,3.0,6.0,77.1,2.0,6.0,53.9,2.0,6.0,46.1,2.0,6.0,755.6,2.0,5.0,1557.0
4.0,2.0,95.7,4.0,1.0,143.6,4.0,1.0,42.3,3.0,1.0,62.2,3.0,1.0,715.7,3.0,1.0,1486.0
4.0,3.0,62.9,4.0,3.0,27.9,4.0,2.0,13.7,3.0,2.0,19.8,3.0,2.0,359.5,3.0,2.0,690.0
4.0,5.0,167.1,4.0,5.0,58.0,4.0,5.0,9.7,3.0,5.0,15.1,3.0,4.0,148.0,3.0,4.0,266.1
4.0,6.0,94.3,4.0,6.0,58.3,4.0,6.0,11.6,3.0,6.0,15.8,3.0,6.0,338.9,3.0,5.0,791.9
5.0,2.0,543.5,5.0,1.0,589.4,5.0,1.0,243.6,5.0,1.0,193.5,4.0,1.0,832.0,4.0,1.0,1140.0
5.0,3.0,444.0,5.0,3.0,151.8,5.0,2.0,82.9,5.0,2.0,76.1,4.0,2.0,341.9,4.0,2.0,496.7
5.0,4.0,431.5,5.0,4.0,143.2,5.0,4.0,35.2,5.0,3.0,35.4,4.0,3.0,151.1,4.0,3.0,253.8
5.0,6.0,535.9,5.0,6.0,301.2,5.0,6.0,70.5,5.0,6.0,54.8,4.0,6.0,241.5,4.0,5.0,528.6
6.0,2.0,382.2,6.0,1.0,844.2,6.0,1.0,267.0,6.0,1.0,207.0,6.0,1.0,1611.0,5.0,1.0,2153.0
6.0,3.0,357.3,6.0,3.0,227.9,6.0,2.0,122.2,6.0,2.0,74.6,6.0,2.0,976.5,5.0,2.0,1814.0
6.0,4.0,274.6,6.0,4.0,188.4,6.0,4.0,51.9,6.0,3.0,43.8,6.0,3.0,548.7,5.0,3.0,925.5
6.0,5.0,629.6,6.0,5.0,468.4,6.0,5.0,123.7,6.0,5.0,75.7,6.0,4.0,460.0,5.0,4.0,741.0
