1,山田 亮太,山田 亮太.1,2,渡辺 浩司,渡辺 浩司.1,3,松本 真広,松本 真広.1,4,藤田 美代,藤田 美代.1,5,渡邉 翼,渡邉 翼.1,6,木場 悠介,木場 悠介.1
2.0,3.0,12.9,1.0,3.0,18.9,1.0,2.0,108.1,1.0,2.0,246.0,1.0,2.0,99.7,1.0,2.0,193.2
2.0,4.0,11.4,1.0,4.0,13.7,1.0,4.0,151.3,1.0,3.0,990.1,1.0,3.0,416.0,1.0,3.0,851.1
2.0,5.0,6.5,1.0,5.0,7.2,1.0,5.0,139.6,1.0,5.0,503.2,1.0,4.0,359.3,1.0,4.0,717.6
2.0,6.0,8.8,1.0,6.0,10.0,1.0,6.0,536.6,1.0,6.0,689.1,1.0,6.0,171.6,1.0,5.0,409.7
3.0,2.0,42.3,3.0,1.0,99.0,2.0,1.0,314.2,2.0,1.0,302.8,2.0,1.0,106.7,2.0,1.0,172.7
3.0,4.0,88.5,3.0,4.0,219.5,2.0,4.0,475.6,2.0,3.0,1325.0,2.0,3.0,491.0,2.0,3.0,860.2
3.0,5.0,71.0,3.0,5.0,138.7,2.0,5.0,443.4,2.0,5.0,495.0,2.0,4.0,379.6,2.0,4.0,530.8
3.0,6.0,159.1,3.0,6.0,174.8,2.0,6.0,504.3,2.0,6.0,471.9,2.0,6.0,141.6,2.0,5.0,265.9
4.0,2.0,49.4,4.0,1.0,69.0,4.0,1.0,1231.0,3.0,1.0,1940.0,3.0,1.0,915.3,3.0,1.0,1684.0
4.0,3.0,212.0,4.0,3.0,270.4,4.0,2.0,1097.0,3.0,2.0,1910.0,3.0,2.0,1206.0,3.0,2.0,1606.0
4.0,5.0,127.6,4.0,5.0,104.6,4.0,5.0,1585.0,3.0,5.0,2526.0,3.0,4.0,2665.0,3.0,4.0,3369.0
4.0,6.0,169.1,4.0,6.0,113.3,4.0,6.0,1837.0,3.0,6.0,2853.0,3.0,6.0,1575.0,3.0,5.0,2450.0
5.0,2.0,27.2,5.0,1.0,36.2,5.0,1.0,737.3,5.0,1.0,576.1,4.0,1.0,929.4,4.0,1.0,1565.0
5.0,3.0,105.7,5.0,3.0,135.0,5.0,2.0,652.0,5.0,2.0,472.8,4.0,2.0,746.4,4.0,2.0,1068.0
5.0,4.0,129.1,5.0,4.0,112.4,5.0,4.0,1497.0,5.0,3.0,2310.0,4.0,3.0,3191.0,4.0,3.0,3675.0
5.0,6.0,70.0,5.0,6.0,47.4,5.0,6.0,819.5,5.0,6.0,626.8,4.0,6.0,839.3,4.0,5.0,1297.0
6.0,2.0,49.2,6.0,1.0,53.3,6.0,1.0,1237.0,6.0,1.0,888.5,6.0,1.0,242.0,5.0,1.0,483.2
6.0,3.0,216.0,6.0,3.0,212.0,6.0,2.0,1087.0,6.0,2.0,735.0,6.0,2.0,205.9,5.0,2.0,336.4
6.0,4.0,235.5,6.0,4.0,151.8,6.0,4.0,2205.0,6.0,3.0,2378.0,6.0,3.0,958.8,5.0,3.0,1516.0
6.0,5.0,113.6,6.0,5.0,75.3,6.0,5.0,1470.0,6.0,5.0,860.2,6.0,4.0,652.0,5.0,4.0,929.4
