1,溝口　海義也,溝口　海義也.1,2,金子 萌,金子 萌.1,3,濱本 優一,濱本 優一.1,4,竹田 和哉,竹田 和哉.1,5,堀本 和也,堀本 和也.1,6,森 照夫,森 照夫.1
2.0,3.0,13.4,1.0,3.0,76.1,1.0,2.0,125.7,1.0,2.0,31.4,1.0,2.0,165.1,1.0,2.0,531.0
2.0,4.0,8.3,1.0,4.0,55.8,1.0,4.0,80.1,1.0,3.0,54.8,1.0,3.0,221.1,1.0,3.0,764.5
2.0,5.0,19.5,1.0,5.0,124.9,1.0,5.0,136.7,1.0,5.0,26.2,1.0,4.0,112.8,1.0,4.0,458.7
2.0,6.0,59.7,1.0,6.0,249.9,1.0,6.0,339.6,1.0,6.0,53.3,1.0,6.0,193.8,1.0,5.0,702.4
3.0,2.0,18.5,3.0,1.0,240.6,2.0,1.0,276.5,2.0,1.0,86.6,2.0,1.0,396.1,2.0,1.0,1090.0
3.0,4.0,12.3,3.0,4.0,278.5,2.0,4.0,294.9,2.0,3.0,200.1,2.0,3.0,755.4,2.0,3.0,1715.0
3.0,5.0,24.6,3.0,5.0,541.5,2.0,5.0,501.6,2.0,5.0,119.8,2.0,4.0,404.6,2.0,4.0,1026.0
3.0,6.0,73.6,3.0,6.0,1133.0,2.0,6.0,991.5,2.0,6.0,207.7,2.0,6.0,752.4,2.0,5.0,1655.0
4.0,2.0,8.9,4.0,1.0,147.6,4.0,1.0,164.4,3.0,1.0,154.1,3.0,1.0,558.2,3.0,1.0,1613.0
4.0,3.0,12.5,4.0,3.0,245.7,4.0,2.0,283.5,3.0,2.0,267.3,3.0,2.0,855.6,3.0,2.0,2151.0
4.0,5.0,13.9,4.0,5.0,293.1,4.0,5.0,253.6,3.0,5.0,201.9,3.0,4.0,540.8,3.0,4.0,1554.0
4.0,6.0,38.5,4.0,6.0,554.2,4.0,6.0,561.5,3.0,6.0,415.6,3.0,6.0,1160.0,3.0,5.0,2409.0
5.0,2.0,38.1,5.0,1.0,417.0,5.0,1.0,373.6,5.0,1.0,36.7,4.0,1.0,124.5,4.0,1.0,619.0
5.0,3.0,51.1,5.0,3.0,742.1,5.0,2.0,645.3,5.0,2.0,60.4,4.0,2.0,204.1,4.0,2.0,900.1
5.0,4.0,35.4,5.0,4.0,509.0,5.0,4.0,390.1,5.0,3.0,130.8,4.0,3.0,320.7,4.0,3.0,1256.0
5.0,6.0,81.5,5.0,6.0,1087.0,5.0,6.0,1150.0,5.0,6.0,56.7,4.0,6.0,188.4,4.0,5.0,696.0
6.0,2.0,148.4,6.0,1.0,1012.0,6.0,1.0,999.3,6.0,1.0,112.5,6.0,1.0,513.1,5.0,1.0,1129.0
6.0,3.0,226.0,6.0,3.0,1677.0,6.0,2.0,1586.0,6.0,2.0,187.6,6.0,2.0,815.2,5.0,2.0,1746.0
6.0,4.0,112.0,6.0,4.0,1018.0,6.0,4.0,1136.0,6.0,3.0,387.3,6.0,3.0,1060.0,5.0,3.0,2226.0
6.0,5.0,157.2,6.0,5.0,1566.0,6.0,5.0,1669.0,6.0,5.0,130.7,6.0,4.0,457.6,5.0,4.0,933.1
