1,永田 啓二,永田 啓二.1,2,岩永 雅人,岩永 雅人.1,3,岡部 浩,岡部 浩.1,4,松尾 充,松尾 充.1,5,仲本 舜,仲本 舜.1,6,日笠 勝弘,日笠 勝弘.1
2.0,3.0,14.7,1.0,3.0,76.5,1.0,2.0,356.9,1.0,2.0,21.6,1.0,2.0,497.9,1.0,2.0,1042.0
2.0,4.0,3.5,1.0,4.0,21.2,1.0,4.0,236.8,1.0,3.0,111.7,1.0,3.0,1065.0,1.0,3.0,2432.0
2.0,5.0,31.5,1.0,5.0,123.5,1.0,5.0,651.8,1.0,5.0,53.9,1.0,4.0,350.0,1.0,4.0,903.3
2.0,6.0,36.0,1.0,6.0,118.8,1.0,6.0,972.8,1.0,6.0,53.2,1.0,6.0,808.9,1.0,5.0,2987.0
3.0,2.0,33.4,3.0,1.0,274.3,2.0,1.0,480.8,2.0,1.0,40.2,2.0,1.0,899.0,2.0,1.0,1536.0
3.0,4.0,26.4,3.0,4.0,341.8,2.0,4.0,677.5,2.0,3.0,198.2,2.0,3.0,2231.0,2.0,3.0,2941.0
3.0,5.0,93.0,3.0,5.0,832.0,2.0,5.0,1415.0,2.0,5.0,133.1,2.0,4.0,819.4,2.0,4.0,1106.0
3.0,6.0,136.9,3.0,6.0,892.7,2.0,6.0,1561.0,2.0,6.0,120.1,2.0,6.0,1153.0,2.0,5.0,3188.0
4.0,2.0,4.4,4.0,1.0,36.6,4.0,1.0,604.1,3.0,1.0,400.2,3.0,1.0,2107.0,3.0,1.0,2479.0
4.0,3.0,16.0,4.0,3.0,167.2,4.0,2.0,916.4,3.0,2.0,519.7,3.0,2.0,3059.0,3.0,2.0,3449.0
4.0,5.0,16.6,4.0,5.0,210.5,4.0,5.0,1185.0,3.0,5.0,868.1,3.0,4.0,2580.0,3.0,4.0,3756.0
4.0,6.0,20.6,4.0,6.0,180.4,4.0,6.0,1453.0,3.0,6.0,779.0,3.0,6.0,2964.0,3.0,5.0,4802.0
5.0,2.0,90.5,5.0,1.0,562.0,5.0,1.0,1580.0,5.0,1.0,96.0,4.0,1.0,445.8,4.0,1.0,967.8
5.0,3.0,170.5,5.0,3.0,1317.0,5.0,2.0,2529.0,5.0,2.0,144.5,4.0,2.0,779.0,4.0,2.0,1216.0
5.0,4.0,82.1,5.0,4.0,613.9,5.0,4.0,2039.0,5.0,3.0,390.7,4.0,3.0,1567.0,4.0,3.0,3011.0
5.0,6.0,188.1,5.0,6.0,1080.0,5.0,6.0,2563.0,5.0,6.0,143.2,4.0,6.0,766.4,4.0,5.0,2096.0
6.0,2.0,125.9,6.0,1.0,529.8,6.0,1.0,2218.0,6.0,1.0,134.5,6.0,1.0,1724.0,5.0,1.0,4036.0
6.0,3.0,215.5,6.0,3.0,1400.0,6.0,2.0,2852.0,6.0,2.0,181.4,6.0,2.0,1945.0,5.0,2.0,3418.0
6.0,4.0,103.2,6.0,4.0,573.9,6.0,4.0,2598.0,6.0,3.0,483.3,6.0,3.0,3215.0,5.0,3.0,4516.0
6.0,5.0,238.4,6.0,5.0,1248.0,6.0,5.0,3035.0,6.0,5.0,244.1,6.0,4.0,1548.0,5.0,4.0,2874.0
