1,寺田 祥,寺田 祥.1,2,向井田　佑紀,向井田　佑紀.1,3,永嶋 裕一,永嶋 裕一.1,4,羽野 直也,羽野 直也.1,5,川崎 公靖,川崎 公靖.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,12.5,1.0,3.0,106.2,1.0,2.0,133.8,1.0,2.0,24.3,1.0,2.0,906.4,1.0,2.0,3979.0
2.0,4.0,4.9,1.0,4.0,56.4,1.0,4.0,72.8,1.0,3.0,35.4,1.0,3.0,1231.0,1.0,3.0,4554.0
2.0,5.0,44.8,1.0,5.0,302.6,1.0,5.0,322.8,1.0,5.0,40.9,1.0,4.0,492.1,1.0,4.0,2197.0
2.0,6.0,201.7,1.0,6.0,724.1,1.0,6.0,935.6,1.0,6.0,134.4,1.0,6.0,1871.0,1.0,5.0,4064.0
3.0,2.0,16.3,3.0,1.0,226.7,2.0,1.0,256.4,2.0,1.0,64.1,2.0,1.0,1555.0,2.0,1.0,4973.0
3.0,4.0,6.8,3.0,4.0,322.5,2.0,4.0,314.2,2.0,3.0,172.6,2.0,3.0,3203.0,2.0,3.0,6096.0
3.0,5.0,55.9,3.0,5.0,1181.0,2.0,5.0,931.0,2.0,5.0,183.9,2.0,4.0,1470.0,2.0,4.0,5906.0
3.0,6.0,225.2,3.0,6.0,1726.0,2.0,6.0,1465.0,2.0,6.0,437.5,2.0,6.0,4247.0,2.0,5.0,7560.0
4.0,2.0,4.5,4.0,1.0,102.8,4.0,1.0,133.6,3.0,1.0,125.6,3.0,1.0,2135.0,3.0,1.0,5906.0
4.0,3.0,6.1,4.0,3.0,280.8,4.0,2.0,283.1,3.0,2.0,235.8,3.0,2.0,4447.0,3.0,2.0,7714.0
4.0,5.0,16.5,4.0,5.0,656.2,4.0,5.0,508.7,3.0,5.0,525.7,3.0,4.0,1871.0,3.0,4.0,3203.0
4.0,6.0,65.8,4.0,6.0,1494.0,4.0,6.0,1005.0,3.0,6.0,1083.0,3.0,6.0,3467.0,3.0,5.0,4295.0
5.0,2.0,113.5,5.0,1.0,908.6,5.0,1.0,1032.0,5.0,1.0,102.8,4.0,1.0,596.2,4.0,1.0,2700.0
5.0,3.0,149.2,5.0,3.0,1601.0,5.0,2.0,1899.0,5.0,2.0,183.9,4.0,2.0,940.3,4.0,2.0,5558.0
5.0,4.0,80.2,5.0,4.0,1326.0,5.0,4.0,1251.0,5.0,3.0,385.3,4.0,3.0,1512.0,4.0,3.0,3467.0
5.0,6.0,420.9,5.0,6.0,3150.0,5.0,6.0,2589.0,5.0,6.0,463.8,4.0,6.0,1918.0,4.0,5.0,3345.0
6.0,2.0,693.5,6.0,1.0,2700.0,6.0,1.0,3024.0,6.0,1.0,660.8,6.0,1.0,3857.0,5.0,1.0,5558.0
6.0,3.0,741.1,6.0,3.0,3532.0,6.0,2.0,3566.0,6.0,2.0,1500.0,6.0,2.0,5906.0,5.0,2.0,7714.0
6.0,4.0,432.5,6.0,4.0,3287.0,6.0,4.0,2407.0,6.0,3.0,1518.0,6.0,3.0,3818.0,5.0,3.0,4064.0
6.0,5.0,986.9,6.0,5.0,4909.0,6.0,5.0,3375.0,6.0,5.0,1138.0,6.0,4.0,2842.0,5.0,4.0,3600.0
