1,坂井 滉哉,坂井 滉哉.1,2,高井 駿弥,高井 駿弥.1,3,浦野 海,浦野 海.1,4,川辺 郭人,川辺 郭人.1,5,岩下 巧斗,岩下 巧斗.1,6,井上 慧人,井上 慧人.1
2.0,3.0,18.1,1.0,3.0,53.8,1.0,2.0,14.2,1.0,2.0,392.6,1.0,2.0,238.6,1.0,2.0,516.9
2.0,4.0,71.4,1.0,4.0,197.9,1.0,4.0,19.9,1.0,3.0,205.8,1.0,3.0,93.0,1.0,3.0,299.2
2.0,5.0,51.3,1.0,5.0,145.8,1.0,5.0,10.8,1.0,5.0,309.1,1.0,4.0,359.3,1.0,4.0,775.4
2.0,6.0,93.9,1.0,6.0,279.4,1.0,6.0,18.5,1.0,6.0,384.5,1.0,6.0,241.0,1.0,5.0,679.2
3.0,2.0,10.5,3.0,1.0,54.0,2.0,1.0,26.1,2.0,1.0,430.8,2.0,1.0,387.7,2.0,1.0,762.7
3.0,4.0,20.1,3.0,4.0,209.1,2.0,4.0,85.3,2.0,3.0,378.2,2.0,3.0,296.3,2.0,3.0,578.0
3.0,5.0,12.1,3.0,5.0,109.8,2.0,5.0,46.9,2.0,5.0,628.7,2.0,4.0,845.9,2.0,4.0,1148.0
3.0,6.0,18.9,3.0,6.0,193.0,2.0,6.0,81.0,2.0,6.0,659.9,2.0,6.0,732.7,2.0,5.0,1240.0
4.0,2.0,171.0,4.0,1.0,430.8,4.0,1.0,39.2,3.0,1.0,178.6,3.0,1.0,106.7,3.0,1.0,290.8
4.0,3.0,82.7,4.0,3.0,344.6,4.0,2.0,95.1,3.0,2.0,326.5,3.0,2.0,213.9,3.0,2.0,438.9
4.0,5.0,165.2,4.0,5.0,646.2,4.0,5.0,42.5,3.0,5.0,199.6,3.0,4.0,276.9,3.0,4.0,541.0
4.0,6.0,199.6,4.0,6.0,732.7,4.0,6.0,53.9,3.0,6.0,267.4,3.0,6.0,176.2,3.0,5.0,432.8
5.0,2.0,97.7,5.0,1.0,275.3,5.0,1.0,22.0,5.0,1.0,460.6,4.0,1.0,694.4,4.0,1.0,1348.0
5.0,3.0,44.3,5.0,3.0,227.5,5.0,2.0,44.5,5.0,2.0,655.3,4.0,2.0,949.5,4.0,2.0,1661.0
5.0,4.0,185.3,5.0,4.0,679.2,5.0,4.0,46.9,5.0,3.0,325.3,4.0,3.0,467.6,4.0,3.0,1033.0
5.0,6.0,138.4,5.0,6.0,641.7,5.0,6.0,33.2,5.0,6.0,482.1,4.0,6.0,795.3,4.0,5.0,1577.0
6.0,2.0,182.1,6.0,1.0,620.3,6.0,1.0,47.7,6.0,1.0,782.0,6.0,1.0,451.7,5.0,1.0,969.3
6.0,3.0,77.5,6.0,3.0,541.0,6.0,2.0,112.7,6.0,2.0,1033.0,6.0,2.0,1107.0,5.0,2.0,1861.0
6.0,4.0,260.6,6.0,4.0,1022.0,6.0,4.0,80.3,6.0,3.0,694.4,6.0,3.0,417.3,5.0,3.0,788.6
6.0,5.0,168.5,6.0,5.0,684.2,6.0,5.0,54.2,6.0,5.0,762.7,6.0,4.0,1082.0,5.0,4.0,1348.0
