1,岡本 猛,岡本 猛.1,2,峰重 力也,峰重 力也.1,3,中田 友也,中田 友也.1,4,伊藤 啓三,伊藤 啓三.1,5,福田 雅一,福田 雅一.1,6,深川 真二,深川 真二.1
2.0,3.0,79.1,1.0,3.0,161.2,1.0,2.0,251.3,1.0,2.0,123.1,1.0,2.0,647.5,1.0,2.0,28.4
2.0,4.0,55.5,1.0,4.0,100.4,1.0,4.0,156.4,1.0,3.0,150.0,1.0,3.0,670.9,1.0,3.0,29.9
2.0,5.0,112.4,1.0,5.0,172.7,1.0,5.0,231.3,1.0,5.0,80.0,1.0,4.0,367.3,1.0,4.0,15.5
2.0,6.0,41.1,1.0,6.0,78.2,1.0,6.0,145.7,1.0,6.0,45.6,1.0,6.0,335.1,1.0,5.0,28.8
3.0,2.0,126.3,3.0,1.0,169.6,2.0,1.0,230.8,2.0,1.0,133.4,2.0,1.0,771.4,2.0,1.0,64.2
3.0,4.0,112.6,3.0,4.0,99.6,2.0,4.0,153.8,2.0,3.0,180.1,2.0,3.0,664.9,2.0,3.0,104.8
3.0,5.0,182.3,3.0,5.0,141.5,2.0,5.0,177.0,2.0,5.0,92.5,2.0,4.0,414.1,2.0,4.0,50.7
3.0,6.0,87.5,3.0,6.0,130.3,2.0,6.0,174.1,2.0,6.0,79.0,2.0,6.0,431.4,2.0,5.0,93.0
4.0,2.0,72.2,4.0,1.0,100.9,4.0,1.0,135.2,3.0,1.0,192.0,3.0,1.0,963.7,3.0,1.0,72.0
4.0,3.0,107.8,4.0,3.0,102.5,4.0,2.0,161.0,3.0,2.0,218.9,3.0,2.0,925.2,3.0,2.0,160.5
4.0,5.0,64.9,4.0,5.0,73.3,4.0,5.0,83.1,3.0,5.0,128.7,3.0,4.0,547.2,3.0,4.0,72.5
4.0,6.0,28.2,4.0,6.0,57.0,4.0,6.0,96.2,3.0,6.0,123.7,3.0,6.0,779.5,3.0,5.0,111.9
5.0,2.0,261.4,5.0,1.0,296.8,5.0,1.0,323.4,5.0,1.0,77.9,4.0,1.0,258.9,4.0,1.0,29.2
5.0,3.0,275.2,5.0,3.0,280.0,5.0,2.0,336.7,5.0,2.0,99.0,4.0,2.0,299.4,4.0,2.0,56.8
5.0,4.0,131.4,5.0,4.0,162.5,5.0,4.0,207.5,5.0,3.0,136.0,4.0,3.0,353.7,4.0,3.0,59.7
5.0,6.0,114.9,5.0,6.0,191.7,5.0,6.0,254.8,5.0,6.0,41.5,4.0,6.0,128.2,4.0,5.0,37.0
6.0,2.0,26.3,6.0,1.0,98.6,6.0,1.0,133.3,6.0,1.0,42.0,6.0,1.0,316.0,5.0,1.0,96.2
6.0,3.0,37.5,6.0,3.0,125.8,6.0,2.0,201.9,6.0,2.0,69.1,6.0,2.0,438.0,5.0,2.0,204.5
6.0,4.0,17.8,6.0,4.0,66.1,6.0,4.0,106.0,6.0,3.0,90.1,6.0,3.0,513.9,5.0,3.0,164.2
6.0,5.0,35.3,6.0,5.0,118.5,6.0,5.0,160.7,6.0,5.0,39.4,6.0,4.0,143.5,5.0,4.0,73.3
